zona,region,provincia,provincia_poblacion,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,lat,lng,created_at
3,sierra,Tungurahua,590600,Patate,15825,12,12,0,-1.316667000000000,-78.51666700000000,20/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,5,5,0,-1.175833000000000,-78.55527800000000,20/01/2021
9,sierra,Pichincha,3228233,Quito,2781641,1645,1645,0,-0.2186110000000000,-78.50972200000000,21/01/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,21/01/2021
3,sierra,Tungurahua,590600,Patate,15825,24,24,0,-1.316667000000000,-78.51666700000000,21/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,10,10,0,-1.175833000000000,-78.55527800000000,21/01/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,21/01/2021
4,costa,Manabí,1562079,Portoviejo,321800,1,1,0,-1.056181000000000,-80.45521700000000,21/01/2021
9,sierra,Pichincha,3228233,Quito,2781641,1654,1654,0,-0.2186110000000000,-78.50972200000000,22/01/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,22/01/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,22/01/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,22/01/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,22/01/2021
3,sierra,Tungurahua,590600,Patate,15825,24,24,0,-1.316667000000000,-78.51666700000000,22/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,10,10,0,-1.175833000000000,-78.55527800000000,22/01/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,22/01/2021
4,costa,Manabí,1562079,Portoviejo,321800,1,1,0,-1.056181000000000,-80.45521700000000,22/01/2021
9,sierra,Pichincha,3228233,Quito,2781641,1691,1691,0,-0.2186110000000000,-78.50972200000000,23/01/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,23/01/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,23/01/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,23/01/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,23/01/2021
3,sierra,Tungurahua,590600,Patate,15825,24,24,0,-1.316667000000000,-78.51666700000000,23/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,10,10,0,-1.175833000000000,-78.55527800000000,23/01/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,23/01/2021
4,costa,Manabí,1562079,Portoviejo,321800,1,1,0,-1.056181000000000,-80.45521700000000,23/01/2021
9,sierra,Pichincha,3228233,Quito,2781641,1691,1691,0,-0.2186110000000000,-78.50972200000000,24/01/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,24/01/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,24/01/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,24/01/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,24/01/2021
3,sierra,Tungurahua,590600,Patate,15825,24,24,0,-1.316667000000000,-78.51666700000000,24/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,10,10,0,-1.175833000000000,-78.55527800000000,24/01/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,24/01/2021
4,costa,Manabí,1562079,Portoviejo,321800,1,1,0,-1.056181000000000,-80.45521700000000,24/01/2021
9,sierra,Pichincha,3228233,Quito,2781641,1691,1691,0,-0.2186110000000000,-78.50972200000000,25/01/2021
8,costa,Guayas,4387434,Guayaquil,2723665,1327,1327,0,-2.183333000000000,-79.88333299999999,25/01/2021
6,sierra,Azuay,881394,Cuenca,636996,663,663,0,-2.897414000000000,-79.00448100000000,25/01/2021
4,costa,Manabí,1562079,Portoviejo,321800,433,433,0,-1.056181000000000,-80.45521700000000,25/01/2021
3,sierra,Chimborazo,524004,Riobamba,264048,254,254,0,-1.674347000000000,-78.64829400000001,25/01/2021
4,costa,Manabí,1562079,Manta,264281,233,233,0,-0.9500220000000000,-80.71620000000000,25/01/2021
4,costa,Manabí,1562079,Sucre,62443,102,102,0,-0.6000000000000000,-80.41666700000000,25/01/2021
6,sierra,Cañar,281396,Azogues,86276,101,101,0,-2.733333000000000,-78.83333300000000,25/01/2021
4,costa,Manabí,1562079,Chone,131002,85,85,0,-0.6833330000000000,-80.09999999999999,25/01/2021
4,costa,Manabí,1562079,Jipijapa,74645,48,48,0,-1.333330000000000,-80.58329999999999,25/01/2021
4,costa,Manabí,1562079,Pedernales,63441,44,44,0,0.07010000000000000,-80.05360000000000,25/01/2021
4,costa,Manabí,1562079,Jaramijó,28439,43,43,0,-0.9487300000000000,-80.63630000000001,25/01/2021
6,sierra,Cañar,281396,Biblían,23741,30,30,0,-2.710000000000000,-78.88000000000000,25/01/2021
3,sierra,Chimborazo,524004,Guano,48395,24,24,0,-1.583333000000000,-78.63333299999999,25/01/2021
3,sierra,Tungurahua,590600,Patate,15825,24,24,0,-1.316667000000000,-78.51666700000000,25/01/2021
3,sierra,Tungurahua,590600,Píllaro,43371,10,10,0,-1.175833000000000,-78.55527800000000,25/01/2021
1,costa,Esmeraldas,591083,Esmeraldas,218727,2,2,0,1.050000000000000,-79.20000000000000,25/01/2021
3,sierra,Chimborazo,524004,Alausí,45054,1,1,0,-2.200000000000000,-78.84999999999999,25/01/2021
