zona,region,inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
3,sierra,05,Cotopaxi,488716,0502,La Maná,56905,75844,39654,30989,3090,2111,-0.9300000000000000,-79.22000000000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0501,Latacunga,205624,366770,176086,156666,15911,18107,-0.9333330000000000,-78.61666700000001,01/01/2022
3,sierra,05,Cotopaxi,488716,0503,Pangua,24612,35917,18187,15657,770,1303,-1.133333000000000,-79.06666700000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0504,Pujilí,79772,104057,51902,45247,2334,4574,-0.9500000000000000,-78.69000000000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0505,Salcedo,67100,123741,59023,55040,3391,6287,-1.050000000000000,-78.58333300000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0506,Saquisilí,31426,53513,26414,23879,1181,2039,-0.8300000000000000,-78.67000000000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0507,Sigchos,23277,30805,16039,12868,717,1181,-0.7000000000000000,-78.88333299999999,01/01/2022
7,costa,07,El Oro,715751,0702,Arenillas,33473,55491,28606,24283,455,2147,-3.550000000000000,-80.06000000000000,01/01/2022
7,costa,07,El Oro,715751,0703,Atahualpa,6436,13240,6233,6069,69,869,-2.900000000000000,-78.93333300000000,01/01/2022
7,costa,07,El Oro,715751,0704,Balsas,9233,16986,8269,8067,137,513,-3.762600000000000,-79.82530000000000,01/01/2022
7,costa,07,El Oro,715751,0705,Chilla,2379,6466,3743,2472,47,204,-3.450000000000000,-79.58000000000000,01/01/2022
7,costa,07,El Oro,715751,0706,El Guabo,63645,101975,52530,46029,1477,1939,-3.238800000000000,-79.82920000000000,01/01/2022
7,costa,07,El Oro,715751,0707,Huaquillas,60440,96277,48804,42715,1434,3324,-3.481380000000000,-80.24320700000000,01/01/2022
7,costa,07,El Oro,715751,0714,Las Lajas,4963,11886,6029,5048,125,684,-3.785000000000000,-80.06166700000000,01/01/2022
7,costa,07,El Oro,715751,0701,Machala,289141,477483,239913,213529,6366,17675,-3.266667000000000,-79.96666700000000,01/01/2022
7,costa,07,El Oro,715751,0708,Marcabelí,6259,13333,6606,6013,116,598,-3.786000000000000,-79.89780000000000,01/01/2022
7,costa,07,El Oro,715751,0709,Pasaje,87723,136808,67407,62252,1920,5229,-3.326900000000000,-79.80490000000000,01/01/2022
7,costa,07,El Oro,715751,0710,Piñas,30206,55902,27158,25468,374,2902,-3.666667000000000,-79.65000000000001,01/01/2022
7,costa,07,El Oro,715751,0711,Portovelo,14028,32159,15876,14773,272,1238,-3.720000000000000,-79.62000000000000,01/01/2022
7,costa,07,El Oro,715751,0712,Santa Rosa,82171,134067,66311,61031,1507,5218,-3.452222000000000,-79.96166700000001,01/01/2022
7,costa,07,El Oro,715751,0713,Zaruma,25654,47897,23999,21565,256,2077,-3.433333000000000,-79.59999999999999,01/01/2022
1,costa,08,Esmeraldas,591083,0806,Atacames,55495,83063,42027,36746,2603,1687,0.8666670000000000,-79.83333300000000,01/01/2022
