inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
01,Azuay,881394,-2.897414000000000,-79.00448100000000,83,82,72,70,76,69,66,106,77,76,88,84,72,98,92,84,77,76,93,73,80,95,93,69,95,97,101,89,116,119,125,140,145,139,148,166,127,121,112,122,125,101,105,90,102,101,110,87,99,84,100,103,97
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,10,14,18,13,16,20,21,15,25,13,6,19,21,31,32,24,22,23,25,27,22,24,24,37,21,16,20,26,24,34,27,40,19,25,18,19,22,19,15,18,18,14,20,14,21,15,21,15,23,24,18,27,21
04,Carchi,186869,0.8121800000000000,-77.71633000000000,6,13,20,10,10,14,22,9,12,19,15,9,8,16,13,14,13,11,8,23,16,16,14,24,16,16,17,23,26,30,26,30,33,32,29,30,31,35,13,18,27,13,16,15,14,17,13,13,20,20,26,25,29
03,Cañar,281396,-2.733333000000000,-78.83333300000000,28,27,18,17,23,14,17,23,23,14,16,20,40,43,56,43,38,18,28,23,20,22,21,22,23,25,25,40,38,33,33,45,51,39,35,33,36,27,36,34,34,33,31,33,31,17,29,28,26,29,26,24,29
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,56,45,49,41,50,40,45,48,55,56,34,55,90,102,71,82,81,69,71,63,70,74,77,70,70,78,104,120,104,106,90,76,83,72,63,71,58,58,51,62,50,55,58,43,65,50,58,58,44,54,48,61
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,22,29,41,27,34,44,37,30,48,34,46,34,32,36,41,45,37,58,41,40,47,48,62,86,68,64,74,71,64,73,64,44,73,58,54,65,40,56,49,49,41,43,39,47,51,45,48,53,54,41,55,46,56
07,El Oro,715751,-3.266667000000000,-79.96666700000000,53,76,63,71,56,62,54,49,66,65,70,55,86,150,150,164,188,172,199,182,133,142,125,118,120,89,93,78,102,114,102,112,81,87,75,101,101,110,94,81,92,68,74,65,75,82,85,63,70,66,76,67,83
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,33,34,24,25,31,45,40,41,26,26,38,29,21,41,43,42,66,63,79,75,76,81,84,79,60,64,60,44,57,60,48,41,32,34,41,34,38,43,24,31,35,29,32,35,26,37,35,25,35,22,41,35,33
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,0,2,2,2,0,1,1,0,2,0,1,1,2,0,0,0,0,1,0,0,1,3,0,3,0,1,1,0,1,2,2,1,0,0,2,1,1,1,0,3,0,1,1,2,2,1,3,1,1,0,1
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,426,452,459,437,367,398,439,415,435,459,442,594,2548,5361,4242,2362,1404,943,746,572,493,486,461,429,430,430,452,450,439,465,498,468,454,489,445,458,422,418,450,440,485,482,472,471,461,465,506,536,453,473,476,497,506
