inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,2,4,0,2,1,0,0,2,1,1,3,0,1,3,1,0,0,2,1,2,1,2,2,1,1,0,0,0,2,5,4,3,0,0,4,0,1,1,2,0,2,2,2,2,1,1,0,1,2,2,1,0,1
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1,2,1,2,0,0,0,2,0,0,0,3,0,1,1,2,0,1,2,0,0,1,1,0,2,2,2,2,0,2,1,3,1,4,2,3,5,2,2,1,1,0,3,2,3,0,1,3,0,1,2,2,2
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,60,64,57,51,63,48,54,79,50,53,67,61,57,82,75,68,63,55,70,60,66,72,70,53,74,75,81,75,92,90,100,106,121,110,115,134,94,92,77,94,78,77,79,69,77,87,88,71,79,67,80,70,74
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,2,0,0,1,2,2,2,2,2,5,0,3,0,2,3,0,0,1,1,0,2,1,4,1,1,3,1,1,2,0,1,2,2,4,2,3,3,3,5,2,3,1,3,2,3,0,2,1,2,2,1,4,5
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,6,4,2,3,4,2,3,8,4,6,3,3,2,4,3,4,4,6,4,3,0,7,7,4,7,5,3,1,10,12,5,9,5,6,8,16,6,11,6,11,14,8,4,5,5,5,1,2,7,2,6,6,4
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,0,2,3,0,1,2,0,0,3,0,4,0,2,1,1,1,2,2,3,1,2,0,0,1,3,2,1,1,0,0,1,1,3,0,4,1,4,3,4,3,3,3,0,1,1,1,3,0,0,0,0,2,3
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,1,0,1,0,0,2,0,2,1,0,1,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,2,0,2,1,0,0,2,1,0,0,1,0,0,1,0,2,0
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,1,2,1,2,3,2,2,5,3,3,6,4,2,2,2,1,0,2,2,3,1,3,0,3,0,1,2,1,0,3,4,6,3,3,1,1,1,1,7,2,6,3,2,2,2,2,5,4,3,3,4,3,2
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,2,0,0,2,0,0,1,0,0,1,1,1,1,0,0,0,0,1,3,1,1,2,0,2,0,0,0,2,1,0,1,0,0,0,0,1,3,0,1,1,1,0,1,1,1,2,1,2,1,1,0,2,0
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,3,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,0
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,3,1,2,1,0,4,1,0,6,0,0,1,0,1,2,3,0,2,1,1,0,2,5,1,2,5,3,2,5,2,2,2,3,2,4,2,3,2,3,2,7,1,0,1,0,0,4,2,1,3,3,2,5
