inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,9,13,20,24,31,35,45,53,57,65,68,74
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,6,8,11,16,19,24,31,42,54,59,67,73
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,277,518,785,1082,1378,1674,2064,2574,2978,3336,3681,4006
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,5,5,6,7,8,9,10,12,14,17,18,18
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,5,12,21,27,32,41,46,56,70,81,88,102
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,1,4,4,5,6,7,7,9,10,13,15,16
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,19,36,54,71,87,111,139,173,214,250,264,286
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,6,11,18,24,30,36,39,47,60,69,74,77
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,2,7,10,12,16,16,18,22,28,31,32,35
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,8,20,37,42,52,56,64,79,89,104,118,131
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,4,5,9,10,17,19,22,24,30,32,40,43
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,1,2,4,8,10,10,12,19,22,23,24,27
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,7,18,21,26,33,49,60,72,82,93,100,110
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,2,4,5,8,10,11,16,18,22,24,26,27
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,12,28,46,54,65,80,93,110,121,140,152,163
02,Bolívar,209933,0206,Caluma,16429,-1.633330000000000,-79.25000000000000,5,9,13,25,33,40,51,59,66,73,79,89
02,Bolívar,209933,0202,Chillanes,16850,-1.933333000000000,-79.06666700000000,7,19,26,34,41,50,57,66,75,78,82,93
02,Bolívar,209933,0203,Chimbo,17378,-1.700000000000000,-79.01666700000000,6,12,17,29,37,42,44,49,58,63,67,75
02,Bolívar,209933,0204,Echeandía,14081,-1.433330000000000,-79.26667000000000,3,8,11,17,23,33,37,51,54,57,62,67
02,Bolívar,209933,0201,Guaranda,108763,-1.605556000000000,-79.00305600000000,32,75,113,179,234,291,365,424,461,500,547,599
02,Bolívar,209933,0207,Las Naves,7428,-1.283330000000000,-79.30000000000000,0,2,4,7,8,10,13,16,17,19,21,25
02,Bolívar,209933,0205,San Miguel,29004,-1.700000000000000,-79.03333300000000,10,23,32,47,66,79,97,113,127,141,151,164
04,Carchi,186869,0402,Bolivar,15528,0.5070990000000000,-77.86245400000000,4,4,7,13,19,28,38,43,50,54,57,66
04,Carchi,186869,0403,Espejo,13817,0.6210000000000000,-77.94000000000000,5,8,12,16,23,30,38,46,52,58,64,73
04,Carchi,186869,0404,Mira,11969,0.5538999999999999,-78.04930000000000,6,11,16,20,26,31,38,49,56,61,67,70
04,Carchi,186869,0405,Montúfar,34229,0.6100000000000000,-77.84000000000000,11,20,31,40,49,64,83,93,111,118,128,146
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,1,1,3,6,8,12,13,15,16,20,23,26
04,Carchi,186869,0401,Tulcán,102395,0.8121800000000000,-77.71633000000000,30,70,104,135,174,209,273,376,453,503,539,598
03,Cañar,281396,0301,Azogues,86276,-2.733333000000000,-78.83333300000000,48,85,114,176,226,265,356,455,522,583,635,704
03,Cañar,281396,0302,Biblían,23741,-2.710000000000000,-78.88000000000000,11,16,24,33,38,52,61,69,78,100,107,116
03,Cañar,281396,0303,Cañar,68747,-2.483700000000000,-78.97839999999999,25,39,70,89,103,123,141,169,207,241,269,293
03,Cañar,281396,0306,Déleg,6782,-2.772600000000000,-78.91830000000000,0,3,4,8,11,13,16,18,20,23,25,26
03,Cañar,281396,0305,El Tambo,12462,-2.508100000000000,-78.92489999999999,1,5,8,9,12,19,26,29,31,37,39,41
03,Cañar,281396,0304,La Troncal,76872,-2.400000000000000,-79.33000000000000,22,36,67,154,180,195,221,255,275,295,317,329
03,Cañar,281396,0307,Suscal,6516,-2.436400000000000,-79.05220000000000,2,2,3,3,3,3,5,11,14,18,18,21
06,Chimborazo,524004,0602,Alausí,45054,-2.200000000000000,-78.84999999999999,12,20,30,59,84,107,133,147,167,192,209,222
06,Chimborazo,524004,0604,Chambo,13378,-1.733333000000000,-78.58333300000000,4,7,13,13,14,17,26,32,42,49,58,60
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333000000000,-78.91666700000000,5,9,13,16,23,28,31,41,43,48,54,57
06,Chimborazo,524004,0603,Colta,44838,-1.700000000000000,-78.75000000000000,17,30,51,104,133,160,191,227,251,275,296,316
06,Chimborazo,524004,0610,Cumandá,17973,-2.200000000000000,-79.13333299999999,1,7,15,19,31,33,39,46,51,54,59,61
06,Chimborazo,524004,0606,Guamote,58291,-1.933333000000000,-78.71666700000000,18,26,42,69,97,122,148,172,182,199,216,235
06,Chimborazo,524004,0607,Guano,48395,-1.583333000000000,-78.63333299999999,19,31,40,61,78,97,128,151,170,181,193,210
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333000000000,-78.95000000000000,3,9,15,22,26,32,36,43,46,48,55,58
06,Chimborazo,524004,0609,Penipe,6955,-1.557300000000000,-78.53959999999999,2,3,6,8,14,22,34,39,42,44,45,45
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347000000000,-78.64829400000001,138,266,415,644,822,1023,1326,1560,1732,1874,2013,2166
05,Cotopaxi,488716,0502,La Maná,56905,-0.9300000000000000,-79.22000000000000,13,25,43,68,91,111,128,145,163,175,187,201
05,Cotopaxi,488716,0501,Latacunga,205624,-0.9333330000000000,-78.61666700000001,77,157,245,329,435,624,819,987,1108,1212,1339,1467
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333000000000,-79.06666700000000,5,9,16,24,29,37,45,55,66,76,84,90
