provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,7,18,26,32,42,54,69,75,86,92,99,106
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,10,20,30,39,60,69,76,87,99,114,123,127
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,2,2,4,6,8,10,12,13,18,21,22,23
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,1,3,5,6,7,11,15,16,18,20,22,25
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,1,2,4,5,7,9,10,10,12,12,12,12
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,16,30,47,92,163,205,233,258,280,294,310,324
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,19,30,45,93,119,143,170,197,233,266,285,305
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,2,2,4,6,6,8,12,16,18,19,20
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,154,282,451,895,1324,1589,1843,2060,2277,2458,2639,2830
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,3,6,8,8,11,12,15,17,19,23,23
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,34,50,82,161,249,300,345,383,429,458,493,519
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,22,36,58,79,91,115,131,146,163,179,191,215
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,8,12,19,24,27,36,43,48,56,63,66,70
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,26,45,82,140,203,233,264,298,336,357,383,408
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,8,16,26,32,40,49,62,81,99,110,120,127
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,6,20,24,28,43,60,72,83,90,99,104,113
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,8,12,17,23,35,43,48,60,67,70,75,79
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,77,172,261,432,675,869,1010,1106,1201,1282,1346,1435
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,3,9,13,16,24,32,43,47,53,60,63,70
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,25,49,71,102,136,192,236,271,293,318,354,388
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,5,11,12,17,24,29,36,45,50,59,65,67
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,10,19,23,32,48,65,82,91,103,111,126,129
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,2,2,4,4,4,4,4,4,4
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,4,7,7,7,7,9,11,14,17,21,24,27
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,1,2,5,6,7,10,10,13,15,15,18,20
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,1,12,19,63,78,85,93,98,106,111,115,119
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,9,14,18,66,81,84,90,94,100,104,110,117
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,23,38,74,170,197,219,256,282,290,312,332,348
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,7,11,24,48,60,70,86,96,100,108,113,125
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,1,3,9,22,26,32,35,37,42,46,51,56
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,58,112,303,716,771,820,876,937,983,1029,1082,1150
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,50,93,296,856,944,998,1042,1081,1141,1188,1250,1302
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,21,33,58,134,150,163,181,205,218,230,244,263
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,19,43,77,137,191,225,259,287,313,349,385,414
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,3,7,11,24,34,38,41,42,45,53,57,63
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,1488,2801,7084,16673,18582,19992,21524,23126,24566,26184,27787,29353
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,6,13,24,63,69,72,75,77,81,84,86,90
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,7,13,39,124,136,142,152,156,160,166,177,186
