provincia,poblacion,total,acumuladas,lat,lng,created_at
Esmeraldas,591083,5,29,1.050000000000000,-79.20000000000000,06/01/2021
Galápagos,33042,0,2,-0.7999999999999999,-89.40000000000001,06/01/2021
Guayas,4387434,72,464,-2.183333000000000,-79.88333299999999,06/01/2021
Imbabura,476257,7,45,0.3626780000000000,-78.13066700000000,06/01/2021
Loja,521154,10,50,-3.983333000000000,-79.20000000000000,06/01/2021
Los Ríos,921763,16,86,-1.800000000000000,-79.53333300000000,06/01/2021
Manabí,1562079,23,143,-1.056181000000000,-80.45521700000000,06/01/2021
Morona Santiago,196535,1,14,-2.300000000000000,-78.11666700000001,06/01/2021
Napo,133705,0,11,-0.9890000000000000,-77.81590000000000,06/01/2021
Orellana,161338,0,7,-0.4666670000000000,-76.96666700000000,06/01/2021
Pastaza,114202,0,5,-1.066667000000000,-78.00111099999999,06/01/2021
Pichincha,3228233,52,318,-0.2186110000000000,-78.50972200000000,06/01/2021
Santa Elena,401178,4,25,-2.226700000000000,-80.85830000000000,06/01/2021
Sto. Domingo Tsáchilas,511151,8,48,-0.2541670000000000,-79.17194400000000,06/01/2021
Sucumbíos,230503,4,16,0.08472200000000002,-76.88277800000000,06/01/2021
Tungurahua,590600,16,80,-1.241667000000000,-78.61972200000000,06/01/2021
Zamora Chinchipe,120416,1,5,-4.120000000000000,-78.80000000000000,06/01/2021
Azuay,881394,9,107,-2.897414000000000,-79.00448100000000,07/01/2021
Bolívar,209933,2,18,-1.605556000000000,-79.00305600000000,07/01/2021
Carchi,186869,7,28,0.8121800000000000,-77.71633000000000,07/01/2021
Cañar,281396,9,36,-2.733333000000000,-78.83333300000000,07/01/2021
Chimborazo,524004,13,74,-1.674347000000000,-78.64829400000001,07/01/2021
Cotopaxi,488716,8,55,-0.9333330000000000,-78.61666700000001,07/01/2021
El Oro,715751,13,79,-3.266667000000000,-79.96666700000000,07/01/2021
Esmeraldas,591083,7,36,1.050000000000000,-79.20000000000000,07/01/2021
Galápagos,33042,1,3,-0.7999999999999999,-89.40000000000001,07/01/2021
Guayas,4387434,84,548,-2.183333000000000,-79.88333299999999,07/01/2021
Imbabura,476257,10,55,0.3626780000000000,-78.13066700000000,07/01/2021
Loja,521154,7,57,-3.983333000000000,-79.20000000000000,07/01/2021
Los Ríos,921763,12,98,-1.800000000000000,-79.53333300000000,07/01/2021
Manabí,1562079,22,165,-1.056181000000000,-80.45521700000000,07/01/2021
Morona Santiago,196535,2,16,-2.300000000000000,-78.11666700000001,07/01/2021
Napo,133705,2,13,-0.9890000000000000,-77.81590000000000,07/01/2021
Orellana,161338,1,8,-0.4666670000000000,-76.96666700000000,07/01/2021
Pastaza,114202,0,5,-1.066667000000000,-78.00111099999999,07/01/2021
Pichincha,3228233,57,375,-0.2186110000000000,-78.50972200000000,07/01/2021
Santa Elena,401178,7,32,-2.226700000000000,-80.85830000000000,07/01/2021
Sto. Domingo Tsáchilas,511151,8,56,-0.2541670000000000,-79.17194400000000,07/01/2021
Sucumbíos,230503,3,19,0.08472200000000002,-76.88277800000000,07/01/2021
Tungurahua,590600,13,93,-1.241667000000000,-78.61972200000000,07/01/2021
Zamora Chinchipe,120416,2,7,-4.120000000000000,-78.80000000000000,07/01/2021
Azuay,881394,19,126,-2.897414000000000,-79.00448100000000,08/01/2021
Bolívar,209933,3,21,-1.605556000000000,-79.00305600000000,08/01/2021
Carchi,186869,8,36,0.8121800000000000,-77.71633000000000,08/01/2021
Cañar,281396,0,36,-2.733333000000000,-78.83333300000000,08/01/2021
Chimborazo,524004,18,92,-1.674347000000000,-78.64829400000001,08/01/2021
Cotopaxi,488716,8,63,-0.9333330000000000,-78.61666700000001,08/01/2021
El Oro,715751,17,96,-3.266667000000000,-79.96666700000000,08/01/2021
Esmeraldas,591083,5,41,1.050000000000000,-79.20000000000000,08/01/2021
Galápagos,33042,1,4,-0.7999999999999999,-89.40000000000001,08/01/2021
Guayas,4387434,74,622,-2.183333000000000,-79.88333299999999,08/01/2021
Imbabura,476257,7,62,0.3626780000000000,-78.13066700000000,08/01/2021
Loja,521154,5,62,-3.983333000000000,-79.20000000000000,08/01/2021
Los Ríos,921763,8,106,-1.800000000000000,-79.53333300000000,08/01/2021
Manabí,1562079,20,185,-1.056181000000000,-80.45521700000000,08/01/2021
Morona Santiago,196535,2,18,-2.300000000000000,-78.11666700000001,08/01/2021
Napo,133705,4,17,-0.9890000000000000,-77.81590000000000,08/01/2021
Orellana,161338,3,11,-0.4666670000000000,-76.96666700000000,08/01/2021
Pastaza,114202,2,7,-1.066667000000000,-78.00111099999999,08/01/2021
Pichincha,3228233,55,430,-0.2186110000000000,-78.50972200000000,08/01/2021
Santa Elena,401178,5,37,-2.226700000000000,-80.85830000000000,08/01/2021
Sto. Domingo Tsáchilas,511151,9,65,-0.2541670000000000,-79.17194400000000,08/01/2021
Sucumbíos,230503,2,21,0.08472200000000002,-76.88277800000000,08/01/2021
Tungurahua,590600,16,109,-1.241667000000000,-78.61972200000000,08/01/2021
Zamora Chinchipe,120416,1,8,-4.120000000000000,-78.80000000000000,08/01/2021
Azuay,881394,18,144,-2.897414000000000,-79.00448100000000,09/01/2021
Bolívar,209933,0,21,-1.605556000000000,-79.00305600000000,09/01/2021
Carchi,186869,3,39,0.8121800000000000,-77.71633000000000,09/01/2021
Cañar,281396,3,39,-2.733333000000000,-78.83333300000000,09/01/2021
Chimborazo,524004,13,105,-1.674347000000000,-78.64829400000001,09/01/2021
Cotopaxi,488716,8,71,-0.9333330000000000,-78.61666700000001,09/01/2021
El Oro,715751,12,108,-3.266667000000000,-79.96666700000000,09/01/2021
Esmeraldas,591083,3,44,1.050000000000000,-79.20000000000000,09/01/2021
Galápagos,33042,0,4,-0.7999999999999999,-89.40000000000001,09/01/2021
Guayas,4387434,92,714,-2.183333000000000,-79.88333299999999,09/01/2021
Imbabura,476257,11,73,0.3626780000000000,-78.13066700000000,09/01/2021
Loja,521154,5,67,-3.983333000000000,-79.20000000000000,09/01/2021
Los Ríos,921763,14,120,-1.800000000000000,-79.53333300000000,09/01/2021
Manabí,1562079,31,216,-1.056181000000000,-80.45521700000000,09/01/2021
Morona Santiago,196535,2,20,-2.300000000000000,-78.11666700000001,09/01/2021
Napo,133705,3,20,-0.9890000000000000,-77.81590000000000,09/01/2021
Orellana,161338,3,14,-0.4666670000000000,-76.96666700000000,09/01/2021
Pastaza,114202,0,7,-1.066667000000000,-78.00111099999999,09/01/2021
Pichincha,3228233,48,478,-0.2186110000000000,-78.50972200000000,09/01/2021
Santa Elena,401178,7,44,-2.226700000000000,-80.85830000000000,09/01/2021
Sto. Domingo Tsáchilas,511151,5,70,-0.2541670000000000,-79.17194400000000,09/01/2021
Sucumbíos,230503,2,23,0.08472200000000002,-76.88277800000000,09/01/2021
Tungurahua,590600,12,121,-1.241667000000000,-78.61972200000000,09/01/2021
Zamora Chinchipe,120416,0,8,-4.120000000000000,-78.80000000000000,09/01/2021
Azuay,881394,15,159,-2.897414000000000,-79.00448100000000,10/01/2021
Bolívar,209933,6,27,-1.605556000000000,-79.00305600000000,10/01/2021
Carchi,186869,5,44,0.8121800000000000,-77.71633000000000,10/01/2021
Cañar,281396,5,44,-2.733333000000000,-78.83333300000000,10/01/2021
Chimborazo,524004,7,112,-1.674347000000000,-78.64829400000001,10/01/2021
Cotopaxi,488716,13,84,-0.9333330000000000,-78.61666700000001,10/01/2021
El Oro,715751,13,121,-3.266667000000000,-79.96666700000000,10/01/2021
Esmeraldas,591083,4,48,1.050000000000000,-79.20000000000000,10/01/2021
Galápagos,33042,1,5,-0.7999999999999999,-89.40000000000001,10/01/2021
Guayas,4387434,73,787,-2.183333000000000,-79.88333299999999,10/01/2021
Imbabura,476257,9,82,0.3626780000000000,-78.13066700000000,10/01/2021
Loja,521154,3,70,-3.983333000000000,-79.20000000000000,10/01/2021
Los Ríos,921763,11,131,-1.800000000000000,-79.53333300000000,10/01/2021
Manabí,1562079,20,236,-1.056181000000000,-80.45521700000000,10/01/2021
Morona Santiago,196535,0,20,-2.300000000000000,-78.11666700000001,10/01/2021
Napo,133705,0,20,-0.9890000000000000,-77.81590000000000,10/01/2021
Orellana,161338,2,16,-0.4666670000000000,-76.96666700000000,10/01/2021
Pastaza,114202,0,7,-1.066667000000000,-78.00111099999999,10/01/2021
Pichincha,3228233,54,532,-0.2186110000000000,-78.50972200000000,10/01/2021
Santa Elena,401178,5,49,-2.226700000000000,-80.85830000000000,10/01/2021
Sto. Domingo Tsáchilas,511151,8,78,-0.2541670000000000,-79.17194400000000,10/01/2021
Sucumbíos,230503,4,27,0.08472200000000002,-76.88277800000000,10/01/2021
Tungurahua,590600,15,136,-1.241667000000000,-78.61972200000000,10/01/2021
Zamora Chinchipe,120416,1,9,-4.120000000000000,-78.80000000000000,10/01/2021
Azuay,881394,17,176,-2.897414000000000,-79.00448100000000,11/01/2021
Bolívar,209933,3,30,-1.605556000000000,-79.00305600000000,11/01/2021
Carchi,186869,6,50,0.8121800000000000,-77.71633000000000,11/01/2021
Cañar,281396,4,48,-2.733333000000000,-78.83333300000000,11/01/2021
Chimborazo,524004,8,120,-1.674347000000000,-78.64829400000001,11/01/2021
Cotopaxi,488716,18,102,-0.9333330000000000,-78.61666700000001,11/01/2021
El Oro,715751,9,130,-3.266667000000000,-79.96666700000000,11/01/2021
Esmeraldas,591083,8,56,1.050000000000000,-79.20000000000000,11/01/2021
Galápagos,33042,0,5,-0.7999999999999999,-89.40000000000001,11/01/2021
Guayas,4387434,102,889,-2.183333000000000,-79.88333299999999,11/01/2021
Imbabura,476257,8,90,0.3626780000000000,-78.13066700000000,11/01/2021
Loja,521154,11,81,-3.983333000000000,-79.20000000000000,11/01/2021
Los Ríos,921763,15,146,-1.800000000000000,-79.53333300000000,11/01/2021
Manabí,1562079,15,251,-1.056181000000000,-80.45521700000000,11/01/2021
Morona Santiago,196535,2,22,-2.300000000000000,-78.11666700000001,11/01/2021
Napo,133705,0,20,-0.9890000000000000,-77.81590000000000,11/01/2021
Orellana,161338,1,17,-0.4666670000000000,-76.96666700000000,11/01/2021
Pastaza,114202,0,7,-1.066667000000000,-78.00111099999999,11/01/2021
Pichincha,3228233,48,580,-0.2186110000000000,-78.50972200000000,11/01/2021
Santa Elena,401178,7,56,-2.226700000000000,-80.85830000000000,11/01/2021
Sto. Domingo Tsáchilas,511151,12,90,-0.2541670000000000,-79.17194400000000,11/01/2021
Sucumbíos,230503,0,27,0.08472200000000002,-76.88277800000000,11/01/2021
Tungurahua,590600,9,145,-1.241667000000000,-78.61972200000000,11/01/2021
Zamora Chinchipe,120416,0,9,-4.120000000000000,-78.80000000000000,11/01/2021
Azuay,881394,15,191,-2.897414000000000,-79.00448100000000,12/01/2021
Bolívar,209933,3,33,-1.605556000000000,-79.00305600000000,12/01/2021
Carchi,186869,5,55,0.8121800000000000,-77.71633000000000,12/01/2021
Cañar,281396,3,51,-2.733333000000000,-78.83333300000000,12/01/2021
Chimborazo,524004,5,125,-1.674347000000000,-78.64829400000001,12/01/2021
Cotopaxi,488716,9,111,-0.9333330000000000,-78.61666700000001,12/01/2021
El Oro,715751,16,146,-3.266667000000000,-79.96666700000000,12/01/2021
Esmeraldas,591083,9,65,1.050000000000000,-79.20000000000000,12/01/2021
Galápagos,33042,0,5,-0.7999999999999999,-89.40000000000001,12/01/2021
Guayas,4387434,80,969,-2.183333000000000,-79.88333299999999,12/01/2021
Imbabura,476257,6,96,0.3626780000000000,-78.13066700000000,12/01/2021
Loja,521154,4,85,-3.983333000000000,-79.20000000000000,12/01/2021
Los Ríos,921763,8,154,-1.800000000000000,-79.53333300000000,12/01/2021
Manabí,1562079,27,278,-1.056181000000000,-80.45521700000000,12/01/2021
Morona Santiago,196535,3,25,-2.300000000000000,-78.11666700000001,12/01/2021
Napo,133705,5,25,-0.9890000000000000,-77.81590000000000,12/01/2021
Orellana,161338,0,17,-0.4666670000000000,-76.96666700000000,12/01/2021
Pastaza,114202,0,7,-1.066667000000000,-78.00111099999999,12/01/2021
Pichincha,3228233,54,634,-0.2186110000000000,-78.50972200000000,12/01/2021
Santa Elena,401178,3,59,-2.226700000000000,-80.85830000000000,12/01/2021
Sto. Domingo Tsáchilas,511151,12,102,-0.2541670000000000,-79.17194400000000,12/01/2021
Sucumbíos,230503,7,34,0.08472200000000002,-76.88277800000000,12/01/2021
Tungurahua,590600,18,163,-1.241667000000000,-78.61972200000000,12/01/2021
Zamora Chinchipe,120416,3,12,-4.120000000000000,-78.80000000000000,12/01/2021
Azuay,881394,18,209,-2.897414000000000,-79.00448100000000,13/01/2021
Bolívar,209933,2,35,-1.605556000000000,-79.00305600000000,13/01/2021
Carchi,186869,6,61,0.8121800000000000,-77.71633000000000,13/01/2021
Cañar,281396,5,56,-2.733333000000000,-78.83333300000000,13/01/2021
Chimborazo,524004,8,133,-1.674347000000000,-78.64829400000001,13/01/2021
Cotopaxi,488716,12,123,-0.9333330000000000,-78.61666700000001,13/01/2021
El Oro,715751,16,162,-3.266667000000000,-79.96666700000000,13/01/2021
Esmeraldas,591083,3,68,1.050000000000000,-79.20000000000000,13/01/2021
Galápagos,33042,0,5,-0.7999999999999999,-89.40000000000001,13/01/2021
Guayas,4387434,87,1056,-2.183333000000000,-79.88333299999999,13/01/2021
Imbabura,476257,9,105,0.3626780000000000,-78.13066700000000,13/01/2021
Loja,521154,8,93,-3.983333000000000,-79.20000000000000,13/01/2021
Los Ríos,921763,12,166,-1.800000000000000,-79.53333300000000,13/01/2021
Manabí,1562079,21,299,-1.056181000000000,-80.45521700000000,13/01/2021
Morona Santiago,196535,1,26,-2.300000000000000,-78.11666700000001,13/01/2021
Napo,133705,0,25,-0.9890000000000000,-77.81590000000000,13/01/2021
Orellana,161338,3,20,-0.4666670000000000,-76.96666700000000,13/01/2021
Pastaza,114202,1,8,-1.066667000000000,-78.00111099999999,13/01/2021
Pichincha,3228233,48,682,-0.2186110000000000,-78.50972200000000,13/01/2021
Santa Elena,401178,11,70,-2.226700000000000,-80.85830000000000,13/01/2021
Sto. Domingo Tsáchilas,511151,12,114,-0.2541670000000000,-79.17194400000000,13/01/2021
Sucumbíos,230503,3,37,0.08472200000000002,-76.88277800000000,13/01/2021
Tungurahua,590600,18,181,-1.241667000000000,-78.61972200000000,13/01/2021
Zamora Chinchipe,120416,2,14,-4.120000000000000,-78.80000000000000,13/01/2021
Azuay,881394,20,229,-2.897414000000000,-79.00448100000000,14/01/2021
Bolívar,209933,8,43,-1.605556000000000,-79.00305600000000,14/01/2021
Carchi,186869,6,67,0.8121800000000000,-77.71633000000000,14/01/2021
Cañar,281396,8,64,-2.733333000000000,-78.83333300000000,14/01/2021
Chimborazo,524004,11,144,-1.674347000000000,-78.64829400000001,14/01/2021
Cotopaxi,488716,10,133,-0.9333330000000000,-78.61666700000001,14/01/2021
El Oro,715751,10,172,-3.266667000000000,-79.96666700000000,14/01/2021
Esmeraldas,591083,6,74,1.050000000000000,-79.20000000000000,14/01/2021
Galápagos,33042,0,5,-0.7999999999999999,-89.40000000000001,14/01/2021
Guayas,4387434,87,1143,-2.183333000000000,-79.88333299999999,14/01/2021
Imbabura,476257,11,116,0.3626780000000000,-78.13066700000000,14/01/2021
Loja,521154,10,103,-3.983333000000000,-79.20000000000000,14/01/2021
Los Ríos,921763,17,183,-1.800000000000000,-79.53333300000000,14/01/2021
Manabí,1562079,25,324,-1.056181000000000,-80.45521700000000,14/01/2021
Morona Santiago,196535,0,26,-2.300000000000000,-78.11666700000001,14/01/2021
Napo,133705,0,25,-0.9890000000000000,-77.81590000000000,14/01/2021
Orellana,161338,0,20,-0.4666670000000000,-76.96666700000000,14/01/2021
Pastaza,114202,1,9,-1.066667000000000,-78.00111099999999,14/01/2021
Pichincha,3228233,47,729,-0.2186110000000000,-78.50972200000000,14/01/2021
Santa Elena,401178,7,77,-2.226700000000000,-80.85830000000000,14/01/2021
Sto. Domingo Tsáchilas,511151,6,120,-0.2541670000000000,-79.17194400000000,14/01/2021
Sucumbíos,230503,0,37,0.08472200000000002,-76.88277800000000,14/01/2021
Tungurahua,590600,10,191,-1.241667000000000,-78.61972200000000,14/01/2021
Zamora Chinchipe,120416,0,14,-4.120000000000000,-78.80000000000000,14/01/2021
Azuay,881394,13,242,-2.897414000000000,-79.00448100000000,15/01/2021
Bolívar,209933,5,48,-1.605556000000000,-79.00305600000000,15/01/2021
Carchi,186869,8,75,0.8121800000000000,-77.71633000000000,15/01/2021
Cañar,281396,10,74,-2.733333000000000,-78.83333300000000,15/01/2021
Chimborazo,524004,10,154,-1.674347000000000,-78.64829400000001,15/01/2021
Cotopaxi,488716,4,137,-0.9333330000000000,-78.61666700000001,15/01/2021
El Oro,715751,12,184,-3.266667000000000,-79.96666700000000,15/01/2021
Esmeraldas,591083,3,77,1.050000000000000,-79.20000000000000,15/01/2021
Galápagos,33042,0,5,-0.7999999999999999,-89.40000000000001,15/01/2021
Guayas,4387434,85,1228,-2.183333000000000,-79.88333299999999,15/01/2021
Imbabura,476257,9,125,0.3626780000000000,-78.13066700000000,15/01/2021
Loja,521154,8,111,-3.983333000000000,-79.20000000000000,15/01/2021
Los Ríos,921763,19,202,-1.800000000000000,-79.53333300000000,15/01/2021
Manabí,1562079,30,354,-1.056181000000000,-80.45521700000000,15/01/2021
Morona Santiago,196535,2,28,-2.300000000000000,-78.11666700000001,15/01/2021
Napo,133705,0,25,-0.9890000000000000,-77.81590000000000,15/01/2021
Orellana,161338,1,21,-0.4666670000000000,-76.96666700000000,15/01/2021
Pastaza,114202,2,11,-1.066667000000000,-78.00111099999999,15/01/2021
Pichincha,3228233,60,789,-0.2186110000000000,-78.50972200000000,15/01/2021
Santa Elena,401178,4,81,-2.226700000000000,-80.85830000000000,15/01/2021
Sto. Domingo Tsáchilas,511151,5,125,-0.2541670000000000,-79.17194400000000,15/01/2021
