provincia,poblacion,total,acumuladas,lat,lng,semana
Azuay,881394,218,218,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,40,40,-1.605556000000000,-79.00305600000000,1
Carchi,186869,56,56,0.8121800000000000,-77.71633000000000,1
Cañar,281396,64,64,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,170,170,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,118,118,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,162,162,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,66,66,1.050000000000000,-79.20000000000000,1
Galápagos,33042,8,8,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,1108,1108,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,120,120,0.3626780000000000,-78.13066700000000,1
Loja,521154,102,102,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,184,184,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,308,308,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,23,23,-2.300000000000000,-78.11666700000001,1
Napo,133705,28,28,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,22,22,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,4,4,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,750,750,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,76,76,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,112,112,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,36,36,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,212,212,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,14,14,-4.120000000000000,-78.80000000000000,1
Azuay,881394,250,468,-2.897414000000000,-79.00448100000000,2
Bolívar,209933,80,120,-1.605556000000000,-79.00305600000000,2
Carchi,186869,76,132,0.8121800000000000,-77.71633000000000,2
Cañar,281396,76,140,-2.733333000000000,-78.83333300000000,2
Chimborazo,524004,132,302,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,140,258,-0.9333330000000000,-78.61666700000001,2
El Oro,715751,202,364,-3.266667000000000,-79.96666700000000,2
Esmeraldas,591083,76,142,1.050000000000000,-79.20000000000000,2
Galápagos,33042,4,12,-0.7999999999999999,-89.40000000000001,2
