inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,-2.897414000000000,-79.00448100000000,68,139,221,284,355,433,497,557,627,718,793,866,954,1031,1107,1173,1232,1324,1396,1453,1518,1590,1651,1710,1779,1846,1919,2005,2070,2135,2204,2271,2346,2416,2502,2577,2662,2720,2785,2862,2949,3021,3080,3146,3225,3298,3366,3422,3490,3562,3629,3670
02,Bolívar,-1.605556000000000,-79.00305600000000,7,18,30,45,59,81,98,105,116,136,154,166,186,201,222,247,261,277,299,310,326,336,352,365,378,388,405,414,427,440,447,463,484,498,514,530,548,562,574,586,602,623,641,657,681,694,707,717,731,743,758,776
04,Carchi,0.8121800000000000,-77.71633000000000,9,21,40,53,66,77,90,100,121,133,143,155,166,172,191,202,214,226,240,256,264,271,282,290,301,317,327,345,359,371,379,388,403,412,434,443,454,466,478,494,503,513,529,538,549,562,576,588,601,608,620,633
03,Cañar,-2.733333000000000,-78.83333300000000,17,37,55,74,91,118,143,165,181,198,218,230,248,273,295,305,319,344,366,384,400,416,433,457,477,498,511,541,563,591,611,638,660,677,698,716,737,757,779,797,829,846,868,887,898,916,930,947,959,976,992,1003
06,Chimborazo,-1.674347000000000,-78.64829400000001,35,65,109,146,189,243,280,317,357,405,443,477,527,575,628,666,711,751,798,839,886,921,975,1013,1061,1102,1143,1200,1235,1278,1318,1360,1404,1448,1497,1535,1570,1626,1668,1704,1747,1791,1839,1880,1934,1986,2025,2061,2096,2140,2179,2217
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,28,60,96,137,162,191,233,250,284,320,351,375,415,453,479,512,545,581,611,639,678,712,739,771,809,840,880,910,946,978,1020,1049,1072,1105,1136,1168,1199,1237,1265,1297,1322,1354,1391,1435,1465,1495,1514,1544,1574,1607,1643,1667
07,El Oro,-3.266667000000000,-79.96666700000000,46,109,150,197,247,299,348,404,453,495,545,596,656,713,783,832,871,921,966,1019,1078,1120,1180,1238,1294,1328,1380,1435,1492,1539,1577,1631,1675,1722,1782,1831,1881,1932,1973,2024,2075,2128,2176,2223,2282,2329,2367,2421,2467,2519,2585,2620
08,Esmeraldas,1.050000000000000,-79.20000000000000,31,56,75,106,132,155,185,225,254,291,321,359,395,430,458,476,502,536,558,586,609,630,652,676,697,721,750,779,802,823,854,881,910,940,967,987,1010,1043,1071,1098,1118,1144,1171,1196,1220,1253,1283,1313,1337,1358,1372,1387
20,Galápagos,-0.8000000000000000,-89.40000000000001,3,4,4,4,4,4,4,4,4,5,5,7,8,8,9,11,11,11,12,14,15,15,15,15,18,19,20,22,23,24,25,27,29,30,31,33,35,35,36,38,39,41,44,44,44,46,47,48,48,48,49,50
09,Guayas,-2.183333000000000,-79.88333299999999,377,745,1108,1491,1872,2263,2665,3075,3506,3997,4427,4909,5369,5768,6143,6546,6894,7284,7650,8034,8402,8772,9168,9531,9923,10287,10595,10909,11271,11633,11983,12320,12673,13006,13395,13754,14147,14498,14861,15216,15602,15975,16334,16715,17130,17493,17860,18227,18619,18979,19390,19754
10,Imbabura,0.3626780000000000,-78.13066700000000,25,72,106,143,179,227,262,298,323,359,390,427,451,482,528,562,610,640,674,708,747,787,815,849,891,933,967,998,1037,1058,1092,1133,1174,1210,1246,1276,1297,1329,1369,1399,1421,1447,1486,1518,1558,1591,1629,1668,1705,1741,1773,1808
11,Loja,-3.983333000000000,-79.20000000000000,48,82,125,162,212,262,298,348,387,438,476,517,556,607,654,692,731,767,804,838,890,930,969,1004,1057,1106,1156,1180,1225,1277,1317,1359,1400,1439,1489,1530,1577,1612,1656,1711,1750,1786,1829,1868,1909,1936,1977,2017,2054,2090,2116,2139
12,Los Ríos,-1.800000000000000,-79.53333300000000,60,129,189,256,339,411,470,531,602,680,767,820,895,960,1008,1065,1123,1196,1255,1321,1392,1452,1516,1580,1638,1703,1759,1803,1873,1946,2014,2097,2155,2226,2275,2339,2377,2449,2517,2584,2650,2708,2770,2829,2896,2964,3035,3100,3157,3214,3294,3340
13,Manabí,-1.056181000000000,-80.45521700000000,111,204,325,429,536,655,764,879,1024,1140,1281,1438,1571,1684,2428,2534,2623,2730,2807,2900,2988,3119,3218,3318,3437,3536,3662,3785,3903,3996,4099,4234,4343,4463,4574,4685,4791,4915,5033,5177,5313,5415,5512,5631,5758,5872,5980,6086,6200,6313,6419,6504
14,Morona Santiago,-2.300000000000000,-78.11666700000001,5,16,27,41,48,55,63,74,80,90,101,111,118,132,135,140,159,167,171,183,189,195,199,205,215,225,231,238,248,257,270,275,283,288,295,300,303,311,320,336,347,353,366,374,388,395,404,412,423,426,431,435
15,Napo,-0.9890000000000000,-77.81590000000000,6,12,16,24,30,42,49,52,54,59,65,73,80,84,95,103,108,112,123,128,130,138,139,150,157,162,165,170,176,178,180,187,193,201,208,212,219,221,224,232,239,241,248,256,266,270,277,279,289,294,304,308
22,Orellana,-0.4666670000000000,-76.96666700000000,12,19,24,33,39,45,53,62,68,74,80,89,97,104,111,124,136,142,147,156,158,161,165,172,179,183,188,194,199,202,209,217,221,230,239,247,251,258,263,268,271,273,279,285,290,297,302,307,314,316,322,329
88,Otro,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,Pastaza,-1.066667000000000,-78.00111099999999,5,8,15,19,28,34,40,45,50,54,83,84,88,92,98,102,109,111,113,115,121,128,131,134,140,145,153,157,161,164,171,179,184,189,195,198,206,213,225,234,238,243,247,250,257,259,265,272,277,282,285,286
17,Pichincha,-0.2186110000000000,-78.50972200000000,200,441,648,860,1106,1341,1537,1748,1938,2171,2412,2623,2877,3133,3386,3631,3886,4145,4391,4634,4844,5097,5326,5550,5783,6008,6241,6460,6654,6885,7108,7344,7555,7767,7993,8196,8402,8621,8838,9072,9293,9501,9721,9935,10168,10412,10626,10832,11070,11293,11535,11760
