provincia,poblacion,lat,lng,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
Azuay,881394,-2.897414000000000,-79.00448100000000,291,255,329,276,284,257,289,277,286,304,284,254
Bolívar,209933,-1.605556000000000,-79.00305600000000,66,79,90,101,91,57,66,76,80,90,81,76
Carchi,186869,0.8121800000000000,-77.71633000000000,69,63,64,64,70,50,70,66,64,68,58,62
Cañar,281396,-2.733333000000000,-78.83333300000000,94,107,82,82,101,92,124,116,89,112,81,75
Chimborazo,524004,-1.674347000000000,-78.64829400000001,180,187,210,219,203,189,205,208,207,195,197,181
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,182,142,161,166,174,160,182,155,163,156,151,146
El Oro,715751,-3.266667000000000,-79.96666700000000,235,239,238,264,253,239,228,234,236,234,214,239
Esmeraldas,591083,1.050000000000000,-79.20000000000000,147,140,181,144,139,113,133,143,125,131,132,103
Galápagos,33042,-0.7999999999999999,-89.40000000000001,7,0,1,5,3,2,5,4,7,7,2,3
Guayas,4387434,-2.183333000000000,-79.88333299999999,1570,1540,1911,1547,1532,1529,1402,1441,1473,1511,1523,1565
Imbabura,476257,0.3626780000000000,-78.13066700000000,165,167,154,170,160,167,157,183,147,140,168,177
Loja,521154,-3.983333000000000,-79.20000000000000,180,194,207,181,186,182,187,181,192,197,154,137
Los Ríos,921763,-1.800000000000000,-79.53333300000000,335,311,372,305,340,299,308,338,271,341,321,302
Manabí,1562079,-1.056181000000000,-80.45521700000000,534,520,680,1110,489,519,553,551,541,584,540,513
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,40,38,47,58,41,33,46,36,36,54,45,26
Napo,133705,-0.9890000000000000,-77.81590000000000,34,32,30,41,25,32,20,37,20,25,37,41
Orellana,161338,-0.4666670000000000,-76.96666700000000,44,35,47,47,33,27,29,32,29,31,25,27
Otro,0,0,0,4,7,4,1,3,4,5,5,4,2,4,4
Pastaza,114202,-1.066667000000000,-78.00111099999999,21,28,19,19,20,17,25,32,28,27,24,16
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,865,811,876,983,945,906,869,846,828,894,862,915
Santa Elena,401178,-2.226700000000000,-80.85830000000000,97,114,112,100,101,109,107,111,126,98,114,103
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,143,150,141,147,138,150,136,133,151,143,140,140
Sucumbíos,230503,0.08472200000000002,-76.88277800000000,63,37,51,69,43,56,47,48,36,38,47,41
Tungurahua,590600,-1.241667000000000,-78.61972200000000,237,216,228,229,226,214,252,268,199,219,215,176
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,28,18,21,28,16,28,19,29,22,25,22,23
