inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,-2.897414000000000,-79.00448100000000,68,71,82,63,71,78,64,60,70,91,75,73,88,77,76,66,59,92,72,57,65,72,61,59,69,67,73,86,65,65,69,67,75,70,86,75,85,58,65,77,87,72,59,66,79,73,68,56,68,72,67,41
02,Bolívar,-1.605556000000000,-79.00305600000000,7,11,12,15,14,22,17,7,11,20,18,12,20,15,21,25,14,16,22,11,16,10,16,13,13,10,17,9,13,13,7,16,21,14,16,16,18,14,12,12,16,21,18,16,24,13,13,10,14,12,15,18
04,Carchi,0.8121800000000000,-77.71633000000000,9,12,19,13,13,11,13,10,21,12,10,12,11,6,19,11,12,12,14,16,8,7,11,8,11,16,10,18,14,12,8,9,15,9,22,9,11,12,12,16,9,10,16,9,11,13,14,12,13,7,12,13
03,Cañar,-2.733333000000000,-78.83333300000000,17,20,18,19,17,27,25,22,16,17,20,12,18,25,22,10,14,25,22,18,16,16,17,24,20,21,13,30,22,28,20,27,22,17,21,18,21,20,22,18,32,17,22,19,11,18,14,17,12,17,16,11
06,Chimborazo,-1.674347000000000,-78.64829400000001,35,30,44,37,43,54,37,37,40,48,38,34,50,48,53,38,45,40,47,41,47,35,54,38,48,41,41,57,35,43,40,42,44,44,49,38,35,56,42,36,43,44,48,41,54,52,39,36,35,44,39,38
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,28,32,36,41,25,29,42,17,34,36,31,24,40,38,26,33,33,36,30,28,39,34,27,32,38,31,40,30,36,32,42,29,23,33,31,32,31,38,28,32,25,32,37,44,30,30,19,30,30,33,36,24
07,El Oro,-3.266667000000000,-79.96666700000000,46,63,41,47,50,52,49,56,49,42,50,51,60,57,70,49,39,50,45,53,59,42,60,58,56,34,52,55,57,47,38,54,44,47,60,49,50,51,41,51,51,53,48,47,59,47,38,54,46,52,66,35
08,Esmeraldas,1.050000000000000,-79.20000000000000,31,25,19,31,26,23,30,40,29,37,30,38,36,35,28,18,26,34,22,28,23,21,22,24,21,24,29,29,23,21,31,27,29,30,27,20,23,33,28,27,20,26,27,25,24,33,30,30,24,21,14,15
20,Galápagos,-0.8000000000000000,-89.40000000000001,3,1,0,0,0,0,0,0,0,1,0,2,1,0,1,2,0,0,1,2,1,0,0,0,3,1,1,2,1,1,1,2,2,1,1,2,2,0,1,2,1,2,3,0,0,2,1,1,0,0,1,1
09,Guayas,-2.183333000000000,-79.88333299999999,377,368,363,383,381,391,402,410,431,491,430,482,460,399,375,403,348,390,366,384,368,370,396,363,392,364,308,314,362,362,350,337,353,333,389,359,393,351,363,355,386,373,359,381,415,363,367,367,392,360,411,364
10,Imbabura,0.3626780000000000,-78.13066700000000,25,47,34,37,36,48,35,36,25,36,31,37,24,31,46,34,48,30,34,34,39,40,28,34,42,42,34,31,39,21,34,41,41,36,36,30,21,32,40,30,22,26,39,32,40,33,38,39,37,36,32,35
