provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,2,6,11,13,22,27,31,39,46,50,54,57
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,5,10,11,16,20,25,29,33,36,39,47,52
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,239,454,740,986,1209,1424,1668,1914,2169,2420,2659,2869
Azuay,El Pan,-2.786111000000000,-78.66500000000001,1,1,1,1,4,4,6,8,8,10,11,11
Azuay,Girón,-3.159028000000000,-79.14756800000001,4,9,19,26,31,35,41,46,51,56,61,68
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,2,2,3,4,4,7,8,11,12,12,14,14
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,20,34,47,64,90,105,122,136,150,172,187,201
Azuay,Nabón,-3.336060000000000,-79.06368000000001,5,9,17,20,27,31,35,37,41,44,47,49
Azuay,Oña,-3.469640000000000,-79.15431000000000,1,2,3,4,6,8,8,10,11,11,13,13
Azuay,Paute,-2.781800000000000,-78.76000000000001,11,24,29,36,44,55,65,78,86,92,94,105
Azuay,Pucará,-3.233780000000000,-79.46120000000001,1,3,6,7,8,10,12,13,14,18,23,27
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,2,2,3,6,6,6,6,6,7,7,10
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,8,12,20,24,32,37,41,44,52,58,64,68
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,5,8,9,10,14,17,24,26,28,30,33,33
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,9,20,31,41,49,56,69,78,84,99,109,117
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,5,9,14,17,20,26,31,40,45,49,53,55
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,1,5,14,25,32,35,40,49,58,62,65,68
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,7,10,14,20,26,30,33,38,44,50,54,59
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,4,8,14,20,22,23,24,25,27,34,38,39
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,27,56,95,139,176,208,236,266,301,346,383,424
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,4,5,6,6,9,10,11,11,11,13,16
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,10,24,33,44,56,62,76,82,93,101,113,122
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,3,10,15,19,24,28,31,34,39,42,46,50
Carchi,Espejo,0.6210000000000000,-77.94000000000000,6,7,9,10,15,17,19,22,25,31,36,37
Carchi,Mira,0.5538999999999999,-78.04930000000000,2,3,9,13,16,18,22,23,25,30,33,35
