provincia,lat,lng,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,13/01/2016,14/01/2016,15/01/2016,16/01/2016,17/01/2016,18/01/2016,19/01/2016,20/01/2016,21/01/2016,22/01/2016,23/01/2016,24/01/2016,25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,01/02/2016,02/02/2016,03/02/2016,04/02/2016,05/02/2016,06/02/2016,07/02/2016,08/02/2016,09/02/2016,10/02/2016,11/02/2016,12/02/2016,13/02/2016,14/02/2016,15/02/2016,16/02/2016,17/02/2016,18/02/2016,19/02/2016,20/02/2016,21/02/2016,22/02/2016,23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,01/03/2016,02/03/2016,03/03/2016,04/03/2016,05/03/2016,06/03/2016,07/03/2016,08/03/2016,09/03/2016,10/03/2016,11/03/2016,12/03/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016,01/04/2016,02/04/2016,03/04/2016,04/04/2016,05/04/2016,06/04/2016,07/04/2016,08/04/2016,09/04/2016,10/04/2016,11/04/2016,12/04/2016,13/04/2016,14/04/2016,15/04/2016,16/04/2016,17/04/2016,18/04/2016,19/04/2016,20/04/2016,21/04/2016,22/04/2016,23/04/2016,24/04/2016,25/04/2016,26/04/2016,27/04/2016,28/04/2016,29/04/2016,30/04/2016,01/05/2016,02/05/2016,03/05/2016,04/05/2016,05/05/2016,06/05/2016,07/05/2016,08/05/2016,09/05/2016,10/05/2016,11/05/2016,12/05/2016,13/05/2016,14/05/2016,15/05/2016,16/05/2016,17/05/2016,18/05/2016,19/05/2016,20/05/2016,21/05/2016,22/05/2016,23/05/2016,24/05/2016,25/05/2016,26/05/2016,27/05/2016,28/05/2016,29/05/2016,30/05/2016,31/05/2016,01/06/2016,02/06/2016,03/06/2016,04/06/2016,05/06/2016,06/06/2016,07/06/2016,08/06/2016,09/06/2016,10/06/2016,11/06/2016,12/06/2016,13/06/2016,14/06/2016,15/06/2016,16/06/2016,17/06/2016,18/06/2016,19/06/2016,20/06/2016,21/06/2016,22/06/2016,23/06/2016,24/06/2016,25/06/2016,26/06/2016,27/06/2016,28/06/2016,29/06/2016,30/06/2016,01/07/2016,02/07/2016,03/07/2016,04/07/2016,05/07/2016,06/07/2016,07/07/2016,08/07/2016,09/07/2016,10/07/2016,11/07/2016,12/07/2016,13/07/2016,14/07/2016,15/07/2016,16/07/2016,17/07/2016,18/07/2016,19/07/2016,20/07/2016,21/07/2016,22/07/2016,23/07/2016,24/07/2016,25/07/2016,26/07/2016,27/07/2016,28/07/2016,29/07/2016,30/07/2016,31/07/2016,01/08/2016,02/08/2016,03/08/2016,04/08/2016,05/08/2016,06/08/2016,07/08/2016,08/08/2016,09/08/2016,10/08/2016,11/08/2016,12/08/2016,13/08/2016,14/08/2016,15/08/2016,16/08/2016,17/08/2016,18/08/2016,19/08/2016,20/08/2016,21/08/2016,22/08/2016,23/08/2016,24/08/2016,25/08/2016,26/08/2016,27/08/2016,28/08/2016,29/08/2016,30/08/2016,31/08/2016,01/09/2016,02/09/2016,03/09/2016,04/09/2016,05/09/2016,06/09/2016,07/09/2016,08/09/2016,09/09/2016,10/09/2016,11/09/2016,12/09/2016,13/09/2016,14/09/2016,15/09/2016,16/09/2016,17/09/2016,18/09/2016,19/09/2016,20/09/2016,21/09/2016,22/09/2016,23/09/2016,24/09/2016,25/09/2016,26/09/2016,27/09/2016,28/09/2016,29/09/2016,30/09/2016,01/10/2016,02/10/2016,03/10/2016,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,15/10/2016,16/10/2016,17/10/2016,18/10/2016,19/10/2016,20/10/2016,21/10/2016,22/10/2016,23/10/2016,24/10/2016,25/10/2016,26/10/2016,27/10/2016,28/10/2016,29/10/2016,30/10/2016,31/10/2016,01/11/2016,02/11/2016,03/11/2016,04/11/2016,05/11/2016,06/11/2016,07/11/2016,08/11/2016,09/11/2016,10/11/2016,11/11/2016,12/11/2016,13/11/2016,14/11/2016,15/11/2016,16/11/2016,17/11/2016,18/11/2016,19/11/2016,20/11/2016,21/11/2016,22/11/2016,23/11/2016,24/11/2016,25/11/2016,26/11/2016,27/11/2016,28/11/2016,29/11/2016,30/11/2016,01/12/2016,02/12/2016,03/12/2016,04/12/2016,05/12/2016,06/12/2016,07/12/2016,08/12/2016,09/12/2016,10/12/2016,11/12/2016,12/12/2016,13/12/2016,14/12/2016,15/12/2016,16/12/2016,17/12/2016,18/12/2016,19/12/2016,20/12/2016,21/12/2016,22/12/2016,23/12/2016,24/12/2016,25/12/2016,26/12/2016,27/12/2016,28/12/2016,29/12/2016,30/12/2016,31/12/2016
Azuay,-2.897414000000000,-79.00448100000000,13,11,6,14,11,5,10,8,8,12,10,8,16,12,10,7,8,16,12,12,12,7,12,11,6,13,10,9,10,9,6,8,4,14,12,9,13,11,9,9,16,14,10,8,12,8,7,6,15,9,9,10,5,6,16,10,8,3,12,9,16,8,3,15,11,8,13,17,13,12,8,13,15,10,11,13,8,11,5,17,11,9,7,11,9,11,15,15,15,11,12,13,14,8,8,13,13,13,9,12,9,9,11,4,15,15,8,14,13,13,10,5,9,9,7,10,12,8,10,5,7,7,15,9,8,14,7,19,20,6,12,11,12,12,7,12,9,12,8,6,10,4,8,9,14,7,9,9,9,8,6,12,9,11,16,10,8,7,7,11,6,11,11,8,6,8,7,7,14,7,10,8,12,9,10,10,11,9,9,12,9,8,11,7,11,12,7,9,11,11,7,16,11,12,12,13,15,6,17,13,9,7,7,12,11,6,7,6,9,11,13,5,14,10,10,11,11,8,9,10,12,9,7,8,9,11,11,13,14,12,7,8,16,5,8,14,11,10,8,11,8,10,11,12,16,7,12,18,4,11,15,6,14,13,12,13,11,15,12,14,8,12,11,11,3,11,7,7,8,10,9,7,6,12,13,8,12,18,12,11,10,8,6,7,14,14,13,14,9,16,10,9,14,15,6,7,11,11,5,11,5,6,11,10,8,15,9,9,10,4,11,9,11,12,14,14,14,5,9,9,9,8,11,14,13,6,9,12,12,13,12,4,10,9,8,8,4,7,10,10,7,7,15,3,12,14,9,15,9,15,6,12,6,12,10,8,7,9,7,14,5,12,6,5,6,1
Bolívar,-1.605556000000000,-79.00305600000000,4,3,3,1,1,0,1,0,2,2,2,3,2,2,1,0,1,1,4,2,3,0,1,1,2,3,3,1,3,2,1,2,0,1,1,4,3,3,6,2,4,3,3,3,1,1,4,2,3,3,1,3,1,0,1,1,1,2,1,1,1,1,4,0,0,4,4,3,3,0,4,1,5,2,3,1,3,3,5,1,2,2,4,2,1,0,1,3,3,5,2,2,3,2,0,2,1,1,2,5,4,3,2,4,2,3,2,5,4,4,1,5,5,2,4,1,4,3,4,1,1,0,1,3,1,5,1,2,3,5,0,3,2,5,4,3,0,2,1,4,0,3,1,1,2,3,3,2,2,3,0,2,1,2,1,1,3,2,2,1,3,1,2,5,7,3,1,0,0,0,2,0,3,1,2,2,3,2,2,0,2,1,1,3,1,1,1,3,1,3,6,2,1,0,2,2,0,1,3,4,3,1,3,0,2,0,1,2,2,1,3,2,2,0,0,2,4,0,1,0,1,0,1,3,5,2,4,1,5,0,3,2,4,6,1,1,1,3,2,4,2,1,1,1,3,1,2,7,4,2,4,2,0,0,4,0,3,5,4,2,1,3,4,2,2,1,4,0,1,1,2,3,1,0,2,3,1,3,0,2,2,2,2,0,1,5,1,1,6,2,1,5,1,3,5,5,1,5,4,2,2,1,1,3,2,2,6,3,1,0,2,2,2,1,3,8,3,5,1,2,3,4,2,0,1,1,4,1,4,2,0,1,0,0,2,3,4,1,0,3,2,1,3,0,2,3,3,0,0,4,4,0,1,3,0,1,4,0,2,5,6,0,4,3,2,0
Carchi,0.8121800000000000,-77.71633000000000,2,2,4,1,1,1,0,2,3,1,1,2,2,3,1,3,0,4,1,1,4,1,6,2,1,1,2,1,3,2,3,0,3,5,2,1,1,1,1,2,2,0,1,2,3,4,1,2,0,1,1,4,1,2,3,1,1,0,2,1,2,4,3,4,3,4,1,0,3,2,2,2,2,2,1,2,1,1,2,1,0,4,2,0,2,1,3,3,0,1,3,4,0,0,0,2,0,1,2,1,0,2,4,0,6,1,4,2,3,3,3,1,0,1,0,0,0,3,4,2,0,3,1,1,1,2,3,1,3,2,2,3,1,3,3,0,3,5,4,2,1,1,0,1,0,2,1,2,2,0,2,0,1,3,0,0,1,3,1,2,1,2,2,0,0,1,1,1,0,3,2,3,1,1,2,0,3,1,3,1,1,2,3,1,5,2,1,1,1,3,2,0,5,2,4,0,2,3,2,2,2,1,2,1,2,4,0,4,0,3,0,3,2,2,3,0,0,1,0,2,3,0,2,1,0,1,2,3,0,6,1,1,1,3,2,0,1,3,1,2,0,2,4,3,4,2,2,5,1,1,1,3,1,1,1,2,2,2,1,2,1,1,2,0,1,1,3,0,5,1,3,2,2,1,1,2,5,2,1,3,1,2,2,1,1,1,1,2,2,1,3,2,0,2,1,1,1,0,1,3,3,3,4,2,3,0,2,2,1,0,1,1,1,0,2,1,3,3,2,3,1,1,3,1,2,4,2,1,1,2,2,2,1,2,0,2,3,2,2,3,1,5,1,0,1,2,1,1,0,2,0,3,0,2,1,2,1,2,2,2,4,2,3,1,1,0
Cañar,-2.733333000000000,-78.83333300000000,4,3,3,0,1,4,4,2,3,3,3,2,4,2,4,3,2,1,3,1,5,2,3,3,2,4,1,1,5,3,3,1,3,3,5,0,2,3,2,4,4,1,4,9,3,5,5,4,6,3,1,1,4,2,4,2,5,3,2,2,1,2,4,3,1,3,3,3,4,4,0,1,2,2,2,6,2,2,3,3,1,2,1,2,4,0,2,3,4,3,1,3,2,2,2,6,2,3,3,3,6,3,2,2,0,6,4,5,3,0,2,0,1,3,1,2,2,4,2,0,2,2,1,2,1,3,5,2,11,3,3,4,3,3,4,2,2,2,2,2,1,5,4,4,1,2,3,3,2,1,2,6,3,1,0,1,3,0,0,5,3,4,4,1,2,4,3,3,6,2,4,3,7,3,1,1,2,3,1,5,1,2,7,2,3,3,3,2,1,0,3,1,3,5,5,3,4,8,2,5,4,1,2,4,2,4,1,5,2,4,4,9,3,1,3,2,2,3,7,2,2,3,6,4,6,3,3,2,6,5,1,3,2,3,1,5,3,2,1,2,3,3,4,3,2,2,4,3,5,2,2,2,4,1,2,4,2,2,5,0,2,6,4,6,0,1,2,2,5,3,5,0,3,6,2,3,2,6,0,1,4,4,1,5,1,3,6,2,8,7,2,5,4,1,2,1,2,4,2,2,3,6,2,3,2,2,2,1,9,2,1,0,2,1,0,3,4,1,2,5,2,2,2,2,3,2,0,0,3,1,2,6,2,6,2,3,2,1,1,5,1,3,2,1,0,0,2,3,4,2,1,3,2,5,2,0,1,3,2,3,3,2,2,1,0,0
Chimborazo,-1.674347000000000,-78.64829400000001,9,8,8,6,4,5,9,3,3,5,8,4,6,2,3,3,4,5,4,4,11,9,5,6,7,4,6,7,3,6,4,4,3,7,8,10,6,5,10,8,7,9,6,8,6,4,2,0,6,7,7,11,5,4,2,6,6,8,6,6,7,5,5,4,7,6,9,4,7,8,12,2,6,5,8,4,2,5,11,3,4,6,5,2,6,5,6,8,7,7,8,8,5,7,9,4,6,6,5,7,11,8,8,3,4,10,9,11,5,5,6,4,4,6,8,12,7,8,7,7,1,3,6,7,4,9,2,6,6,8,6,7,10,6,5,5,6,5,6,4,8,5,7,6,3,6,8,7,7,10,9,4,6,3,6,3,4,4,8,8,9,13,5,7,3,8,4,8,8,2,5,6,4,5,8,15,7,3,2,5,8,6,6,6,8,7,4,3,5,8,6,8,5,10,9,8,6,7,12,7,5,7,2,4,4,6,7,3,6,6,5,7,9,0,7,2,7,8,7,9,9,6,7,6,2,5,7,6,8,6,7,10,2,5,6,8,3,7,3,9,8,12,5,8,6,7,6,5,6,7,5,7,4,3,6,7,6,3,5,4,2,8,8,4,5,11,10,8,10,6,6,3,9,9,4,5,4,9,2,10,6,2,3,10,3,5,5,5,5,10,9,4,4,5,6,8,8,4,7,7,5,9,7,9,6,4,3,8,3,13,4,10,6,4,9,12,4,9,3,11,8,8,7,9,6,5,8,3,4,4,6,9,7,3,3,7,4,5,7,4,2,8,3,11,5,2,5,10,3,6,5,10,5,7,8,5,2,6,8,3,6,6,3,5,3,0
Cotopaxi,-0.9333330000000000,-78.61666700000001,2,7,5,4,1,7,5,7,0,4,4,5,4,6,2,4,7,4,5,6,4,2,10,5,9,1,4,8,7,4,8,5,3,2,4,3,4,4,8,3,5,1,5,1,6,7,5,2,9,6,7,6,3,1,1,3,3,3,3,5,5,8,5,2,6,3,3,7,6,3,11,2,4,6,5,4,1,6,5,4,5,4,1,5,4,1,4,4,4,5,6,5,12,4,7,3,6,6,3,6,7,5,0,5,2,4,6,4,5,5,3,6,6,5,3,2,3,7,1,7,7,6,1,6,3,2,9,4,11,3,5,7,2,5,5,3,4,4,5,2,6,5,2,7,5,8,4,5,6,4,6,4,3,6,3,6,6,5,2,4,1,5,7,3,5,3,3,8,6,3,4,10,4,8,4,2,5,5,1,5,4,3,4,8,6,7,5,3,3,6,9,7,6,5,3,4,6,2,4,3,6,9,2,9,3,4,8,5,3,2,7,5,2,6,9,6,4,6,7,4,3,6,3,1,4,6,6,3,5,2,2,2,6,3,4,5,2,7,7,4,4,1,2,5,3,8,2,10,5,4,5,5,4,4,5,8,5,2,4,1,5,6,8,5,1,9,3,5,7,3,3,5,5,2,3,7,4,1,5,4,8,3,7,4,4,2,3,5,2,5,7,6,5,0,7,2,5,3,10,6,4,5,2,7,5,5,7,8,10,6,3,7,3,4,5,2,6,3,6,1,4,7,2,4,6,1,5,4,1,1,3,4,5,4,5,7,1,4,4,2,5,4,6,3,5,5,7,5,4,4,3,5,5,4,2,11,4,4,6,5,8,4,3,2,3,0
El Oro,-3.266667000000000,-79.96666700000000,13,6,9,3,8,6,6,10,3,10,14,13,8,5,12,5,6,4,6,6,8,5,6,6,11,5,4,9,9,4,5,7,6,7,5,4,12,9,5,10,6,6,7,9,9,8,4,7,11,3,8,8,8,6,11,7,6,10,8,9,2,7,9,6,13,3,9,7,6,4,6,4,6,6,4,7,9,1,10,13,7,6,6,10,7,6,9,9,6,7,9,10,8,11,9,7,8,6,12,7,8,6,15,5,16,7,5,16,11,8,6,4,7,7,6,7,7,7,2,5,5,6,8,6,5,8,7,10,6,2,5,8,11,7,6,6,11,8,5,7,4,11,7,12,12,11,6,5,7,6,11,6,5,1,8,5,6,6,9,8,11,5,11,10,8,7,6,4,12,11,10,6,8,3,8,10,11,10,4,5,8,6,3,5,3,5,7,10,10,3,8,9,12,8,8,6,7,7,7,7,3,11,7,8,10,11,8,10,4,4,10,4,7,7,5,4,6,3,5,8,4,7,12,11,7,8,5,4,8,6,9,5,5,7,12,5,6,9,3,5,7,10,8,10,6,9,9,8,9,7,8,9,3,6,7,9,9,9,3,6,9,5,5,11,7,8,8,8,4,6,9,5,6,7,2,6,8,7,9,7,5,8,7,5,5,14,4,9,6,8,15,5,5,8,6,4,10,4,7,5,10,6,7,9,7,3,8,5,7,10,7,4,12,12,6,7,9,9,6,13,9,6,5,2,6,6,5,7,7,4,6,3,9,9,4,4,12,3,13,10,2,4,5,9,8,8,11,8,7,9,6,5,6,8,7,10,12,5,10,14,8,9,1,5,0,0
Esmeraldas,1.050000000000000,-79.20000000000000,13,2,4,7,0,2,6,8,4,4,3,2,4,4,3,4,5,3,1,3,4,1,2,5,8,4,2,2,7,5,3,2,3,3,2,1,8,7,6,3,2,3,3,2,4,6,5,5,4,3,4,3,10,4,8,3,3,5,7,0,5,5,7,3,3,6,6,7,4,2,7,5,6,4,2,4,7,0,7,6,10,7,1,6,3,3,8,6,8,3,3,6,5,5,8,4,6,4,1,8,4,4,3,4,1,6,6,4,1,4,2,4,4,1,2,2,3,4,3,5,4,5,4,7,10,3,6,0,4,0,5,2,6,5,3,1,4,3,3,2,4,8,4,6,3,3,3,1,4,3,5,1,2,4,3,4,2,5,4,4,3,0,2,4,5,3,4,3,2,4,3,5,2,2,5,2,2,3,2,5,1,1,3,5,7,5,7,1,4,3,4,5,4,4,5,3,5,4,4,6,2,4,3,4,3,1,3,5,2,2,3,3,3,3,5,6,5,0,7,5,8,5,2,1,3,3,5,2,6,3,8,3,3,4,7,3,2,0,10,2,6,4,4,3,5,2,5,4,3,2,5,1,3,4,2,3,5,5,1,3,5,1,5,2,7,5,5,2,7,6,2,4,2,5,3,6,6,5,2,3,3,2,6,1,3,2,2,8,2,2,3,4,5,7,3,4,0,4,3,5,3,3,4,5,2,3,1,4,1,4,10,5,5,1,4,4,2,3,4,6,7,4,6,3,3,5,1,3,4,6,4,7,8,1,3,3,4,6,5,5,3,2,2,3,5,4,0,4,2,5,5,5,0,1,1,3,1,2,4,2,4,0,2,2,1,0
Galápagos,-0.8000000000000000,-89.40000000000001,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Guayas,-2.183333000000000,-79.88333299999999,66,59,52,50,58,56,53,60,46,54,46,52,61,52,62,53,42,55,51,57,63,42,47,48,64,53,53,46,57,50,60,62,45,55,41,56,63,59,61,58,52,44,62,63,51,57,42,67,52,68,54,62,60,50,54,64,62,64,56,61,62,71,48,57,64,68,44,73,64,79,83,73,75,55,58,66,59,54,69,69,83,60,66,58,76,63,76,69,79,65,61,66,53,67,62,62,69,55,60,45,46,47,64,61,47,43,60,53,54,53,57,57,65,52,65,61,56,49,50,35,46,51,58,56,36,72,59,59,50,60,67,53,45,46,40,55,60,58,51,60,58,52,45,53,40,66,62,44,50,53,59,46,51,64,44,58,48,45,52,56,61,47,74,61,56,49,48,64,37,52,57,62,59,48,51,78,48,46,53,48,58,49,58,55,43,46,44,37,43,46,52,40,61,42,48,46,39,34,44,57,52,54,47,52,51,49,51,56,39,53,49,47,67,56,45,53,48,49,50,49,51,58,55,38,37,53,45,56,55,32,53,51,56,50,43,49,47,45,45,40,64,60,44,57,59,51,66,52,62,43,42,52,42,60,58,47,54,53,67,66,51,55,43,44,59,45,59,53,48,56,50,43,54,43,52,65,56,47,49,50,66,38,49,59,56,59,48,51,52,61,61,42,51,52,46,56,65,66,51,45,52,41,54,50,48,48,62,49,63,54,57,69,66,64,54,50,52,60,49,62,60,53,41,52,46,42,58,53,48,52,49,65,54,36,50,57,48,55,67,67,60,66,49,45,54,51,48,57,44,52,44,61,54,53,50,51,60,62,50,85,72,54,58,57,49,19
