inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,314,596,949,1255,1566,1847,2165,2479,2794,3118,3423,3694
02,Bolívar,-1.605556000000000,-79.00305600000000,55,116,189,271,338,393,450,511,579,653,719,783
04,Carchi,0.8121800000000000,-77.71633000000000,61,109,170,219,274,316,379,429,483,540,587,639
03,Cañar,-2.733333000000000,-78.83333300000000,84,177,251,327,418,496,601,697,784,880,950,1010
06,Chimborazo,-1.674347000000000,-78.64829400000001,171,348,532,733,924,1107,1303,1498,1684,1870,2063,2227
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,151,269,408,553,702,836,992,1127,1269,1410,1542,1677
07,El Oro,-3.266667000000000,-79.96666700000000,225,441,655,893,1123,1345,1567,1778,1993,2211,2417,2636
08,Esmeraldas,1.050000000000000,-79.20000000000000,125,244,398,516,634,725,842,970,1081,1192,1314,1400
20,Galápagos,-0.8000000000000000,-89.40000000000001,6,6,10,13,17,20,26,32,38,46,49,51
09,Guayas,-2.183333000000000,-79.88333299999999,1668,3313,5360,7020,8684,10308,11810,13344,14921,16559,18177,19876
10,Imbabura,0.3626780000000000,-78.13066700000000,157,317,454,617,772,926,1072,1239,1368,1503,1653,1813
11,Loja,-3.983333000000000,-79.20000000000000,180,371,562,742,930,1107,1295,1475,1663,1854,2012,2150
12,Los Ríos,-1.800000000000000,-79.53333300000000,286,570,894,1142,1435,1707,1976,2281,2522,2817,3095,3358
13,Manabí,-1.056181000000000,-80.45521700000000,482,951,1566,2668,3086,3546,4049,4558,5046,5582,6073,6538
14,Morona Santiago,-2.300000000000000,-78.11666700000001,42,75,115,158,193,221,258,292,321,367,410,435
15,Napo,-0.9890000000000000,-77.81590000000000,29,57,82,113,138,167,183,212,228,254,282,312
22,Orellana,-0.4666670000000000,-76.96666700000000,35,64,96,138,160,182,204,234,263,282,305,328
88,Otro,0,0,0,1,1,1,1,2,3,3,3,3,3,3
16,Pastaza,-1.066667000000000,-78.00111099999999,22,48,91,109,128,146,167,196,223,250,272,288
17,Pichincha,-0.2186110000000000,-78.50972200000000,966,1881,2871,3963,5012,6026,6991,7951,8873,9861,10813,11825
24,Santa Elena,-2.226700000000000,-80.85830000000000,100,207,311,402,493,589,690,794,907,993,1096,1182
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,161,330,495,646,803,973,1120,1262,1422,1576,1732,1880
21,Sucumbíos,0.08472200000000001,-76.88277800000000,53,86,129,191,233,286,333,372,405,441,487,526
18,Tungurahua,-1.241667000000000,-78.61972200000000,242,457,683,917,1149,1352,1598,1868,2075,2288,2501,2670
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,16,27,45,66,76,97,110,132,149,170,186,205
