inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.0500000000000003,-79.733333,2,4,5,2,9,5,4,8,7,4,4,3
01,Azuay,881394,0111,Chordeleg,15176,-2.933333,-78.766667,5,5,1,5,4,5,4,4,3,3,8,5
01,Azuay,881394,0101,Cuenca,636996,-2.8974140000000004,-79.004481,239,215,286,246,223,215,244,246,255,251,239,210
01,Azuay,881394,0112,El Pan,3091,-2.786111,-78.665,1,0,0,0,3,0,2,2,0,2,1,0
01,Azuay,881394,0102,Girón,13037,-3.159028,-79.147568,4,5,10,7,5,4,6,5,5,5,5,7
01,Azuay,881394,0114,Guachapala,3859,-2.769,-78.709,2,0,1,1,0,3,1,3,1,0,2,0
01,Azuay,881394,0103,Gualaceo,49104,-2.9000000000000004,-78.783333,20,14,13,17,26,15,17,14,14,22,15,14
01,Azuay,881394,0104,Nabón,17292,-3.3360600000000002,-79.06368,5,4,8,3,7,4,4,2,4,3,3,2
01,Azuay,881394,0110,Oña,4128,-3.46964,-79.15431,1,1,1,1,2,2,0,2,1,0,2,0
01,Azuay,881394,0105,Paute,29214,-2.7818,-78.76,11,13,5,7,8,11,10,13,8,6,2,11
01,Azuay,881394,0106,Pucará,10584,-3.2337800000000003,-79.4612,1,2,3,1,1,2,2,1,1,4,5,4
01,Azuay,881394,0107,San Fernando,4156,-3.1445000000000003,-79.252,1,1,0,1,3,0,0,0,0,1,0,3
01,Azuay,881394,0108,Santa Isabel,20935,-3.2741700000000002,-79.3156,8,4,8,4,8,5,4,3,8,6,6,4
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833,-78.655694,5,3,1,1,4,3,7,2,2,2,3,0
01,Azuay,881394,0109,Sígsig,30509,-3.0897,-78.8032,9,11,11,10,8,7,13,9,6,15,10,8
02,Bolívar,209933,0206,Caluma,16429,-1.6333300000000002,-79.25,5,4,5,3,3,6,5,9,5,4,4,2
02,Bolívar,209933,0202,Chillanes,16850,-1.9333330000000002,-79.066667,1,4,9,11,7,3,5,9,9,4,3,3
02,Bolívar,209933,0203,Chimbo,17378,-1.7000000000000002,-79.016667,7,3,4,6,6,4,3,5,6,6,4,5
02,Bolívar,209933,0204,Echeandía,14081,-1.4333300000000002,-79.26667,4,4,6,6,2,1,1,1,2,7,4,1
02,Bolívar,209933,0201,Guaranda,108763,-1.6055560000000002,-79.003056,27,29,39,44,37,32,28,30,35,45,37,41
02,Bolívar,209933,0207,Las Naves,7428,-1.28333,-79.3,1,3,1,1,0,3,1,1,0,0,2,3
02,Bolívar,209933,0205,San Miguel,29004,-1.7000000000000002,-79.033333,10,14,9,11,12,6,14,6,11,8,12,9
04,Carchi,186869,0402,Bolivar,15528,0.507099,-77.862454,3,7,5,4,5,4,3,3,5,3,4,4
04,Carchi,186869,0403,Espejo,13817,0.621,-77.94,6,1,2,1,5,2,2,3,3,6,5,1
04,Carchi,186869,0404,Mira,11969,0.5538999999999998,-78.0493,2,1,6,4,3,2,4,1,2,5,3,2
04,Carchi,186869,0405,Montúfar,34229,0.61,-77.84,11,8,9,9,11,6,14,7,10,11,6,11
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.631111,-77.725278,3,0,2,1,1,0,3,1,2,3,2,4
04,Carchi,186869,0401,Tulcán,102395,0.81218,-77.71633,36,31,37,30,30,28,37,35,32,29,27,30
03,Cañar,281396,0301,Azogues,86276,-2.733333,-78.833333,42,45,42,32,39,42,54,41,36,46,29,28
03,Cañar,281396,0302,Biblían,23741,-2.7100000000000004,-78.88,8,4,3,5,5,6,8,6,6,3,9,3
03,Cañar,281396,0303,Cañar,68747,-2.4837000000000002,-78.9784,15,21,16,15,23,15,15,22,19,18,12,12
03,Cañar,281396,0306,Déleg,6782,-2.7726,-78.9183,2,1,0,2,2,1,3,7,3,2,1,2
03,Cañar,281396,0305,El Tambo,12462,-2.5081,-78.9249,3,1,2,1,4,2,4,3,2,6,3,1
03,Cañar,281396,0304,La Troncal,76872,-2.4000000000000004,-79.33,13,20,9,18,16,9,20,15,20,19,15,14
03,Cañar,281396,0307,Suscal,6516,-2.4364000000000003,-79.0522,1,1,2,3,2,3,1,2,1,2,1,0
06,Chimborazo,524004,0602,Alausí,45054,-2.2,-78.85,7,10,14,11,14,14,17,13,9,9,13,8
06,Chimborazo,524004,0604,Chambo,13378,-1.7333330000000002,-78.583333,4,6,5,3,6,6,3,5,5,4,5,6
06,Chimborazo,524004,0605,Chunchi,12795,-2.2833330000000003,-78.916667,4,4,5,3,6,4,8,4,3,6,9,3
06,Chimborazo,524004,0603,Colta,44838,-1.7000000000000002,-78.75,12,21,14,24,15,14,18,18,20,16,26,13
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,2,7,0,5,5,2,2,5,4,1,2,3
06,Chimborazo,524004,0606,Guamote,58291,-1.9333330000000002,-78.716667,12,15,13,16,14,12,7,13,10,12,17,12
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,6,10,14,8,7,9,17,14,10,6,6,13
06,Chimborazo,524004,0608,Pallatanga,12277,-1.9833330000000002,-78.95,1,0,3,7,5,4,5,1,4,9,5,5
06,Chimborazo,524004,0609,Penipe,6955,-1.5573000000000001,-78.5396,2,1,1,6,2,1,3,2,3,9,5,2
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,121,103,115,118,117,117,116,120,118,114,105,99
05,Cotopaxi,488716,0502,La Maná,56905,-0.9299999999999999,-79.22,7,8,14,6,13,7,13,16,12,10,9,7
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,70,64,78,75,85,60,87,66,64,76,74,73
05,Cotopaxi,488716,0503,Pangua,24612,-1.1333330000000001,-79.066667,11,3,2,4,10,7,5,8,6,6,8,7
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,17,13,16,30,15,28,19,14,24,19,16,10
05,Cotopaxi,488716,0505,Salcedo,67100,-1.05,-78.583333,28,18,17,20,9,21,19,17,17,22,15,26
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,7,5,7,6,9,6,10,6,14,4,6,5
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,11,7,5,4,8,5,3,8,5,4,4,7
07,El Oro,715751,0702,Arenillas,33473,-3.5500000000000003,-80.06,5,7,6,16,9,12,7,8,7,9,6,7
07,El Oro,715751,0703,Atahualpa,6436,-2.9000000000000004,-78.933333,4,1,0,1,1,2,1,3,3,1,2,1
07,El Oro,715751,0704,Balsas,9233,-3.7626000000000004,-79.8253,2,3,3,1,1,3,6,2,2,0,3,2
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,0,1,0,0,1,3,0,1,1,1,0,0
07,El Oro,715751,0706,El Guabo,63645,-3.2388000000000003,-79.8292,22,13,11,5,13,16,8,3,16,17,10,21
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,9,9,12,17,11,9,18,6,11,19,9,11
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,0,1,3,1,1,1,3,2,3,1,0,3
07,El Oro,715751,0701,Machala,289141,-3.2666670000000004,-79.966667,105,113,107,128,128,113,104,108,101,98,101,92
07,El Oro,715751,0708,Marcabelí,6259,-3.7860000000000005,-79.8978,0,2,3,2,0,2,2,0,3,4,2,0
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,21,18,20,23,23,22,27,23,21,26,22,23
