provincia,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,2,0,0,0,1,2,0,1,0,4,1,0,1,0,1,0,0,7,1,0,1,0,0,0,5,1,2,0,0,1,2,1,3,2,0,3,2,1,1,0,0,3,1,2,1,1,0,0,0,2,1,0
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,2,1,1,1,2,1,1,1,0,0,0,1,0,2,0,1,2,0,1,2,1,1,3,0,1,0,1,2,0,1,0,2,0,2,0,0,2,0,1,2,0,1,0,1,0,2,4,3,0,0,1,2
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,50,52,69,48,55,62,47,46,55,75,59,59,71,62,59,53,51,60,55,41,49,49,48,50,49,47,55,73,50,49,54,49,62,52,72,60,65,52,48,58,74,55,45,50,61,59,52,46,53,54,52,33
Azuay,El Pan,-2.786111000000000,-78.66500000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Azuay,Girón,-3.159028000000000,-79.14756800000001,1,2,0,0,0,1,2,2,1,2,4,2,2,2,4,0,0,1,0,3,0,2,0,2,1,1,1,1,2,1,1,2,0,1,1,2,2,0,2,1,0,1,2,1,2,0,2,1,0,2,2,2
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,2,4,7,4,6,5,2,1,1,2,5,0,6,3,6,4,3,10,3,6,4,5,4,1,5,5,2,2,5,6,2,3,4,4,5,1,6,2,5,7,4,4,2,4,3,4,3,4,3,2,4,4
Azuay,Nabón,-3.336060000000000,-79.06368000000001,0,2,1,2,2,1,1,0,0,3,0,3,2,0,1,2,0,3,1,0,2,2,2,0,0,2,0,1,2,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2,0,0
Azuay,Oña,-3.469640000000000,-79.15431000000000,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Azuay,Paute,-2.781800000000000,-78.76000000000001,4,3,1,1,1,2,5,3,4,2,0,1,2,2,1,2,0,3,2,1,2,2,2,2,4,1,6,2,1,1,0,8,2,3,2,1,4,1,1,1,2,0,2,1,0,0,1,0,5,2,4,0
