provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,2,4,5,2,9,5,4,8,7,4,4,3
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,5,5,1,5,4,5,4,4,3,3,8,5
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,239,215,286,246,223,215,244,246,255,251,239,210
Azuay,El Pan,-2.786111000000000,-78.66500000000001,1,0,0,0,3,0,2,2,0,2,1,0
Azuay,Girón,-3.159028000000000,-79.14756800000001,4,5,10,7,5,4,6,5,5,5,5,7
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,2,0,1,1,0,3,1,3,1,0,2,0
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,20,14,13,17,26,15,17,14,14,22,15,14
Azuay,Nabón,-3.336060000000000,-79.06368000000001,5,4,8,3,7,4,4,2,4,3,3,2
Azuay,Oña,-3.469640000000000,-79.15431000000000,1,1,1,1,2,2,0,2,1,0,2,0
Azuay,Paute,-2.781800000000000,-78.76000000000001,11,13,5,7,8,11,10,13,8,6,2,11
Azuay,Pucará,-3.233780000000000,-79.46120000000001,1,2,3,1,1,2,2,1,1,4,5,4
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,1,0,1,3,0,0,0,0,1,0,3
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,8,4,8,4,8,5,4,3,8,6,6,4
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,5,3,1,1,4,3,7,2,2,2,3,0
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,9,11,11,10,8,7,13,9,6,15,10,8
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,5,4,5,3,3,6,5,9,5,4,4,2
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,1,4,9,11,7,3,5,9,9,4,3,3
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,7,3,4,6,6,4,3,5,6,6,4,5
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,4,4,6,6,2,1,1,1,2,7,4,1
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,27,29,39,44,37,32,28,30,35,45,37,41
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,3,1,1,0,3,1,1,0,0,2,3
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,10,14,9,11,12,6,14,6,11,8,12,9
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,3,7,5,4,5,4,3,3,5,3,4,4
Carchi,Espejo,0.6210000000000000,-77.94000000000000,6,1,2,1,5,2,2,3,3,6,5,1
Carchi,Mira,0.5538999999999999,-78.04930000000000,2,1,6,4,3,2,4,1,2,5,3,2
Carchi,Montúfar,0.6100000000000000,-77.84000000000000,11,8,9,9,11,6,14,7,10,11,6,11
Carchi,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,3,0,2,1,1,0,3,1,2,3,2,4
Carchi,Tulcán,0.8121800000000000,-77.71633000000000,36,31,37,30,30,28,37,35,32,29,27,30
Cañar,Azogues,-2.733333000000000,-78.83333300000000,42,45,42,32,39,42,54,41,36,46,29,28
Cañar,Biblían,-2.710000000000000,-78.88000000000000,8,4,3,5,5,6,8,6,6,3,9,3
Cañar,Cañar,-2.483700000000000,-78.97839999999999,15,21,16,15,23,15,15,22,19,18,12,12
Cañar,Déleg,-2.772600000000000,-78.91830000000000,2,1,0,2,2,1,3,7,3,2,1,2
Cañar,El Tambo,-2.508100000000000,-78.92489999999999,3,1,2,1,4,2,4,3,2,6,3,1
Cañar,La Troncal,-2.400000000000000,-79.33000000000000,13,20,9,18,16,9,20,15,20,19,15,14
Cañar,Suscal,-2.436400000000000,-79.05220000000000,1,1,2,3,2,3,1,2,1,2,1,0
Chimborazo,Alausí,-2.200000000000000,-78.84999999999999,7,10,14,11,14,14,17,13,9,9,13,8
Chimborazo,Chambo,-1.733333000000000,-78.58333300000000,4,6,5,3,6,6,3,5,5,4,5,6
Chimborazo,Chunchi,-2.283333000000000,-78.91666700000000,4,4,5,3,6,4,8,4,3,6,9,3
Chimborazo,Colta,-1.700000000000000,-78.75000000000000,12,21,14,24,15,14,18,18,20,16,26,13
Chimborazo,Cumandá,-2.200000000000000,-79.13333299999999,2,7,0,5,5,2,2,5,4,1,2,3
Chimborazo,Guamote,-1.933333000000000,-78.71666700000000,12,15,13,16,14,12,7,13,10,12,17,12
Chimborazo,Guano,-1.583333000000000,-78.63333299999999,6,10,14,8,7,9,17,14,10,6,6,13
Chimborazo,Pallatanga,-1.983333000000000,-78.95000000000000,1,0,3,7,5,4,5,1,4,9,5,5
Chimborazo,Penipe,-1.557300000000000,-78.53959999999999,2,1,1,6,2,1,3,2,3,9,5,2
Chimborazo,Riobamba,-1.674347000000000,-78.64829400000001,121,103,115,118,117,117,116,120,118,114,105,99
Cotopaxi,La Maná,-0.9300000000000000,-79.22000000000000,7,8,14,6,13,7,13,16,12,10,9,7
Cotopaxi,Latacunga,-0.9333330000000000,-78.61666700000001,70,64,78,75,85,60,87,66,64,76,74,73
Cotopaxi,Pangua,-1.133333000000000,-79.06666700000000,11,3,2,4,10,7,5,8,6,6,8,7
Cotopaxi,Pujilí,-0.9500000000000000,-78.69000000000000,17,13,16,30,15,28,19,14,24,19,16,10
Cotopaxi,Salcedo,-1.050000000000000,-78.58333300000000,28,18,17,20,9,21,19,17,17,22,15,26
Cotopaxi,Saquisilí,-0.8300000000000000,-78.67000000000000,7,5,7,6,9,6,10,6,14,4,6,5
Cotopaxi,Sigchos,-0.7000000000000000,-78.88333299999999,11,7,5,4,8,5,3,8,5,4,4,7
El Oro,Arenillas,-3.550000000000000,-80.06000000000000,5,7,6,16,9,12,7,8,7,9,6,7
El Oro,Atahualpa,-2.900000000000000,-78.93333300000000,4,1,0,1,1,2,1,3,3,1,2,1
El Oro,Balsas,-3.762600000000000,-79.82530000000000,2,3,3,1,1,3,6,2,2,0,3,2
El Oro,Chilla,-3.450000000000000,-79.58000000000000,0,1,0,0,1,3,0,1,1,1,0,0
El Oro,El Guabo,-3.238800000000000,-79.82920000000000,22,13,11,5,13,16,8,3,16,17,10,21
El Oro,Huaquillas,-3.481380000000000,-80.24320700000000,9,9,12,17,11,9,18,6,11,19,9,11
El Oro,Las Lajas,-3.785000000000000,-80.06166700000000,0,1,3,1,1,1,3,2,3,1,0,3
El Oro,Machala,-3.266667000000000,-79.96666700000000,105,113,107,128,128,113,104,108,101,98,101,92
