inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,0115,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,2,6,11,13,22,27,31,39,46,50,54,57
01,Azuay,0111,Chordeleg,-2.933333000000000,-78.76666700000000,5,10,11,16,20,25,29,33,36,39,47,52
01,Azuay,0101,Cuenca,-2.897414000000000,-79.00448100000000,239,454,740,986,1209,1424,1668,1914,2169,2420,2659,2869
01,Azuay,0112,El Pan,-2.786111000000000,-78.66500000000001,1,1,1,1,4,4,6,8,8,10,11,11
01,Azuay,0102,Girón,-3.159028000000000,-79.14756800000001,4,9,19,26,31,35,41,46,51,56,61,68
01,Azuay,0114,Guachapala,-2.769000000000000,-78.70900000000000,2,2,3,4,4,7,8,11,12,12,14,14
01,Azuay,0103,Gualaceo,-2.900000000000000,-78.78333300000000,20,34,47,64,90,105,122,136,150,172,187,201
01,Azuay,0104,Nabón,-3.336060000000000,-79.06368000000001,5,9,17,20,27,31,35,37,41,44,47,49
01,Azuay,0110,Oña,-3.469640000000000,-79.15431000000000,1,2,3,4,6,8,8,10,11,11,13,13
01,Azuay,0105,Paute,-2.781800000000000,-78.76000000000001,11,24,29,36,44,55,65,78,86,92,94,105
01,Azuay,0106,Pucará,-3.233780000000000,-79.46120000000001,1,3,6,7,8,10,12,13,14,18,23,27
01,Azuay,0107,San Fernando,-3.144500000000000,-79.25200000000000,1,2,2,3,6,6,6,6,6,7,7,10
01,Azuay,0108,Santa Isabel,-3.274170000000000,-79.31560000000000,8,12,20,24,32,37,41,44,52,58,64,68
01,Azuay,0113,Sevilla de Oro,-2.799833000000000,-78.65569400000000,5,8,9,10,14,17,24,26,28,30,33,33
01,Azuay,0109,Sígsig,-3.089700000000000,-78.80320000000000,9,20,31,41,49,56,69,78,84,99,109,117
02,Bolívar,0206,Caluma,-1.633330000000000,-79.25000000000000,5,9,14,17,20,26,31,40,45,49,53,55
02,Bolívar,0202,Chillanes,-1.933333000000000,-79.06666700000000,1,5,14,25,32,35,40,49,58,62,65,68
02,Bolívar,0203,Chimbo,-1.700000000000000,-79.01666700000000,7,10,14,20,26,30,33,38,44,50,54,59
02,Bolívar,0204,Echeandía,-1.433330000000000,-79.26667000000000,4,8,14,20,22,23,24,25,27,34,38,39
02,Bolívar,0201,Guaranda,-1.605556000000000,-79.00305600000000,27,56,95,139,176,208,236,266,301,346,383,424
02,Bolívar,0207,Las Naves,-1.283330000000000,-79.30000000000000,1,4,5,6,6,9,10,11,11,11,13,16
02,Bolívar,0205,San Miguel,-1.700000000000000,-79.03333300000000,10,24,33,44,56,62,76,82,93,101,113,122
04,Carchi,0402,Bolivar,0.5070990000000000,-77.86245400000000,3,10,15,19,24,28,31,34,39,42,46,50
04,Carchi,0403,Espejo,0.6210000000000000,-77.94000000000000,6,7,9,10,15,17,19,22,25,31,36,37
04,Carchi,0404,Mira,0.5538999999999999,-78.04930000000000,2,3,9,13,16,18,22,23,25,30,33,35
04,Carchi,0405,Montúfar,0.6100000000000000,-77.84000000000000,11,19,28,37,48,54,68,75,85,96,102,113
04,Carchi,0406,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,3,3,5,6,7,7,10,11,13,16,18,22
04,Carchi,0401,Tulcán,0.8121800000000000,-77.71633000000000,36,67,104,134,164,192,229,264,296,325,352,382
03,Cañar,0301,Azogues,-2.733333000000000,-78.83333300000000,42,87,129,161,200,242,296,337,373,419,448,476
03,Cañar,0302,Biblían,-2.710000000000000,-78.88000000000000,8,12,15,20,25,31,39,45,51,54,63,66
03,Cañar,0303,Cañar,-2.483700000000000,-78.97839999999999,15,36,52,67,90,105,120,142,161,179,191,203
03,Cañar,0306,Déleg,-2.772600000000000,-78.91830000000000,2,3,3,5,7,8,11,18,21,23,24,26
03,Cañar,0305,El Tambo,-2.508100000000000,-78.92489999999999,3,4,6,7,11,13,17,20,22,28,31,32
03,Cañar,0304,La Troncal,-2.400000000000000,-79.33000000000000,13,33,42,60,76,85,105,120,140,159,174,188
03,Cañar,0307,Suscal,-2.436400000000000,-79.05220000000000,1,2,4,7,9,12,13,15,16,18,19,19
06,Chimborazo,0602,Alausí,-2.200000000000000,-78.84999999999999,7,17,31,42,56,70,87,100,109,118,131,139
06,Chimborazo,0604,Chambo,-1.733333000000000,-78.58333300000000,4,10,15,18,24,30,33,38,43,47,52,58
06,Chimborazo,0605,Chunchi,-2.283333000000000,-78.91666700000000,4,8,13,16,22,26,34,38,41,47,56,59
06,Chimborazo,0603,Colta,-1.700000000000000,-78.75000000000000,12,33,47,71,86,100,118,136,156,172,198,211
06,Chimborazo,0610,Cumandá,-2.200000000000000,-79.13333299999999,2,9,9,14,19,21,23,28,32,33,35,38
06,Chimborazo,0606,Guamote,-1.933333000000000,-78.71666700000000,12,27,40,56,70,82,89,102,112,124,141,153
06,Chimborazo,0607,Guano,-1.583333000000000,-78.63333299999999,6,16,30,38,45,54,71,85,95,101,107,120
06,Chimborazo,0608,Pallatanga,-1.983333000000000,-78.95000000000000,1,1,4,11,16,20,25,26,30,39,44,49
06,Chimborazo,0609,Penipe,-1.557300000000000,-78.53959999999999,2,3,4,10,12,13,16,18,21,30,35,37
06,Chimborazo,0601,Riobamba,-1.674347000000000,-78.64829400000001,121,224,339,457,574,691,807,927,1045,1159,1264,1363
05,Cotopaxi,0502,La Maná,-0.9300000000000000,-79.22000000000000,7,15,29,35,48,55,68,84,96,106,115,122
05,Cotopaxi,0501,Latacunga,-0.9333330000000000,-78.61666700000001,70,134,212,287,372,432,519,585,649,725,799,872
05,Cotopaxi,0503,Pangua,-1.133333000000000,-79.06666700000000,11,14,16,20,30,37,42,50,56,62,70,77
05,Cotopaxi,0504,Pujilí,-0.9500000000000000,-78.69000000000000,17,30,46,76,91,119,138,152,176,195,211,221
05,Cotopaxi,0505,Salcedo,-1.050000000000000,-78.58333300000000,28,46,63,83,92,113,132,149,166,188,203,229
05,Cotopaxi,0506,Saquisilí,-0.8300000000000000,-78.67000000000000,7,12,19,25,34,40,50,56,70,74,80,85
05,Cotopaxi,0507,Sigchos,-0.7000000000000000,-78.88333299999999,11,18,23,27,35,40,43,51,56,60,64,71
07,El Oro,0702,Arenillas,-3.550000000000000,-80.06000000000000,5,12,18,34,43,55,62,70,77,86,92,99
07,El Oro,0703,Atahualpa,-2.900000000000000,-78.93333300000000,4,5,5,6,7,9,10,13,16,17,19,20
07,El Oro,0704,Balsas,-3.762600000000000,-79.82530000000000,2,5,8,9,10,13,19,21,23,23,26,28
07,El Oro,0705,Chilla,-3.450000000000000,-79.58000000000000,0,1,1,1,2,5,5,6,7,8,8,8
07,El Oro,0706,El Guabo,-3.238800000000000,-79.82920000000000,22,35,46,51,64,80,88,91,107,124,134,155
07,El Oro,0707,Huaquillas,-3.481380000000000,-80.24320700000000,9,18,30,47,58,67,85,91,102,121,130,141
07,El Oro,0714,Las Lajas,-3.785000000000000,-80.06166700000000,0,1,4,5,6,7,10,12,15,16,16,19
07,El Oro,0701,Machala,-3.266667000000000,-79.96666700000000,105,218,325,453,581,694,798,906,1007,1105,1206,1298
07,El Oro,0708,Marcabelí,-3.786000000000000,-79.89780000000000,0,2,5,7,7,9,11,11,14,18,20,20
07,El Oro,0709,Pasaje,-3.326900000000000,-79.80490000000000,21,39,59,82,105,127,154,177,198,224,246,269
07,El Oro,0710,Piñas,-3.666667000000000,-79.65000000000001,12,27,38,47,58,64,78,95,109,116,124,133
07,El Oro,0711,Portovelo,-3.720000000000000,-79.62000000000000,6,9,11,11,12,13,17,20,21,23,26,32
07,El Oro,0712,Santa Rosa,-3.452222000000000,-79.96166700000001,30,55,82,108,129,149,169,197,223,250,279,316
07,El Oro,0713,Zaruma,-3.433333000000000,-79.59999999999999,9,14,23,32,41,53,61,68,74,80,91,98
08,Esmeraldas,0806,Atacames,0.8666670000000000,-79.83333300000000,5,10,15,20,24,31,35,39,41,45,48,50
08,Esmeraldas,0802,Eloy Alfaro,1.250000000000000,-79,1,8,13,16,22,24,28,30,36,46,49,50
08,Esmeraldas,0801,Esmeraldas,1.050000000000000,-79.20000000000000,71,148,242,313,383,435,493,575,650,712,777,823
08,Esmeraldas,0803,Muisne,0.6067000000000000,-80.01830000000000,4,7,9,13,16,19,24,26,26,30,33,37
08,Esmeraldas,0804,Quinindé,0.3300000000000000,-79.48000000000000,35,45,81,102,127,149,185,204,226,248,284,305
08,Esmeraldas,0807,Rioverde,1.060200000000000,-79.40440000000000,4,11,16,19,23,25,31,36,39,42,48,53
08,Esmeraldas,0805,San Lorenzo,1.265800000000000,-78.84139999999999,5,15,22,33,39,42,46,60,63,69,75,82
20,Galápagos,2002,Isabela,-0.4724000000000000,-90.68110000000000,0,0,1,1,2,2,2,2,4,5,6,6
20,Galápagos,2001,San Cristóbal,-0.8000000000000000,-89.40000000000001,3,3,5,6,8,10,11,13,17,20,21,21
20,Galápagos,2003,Santa Cruz,-0.6333330000000000,-90.36666700000001,3,3,4,6,7,8,13,17,17,21,22,24
09,Guayas,0902,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,8,20,30,35,41,48,58,65,74,79,81,83
09,Guayas,0903,Balao,-2.910000000000000,-79.81000000000000,4,11,17,23,34,42,45,48,55,62,69,69
09,Guayas,0904,Balzar,-1.360000000000000,-79.90000000000001,16,40,68,83,105,129,152,174,196,214,227,260
09,Guayas,0905,Colimes,-1.550000000000000,-80.01666700000000,9,15,23,26,29,34,39,47,48,57,62,74
09,Guayas,0923,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,6,7,10,12,13,13,14,14,15,18,19,20
09,Guayas,0906,Daule,-1.866667000000000,-79.98333300000000,36,73,125,148,194,224,268,303,343,379,411,449
09,Guayas,0907,Durán,-2.166667000000000,-79.83333300000000,25,47,74,96,120,148,165,182,201,217,243,267
09,Guayas,0909,El Triunfo,-2.330000000000000,-79.40000000000001,14,25,46,56,74,81,94,107,118,136,144,158
09,Guayas,0908,Empalme,-1.046111000000000,-79.63361100000000,18,40,69,94,118,146,169,193,218,247,268,292
09,Guayas,0927,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,5,7,10,10,13,15,16,18,19,21,22,23
09,Guayas,0901,Guayaquil,-2.183333000000000,-79.88333299999999,1293,2559,4163,5486,6785,8066,9217,10394,11606,12883,14149,15491
09,Guayas,0928,Isidro Ayora,-1.883333000000000,-80.16666700000000,0,3,6,8,10,11,12,13,14,17,22,26
09,Guayas,0924,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,7,9,12,18,26,29,34,39,43,46,49,51
09,Guayas,0910,Milagro,-2.126944000000000,-79.59916699999999,92,183,274,353,428,514,599,698,786,885,973,1060
09,Guayas,0911,Naranjal,-2.672800000000000,-79.61499999999999,16,39,62,74,89,99,108,124,139,150,172,187
09,Guayas,0912,Naranjito,-2.173000000000000,-79.46710000000000,9,23,39,50,57,65,83,99,114,118,131,142
09,Guayas,0925,Nobol,-1.916671000000000,-80.01153900000000,7,11,15,20,28,33,40,42,46,48,63,66
09,Guayas,0913,Palestina,-1.626300000000000,-79.97700000000000,5,10,22,28,32,37,39,40,47,49,55,60
09,Guayas,0914,Pedro Carbo,-1.833333000000000,-80.23333300000000,17,36,56,70,82,92,106,116,133,142,157,161
09,Guayas,0921,Playas,-2.623330000000000,-80.38750000000000,11,20,33,47,56,69,76,88,105,115,125,138
09,Guayas,0919,Salitre,-1.829444000000000,-79.81555600000000,18,37,54,70,93,117,132,145,169,190,207,227
09,Guayas,0916,Samborondón,-2.183333000000000,-79.88333299999999,24,43,62,82,97,110,128,145,162,179,196,209
