inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,314,282,353,306,311,281,318,314,315,324,305,271
02,Bolívar,-1.605556000000000,-79.00305600000000,55,61,73,82,67,55,57,61,68,74,66,64
04,Carchi,0.8121800000000000,-77.71633000000000,61,48,61,49,55,42,63,50,54,57,47,52
03,Cañar,-2.733333000000000,-78.83333300000000,84,93,74,76,91,78,105,96,87,96,70,60
06,Chimborazo,-1.674347000000000,-78.64829400000001,171,177,184,201,191,183,196,195,186,186,193,164
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,151,118,139,145,149,134,156,135,142,141,132,135
07,El Oro,-3.266667000000000,-79.96666700000000,225,216,214,238,230,222,222,211,215,218,206,219
08,Esmeraldas,1.050000000000000,-79.20000000000000,125,119,154,118,118,91,117,128,111,111,122,86
20,Galápagos,-0.8000000000000000,-89.40000000000001,6,0,4,3,4,3,6,6,6,8,3,2
09,Guayas,-2.183333000000000,-79.88333299999999,1668,1645,2047,1660,1664,1624,1502,1534,1577,1638,1618,1699
10,Imbabura,0.3626780000000000,-78.13066700000000,157,160,137,163,155,154,146,167,129,135,150,160
11,Loja,-3.983333000000000,-79.20000000000000,180,191,191,180,188,177,188,180,188,191,158,138
12,Los Ríos,-1.800000000000000,-79.53333300000000,286,284,324,248,293,272,269,305,241,295,278,263
13,Manabí,-1.056181000000000,-80.45521700000000,482,469,615,1102,418,460,503,509,488,536,491,465
14,Morona Santiago,-2.300000000000000,-78.11666700000001,42,33,40,43,35,28,37,34,29,46,43,25
15,Napo,-0.9890000000000000,-77.81590000000000,29,28,25,31,25,29,16,29,16,26,28,30
22,Orellana,-0.4666670000000000,-76.96666700000000,35,29,32,42,22,22,22,30,29,19,23,23
88,Otro,0,0,0,1,0,0,0,1,1,0,0,0,0,0
16,Pastaza,-1.066667000000000,-78.00111099999999,22,26,43,18,19,18,21,29,27,27,22,16
17,Pichincha,-0.2186110000000000,-78.50972200000000,966,915,990,1092,1049,1014,965,960,922,988,952,1012
24,Santa Elena,-2.226700000000000,-80.85830000000000,100,107,104,91,91,96,101,104,113,86,103,86
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,161,169,165,151,157,170,147,142,160,154,156,148
21,Sucumbíos,0.08472200000000001,-76.88277800000000,53,33,43,62,42,53,47,39,33,36,46,39
18,Tungurahua,-1.241667000000000,-78.61972200000000,242,215,226,234,232,203,246,270,207,213,213,169
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,16,11,18,21,10,21,13,22,17,21,16,19
