provincia,total,acumuladas,lat,lng,semana
Azuay,68,68,-2.897414000000000,-79.00448100000000,1
Bolívar,7,7,-1.605556000000000,-79.00305600000000,1
Carchi,9,9,0.8121800000000000,-77.71633000000000,1
Cañar,17,17,-2.733333000000000,-78.83333300000000,1
Chimborazo,35,35,-1.674347000000000,-78.64829400000001,1
Cotopaxi,28,28,-0.9333330000000000,-78.61666700000001,1
El Oro,46,46,-3.266667000000000,-79.96666700000000,1
Esmeraldas,31,31,1.050000000000000,-79.20000000000000,1
Galápagos,3,3,-0.7999999999999999,-89.40000000000001,1
Guayas,377,377,-2.183333000000000,-79.88333299999999,1
Imbabura,25,25,0.3626780000000000,-78.13066700000000,1
Loja,48,48,-3.983333000000000,-79.20000000000000,1
Los Ríos,60,60,-1.800000000000000,-79.53333300000000,1
Manabí,111,111,-1.056181000000000,-80.45521700000000,1
Morona Santiago,5,5,-2.300000000000000,-78.11666700000001,1
Napo,6,6,-0.9890000000000000,-77.81590000000000,1
Orellana,12,12,-0.4666670000000000,-76.96666700000000,1
Otro,0,0,0,0,1
Pastaza,5,5,-1.066667000000000,-78.00111099999999,1
Pichincha,200,200,-0.2186110000000000,-78.50972200000000,1
Santa Elena,15,15,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,39,39,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,18,18,0.08472200000000002,-76.88277800000000,1
Tungurahua,58,58,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,7,7,-4.120000000000000,-78.80000000000000,1
Azuay,71,139,-2.897414000000000,-79.00448100000000,2
Bolívar,11,18,-1.605556000000000,-79.00305600000000,2
Carchi,12,21,0.8121800000000000,-77.71633000000000,2
Cañar,20,37,-2.733333000000000,-78.83333300000000,2
Chimborazo,30,65,-1.674347000000000,-78.64829400000001,2
Cotopaxi,32,60,-0.9333330000000000,-78.61666700000001,2
El Oro,63,109,-3.266667000000000,-79.96666700000000,2
Esmeraldas,25,56,1.050000000000000,-79.20000000000000,2
Galápagos,1,4,-0.7999999999999999,-89.40000000000001,2
Guayas,368,745,-2.183333000000000,-79.88333299999999,2
Imbabura,47,72,0.3626780000000000,-78.13066700000000,2
Loja,34,82,-3.983333000000000,-79.20000000000000,2
Los Ríos,69,129,-1.800000000000000,-79.53333300000000,2
Manabí,93,204,-1.056181000000000,-80.45521700000000,2
Morona Santiago,11,16,-2.300000000000000,-78.11666700000001,2
Napo,6,12,-0.9890000000000000,-77.81590000000000,2
Orellana,7,19,-0.4666670000000000,-76.96666700000000,2
Otro,0,0,0,0,2
Pastaza,3,8,-1.066667000000000,-78.00111099999999,2
Pichincha,241,441,-0.2186110000000000,-78.50972200000000,2
Santa Elena,27,42,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,31,70,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,13,31,0.08472200000000002,-76.88277800000000,2
Tungurahua,45,103,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,3,10,-4.120000000000000,-78.80000000000000,2
Azuay,82,221,-2.897414000000000,-79.00448100000000,3
Bolívar,12,30,-1.605556000000000,-79.00305600000000,3
Carchi,19,40,0.8121800000000000,-77.71633000000000,3
Cañar,18,55,-2.733333000000000,-78.83333300000000,3
Chimborazo,44,109,-1.674347000000000,-78.64829400000001,3
Cotopaxi,36,96,-0.9333330000000000,-78.61666700000001,3
El Oro,41,150,-3.266667000000000,-79.96666700000000,3
Esmeraldas,19,75,1.050000000000000,-79.20000000000000,3
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,3
Guayas,363,1108,-2.183333000000000,-79.88333299999999,3
Imbabura,34,106,0.3626780000000000,-78.13066700000000,3
Loja,43,125,-3.983333000000000,-79.20000000000000,3
Los Ríos,60,189,-1.800000000000000,-79.53333300000000,3
Manabí,121,325,-1.056181000000000,-80.45521700000000,3
Morona Santiago,11,27,-2.300000000000000,-78.11666700000001,3
Napo,4,16,-0.9890000000000000,-77.81590000000000,3
Orellana,5,24,-0.4666670000000000,-76.96666700000000,3
Otro,0,0,0,0,3
Pastaza,7,15,-1.066667000000000,-78.00111099999999,3
Pichincha,207,648,-0.2186110000000000,-78.50972200000000,3
Santa Elena,19,61,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,39,109,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,12,43,0.08472200000000002,-76.88277800000000,3
Tungurahua,49,152,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,1,11,-4.120000000000000,-78.80000000000000,3
Azuay,63,284,-2.897414000000000,-79.00448100000000,4
Bolívar,15,45,-1.605556000000000,-79.00305600000000,4
Carchi,13,53,0.8121800000000000,-77.71633000000000,4
Cañar,19,74,-2.733333000000000,-78.83333300000000,4
Chimborazo,37,146,-1.674347000000000,-78.64829400000001,4
Cotopaxi,41,137,-0.9333330000000000,-78.61666700000001,4
El Oro,47,197,-3.266667000000000,-79.96666700000000,4
Esmeraldas,31,106,1.050000000000000,-79.20000000000000,4
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,4
Guayas,383,1491,-2.183333000000000,-79.88333299999999,4
Imbabura,37,143,0.3626780000000000,-78.13066700000000,4
Loja,37,162,-3.983333000000000,-79.20000000000000,4
Los Ríos,67,256,-1.800000000000000,-79.53333300000000,4
Manabí,104,429,-1.056181000000000,-80.45521700000000,4
Morona Santiago,14,41,-2.300000000000000,-78.11666700000001,4
Napo,8,24,-0.9890000000000000,-77.81590000000000,4
Orellana,9,33,-0.4666670000000000,-76.96666700000000,4
Otro,0,0,0,0,4
Pastaza,4,19,-1.066667000000000,-78.00111099999999,4
Pichincha,212,860,-0.2186110000000000,-78.50972200000000,4
Santa Elena,20,81,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,29,138,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,7,50,0.08472200000000002,-76.88277800000000,4
Tungurahua,58,210,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,2,13,-4.120000000000000,-78.80000000000000,4
Azuay,71,355,-2.897414000000000,-79.00448100000000,5
Bolívar,14,59,-1.605556000000000,-79.00305600000000,5
Carchi,13,66,0.8121800000000000,-77.71633000000000,5
Cañar,17,91,-2.733333000000000,-78.83333300000000,5
Chimborazo,43,189,-1.674347000000000,-78.64829400000001,5
Cotopaxi,25,162,-0.9333330000000000,-78.61666700000001,5
El Oro,50,247,-3.266667000000000,-79.96666700000000,5
Esmeraldas,26,132,1.050000000000000,-79.20000000000000,5
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,5
Guayas,381,1872,-2.183333000000000,-79.88333299999999,5
Imbabura,36,179,0.3626780000000000,-78.13066700000000,5
Loja,50,212,-3.983333000000000,-79.20000000000000,5
Los Ríos,83,339,-1.800000000000000,-79.53333300000000,5
Manabí,107,536,-1.056181000000000,-80.45521700000000,5
Morona Santiago,7,48,-2.300000000000000,-78.11666700000001,5
Napo,6,30,-0.9890000000000000,-77.81590000000000,5
Orellana,6,39,-0.4666670000000000,-76.96666700000000,5
Otro,0,0,0,0,5
Pastaza,9,28,-1.066667000000000,-78.00111099999999,5
Pichincha,246,1106,-0.2186110000000000,-78.50972200000000,5
Santa Elena,29,110,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,41,179,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,8,58,0.08472200000000002,-76.88277800000000,5
Tungurahua,54,264,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,3,16,-4.120000000000000,-78.80000000000000,5
Azuay,78,433,-2.897414000000000,-79.00448100000000,6
Bolívar,22,81,-1.605556000000000,-79.00305600000000,6
Carchi,11,77,0.8121800000000000,-77.71633000000000,6
Cañar,27,118,-2.733333000000000,-78.83333300000000,6
Chimborazo,54,243,-1.674347000000000,-78.64829400000001,6
Cotopaxi,29,191,-0.9333330000000000,-78.61666700000001,6
El Oro,52,299,-3.266667000000000,-79.96666700000000,6
Esmeraldas,23,155,1.050000000000000,-79.20000000000000,6
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,6
Guayas,391,2263,-2.183333000000000,-79.88333299999999,6
Imbabura,48,227,0.3626780000000000,-78.13066700000000,6
Loja,50,262,-3.983333000000000,-79.20000000000000,6
Los Ríos,72,411,-1.800000000000000,-79.53333300000000,6
Manabí,119,655,-1.056181000000000,-80.45521700000000,6
Morona Santiago,7,55,-2.300000000000000,-78.11666700000001,6
Napo,12,42,-0.9890000000000000,-77.81590000000000,6
Orellana,6,45,-0.4666670000000000,-76.96666700000000,6
Otro,1,1,0,0,6
Pastaza,6,34,-1.066667000000000,-78.00111099999999,6
Pichincha,235,1341,-0.2186110000000000,-78.50972200000000,6
Santa Elena,29,139,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,42,221,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,8,66,0.08472200000000002,-76.88277800000000,6
Tungurahua,55,319,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,3,19,-4.120000000000000,-78.80000000000000,6
Azuay,64,497,-2.897414000000000,-79.00448100000000,7
Bolívar,17,98,-1.605556000000000,-79.00305600000000,7
Carchi,13,90,0.8121800000000000,-77.71633000000000,7
Cañar,25,143,-2.733333000000000,-78.83333300000000,7
Chimborazo,37,280,-1.674347000000000,-78.64829400000001,7
Cotopaxi,42,233,-0.9333330000000000,-78.61666700000001,7
El Oro,49,348,-3.266667000000000,-79.96666700000000,7
Esmeraldas,30,185,1.050000000000000,-79.20000000000000,7
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,7
Guayas,402,2665,-2.183333000000000,-79.88333299999999,7
Imbabura,35,262,0.3626780000000000,-78.13066700000000,7
Loja,36,298,-3.983333000000000,-79.20000000000000,7
Los Ríos,59,470,-1.800000000000000,-79.53333300000000,7
