provincia,total,acumuladas,lat,lng,created_at
Azuay,13,13,-2.897414000000000,-79.00448100000000,01/01/2016
Bolívar,4,4,-1.605556000000000,-79.00305600000000,01/01/2016
Carchi,2,2,0.8121800000000000,-77.71633000000000,01/01/2016
Cañar,4,4,-2.733333000000000,-78.83333300000000,01/01/2016
Chimborazo,9,9,-1.674347000000000,-78.64829400000001,01/01/2016
Cotopaxi,2,2,-0.9333330000000000,-78.61666700000001,01/01/2016
El Oro,13,13,-3.266667000000000,-79.96666700000000,01/01/2016
Esmeraldas,13,13,1.050000000000000,-79.20000000000000,01/01/2016
Galápagos,0,0,-0.7999999999999999,-89.40000000000001,01/01/2016
Guayas,66,66,-2.183333000000000,-79.88333299999999,01/01/2016
Imbabura,6,6,0.3626780000000000,-78.13066700000000,01/01/2016
Loja,10,10,-3.983333000000000,-79.20000000000000,01/01/2016
Los Ríos,11,11,-1.800000000000000,-79.53333300000000,01/01/2016
Manabí,13,13,-1.056181000000000,-80.45521700000000,01/01/2016
Morona Santiago,0,0,-2.300000000000000,-78.11666700000001,01/01/2016
Napo,4,4,-0.9890000000000000,-77.81590000000000,01/01/2016
Orellana,0,0,-0.4666670000000000,-76.96666700000000,01/01/2016
Otro,0,0,0,0,01/01/2016
Pastaza,0,0,-1.066667000000000,-78.00111099999999,01/01/2016
Pichincha,34,34,-0.2186110000000000,-78.50972200000000,01/01/2016
Santa Elena,4,4,-2.226700000000000,-80.85830000000000,01/01/2016
Sto. Domingo Tsáchilas,7,7,-0.2541670000000000,-79.17194400000000,01/01/2016
Sucumbíos,3,3,0.08472200000000002,-76.88277800000000,01/01/2016
Tungurahua,9,9,-1.241667000000000,-78.61972200000000,01/01/2016
Zamora Chinchipe,1,1,-4.120000000000000,-78.80000000000000,01/01/2016
Azuay,11,24,-2.897414000000000,-79.00448100000000,02/01/2016
Bolívar,3,7,-1.605556000000000,-79.00305600000000,02/01/2016
Carchi,2,4,0.8121800000000000,-77.71633000000000,02/01/2016
Cañar,3,7,-2.733333000000000,-78.83333300000000,02/01/2016
Chimborazo,8,17,-1.674347000000000,-78.64829400000001,02/01/2016
Cotopaxi,7,9,-0.9333330000000000,-78.61666700000001,02/01/2016
El Oro,6,19,-3.266667000000000,-79.96666700000000,02/01/2016
Esmeraldas,2,15,1.050000000000000,-79.20000000000000,02/01/2016
Galápagos,2,2,-0.7999999999999999,-89.40000000000001,02/01/2016
Guayas,59,125,-2.183333000000000,-79.88333299999999,02/01/2016
Imbabura,4,10,0.3626780000000000,-78.13066700000000,02/01/2016
Loja,3,13,-3.983333000000000,-79.20000000000000,02/01/2016
Los Ríos,10,21,-1.800000000000000,-79.53333300000000,02/01/2016
Manabí,20,33,-1.056181000000000,-80.45521700000000,02/01/2016
Morona Santiago,0,0,-2.300000000000000,-78.11666700000001,02/01/2016
Napo,1,5,-0.9890000000000000,-77.81590000000000,02/01/2016
Orellana,1,1,-0.4666670000000000,-76.96666700000000,02/01/2016
Otro,0,0,0,0,02/01/2016
Pastaza,2,2,-1.066667000000000,-78.00111099999999,02/01/2016
Pichincha,35,69,-0.2186110000000000,-78.50972200000000,02/01/2016
Santa Elena,9,13,-2.226700000000000,-80.85830000000000,02/01/2016
Sto. Domingo Tsáchilas,7,14,-0.2541670000000000,-79.17194400000000,02/01/2016
Sucumbíos,0,3,0.08472200000000002,-76.88277800000000,02/01/2016
Tungurahua,13,22,-1.241667000000000,-78.61972200000000,02/01/2016
Zamora Chinchipe,0,1,-4.120000000000000,-78.80000000000000,02/01/2016
Azuay,6,30,-2.897414000000000,-79.00448100000000,03/01/2016
Bolívar,3,10,-1.605556000000000,-79.00305600000000,03/01/2016
Carchi,4,8,0.8121800000000000,-77.71633000000000,03/01/2016
Cañar,3,10,-2.733333000000000,-78.83333300000000,03/01/2016
Chimborazo,8,25,-1.674347000000000,-78.64829400000001,03/01/2016
Cotopaxi,5,14,-0.9333330000000000,-78.61666700000001,03/01/2016
El Oro,9,28,-3.266667000000000,-79.96666700000000,03/01/2016
Esmeraldas,4,19,1.050000000000000,-79.20000000000000,03/01/2016
Galápagos,0,2,-0.7999999999999999,-89.40000000000001,03/01/2016
Guayas,52,177,-2.183333000000000,-79.88333299999999,03/01/2016
Imbabura,4,14,0.3626780000000000,-78.13066700000000,03/01/2016
Loja,5,18,-3.983333000000000,-79.20000000000000,03/01/2016
Los Ríos,9,30,-1.800000000000000,-79.53333300000000,03/01/2016
Manabí,20,53,-1.056181000000000,-80.45521700000000,03/01/2016
Morona Santiago,1,1,-2.300000000000000,-78.11666700000001,03/01/2016
Napo,0,5,-0.9890000000000000,-77.81590000000000,03/01/2016
Orellana,1,2,-0.4666670000000000,-76.96666700000000,03/01/2016
Otro,0,0,0,0,03/01/2016
Pastaza,1,3,-1.066667000000000,-78.00111099999999,03/01/2016
Pichincha,37,106,-0.2186110000000000,-78.50972200000000,03/01/2016
Santa Elena,6,19,-2.226700000000000,-80.85830000000000,03/01/2016
