inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14
02,Bolívar,209933,0203,Chimbo,17378,-1.7,-79.016667,2,1,1,1,2,0,5,1,1,3,4,3,3,0
02,Bolívar,209933,0204,Echeandía,14081,-1.43333,-79.26667,2,4,0,1,1,4,0,0,2,1,1,1,2,0
02,Bolívar,209933,0201,Guaranda,108763,-1.605556,-79.003056,8,14,15,4,10,6,14,13,13,17,22,15,18,3
02,Bolívar,209933,0207,Las Naves,7428,-1.28333,-79.3,1,0,0,1,0,0,1,0,1,0,1,0,1,0
02,Bolívar,209933,0205,San Miguel,29004,-1.7,-79.033333,7,16,8,4,6,4,2,3,4,3,6,5,2,2
04,Carchi,186869,0402,Bolivar,15528,0.507099,-77.862454,1,7,1,1,2,0,1,0,1,3,2,0,1,0
04,Carchi,186869,0403,Espejo,13817,0.621,-77.94,1,3,4,2,1,2,1,1,2,4,2,3,1,1
04,Carchi,186869,0404,Mira,11969,0.5539,-78.0493,2,1,1,2,1,1,2,2,0,0,0,2,2,0
04,Carchi,186869,0405,Montúfar,34229,0.61,-77.84,3,4,4,4,4,5,2,2,0,7,4,3,2,1
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.631111,-77.725278,0,1,1,1,2,1,0,1,2,0,1,0,0,1
04,Carchi,186869,0401,Tulcán,102395,0.81218,-77.71633,20,22,24,24,10,10,9,13,6,9,17,14,9,3
03,Cañar,281396,0301,Azogues,86276,-2.733333,-78.833333,14,18,21,14,27,13,12,14,17,18,17,12,10,1
03,Cañar,281396,0302,Biblían,23741,-2.71,-78.88,4,1,2,1,4,0,2,0,1,0,1,2,0,0
03,Cañar,281396,0303,Cañar,68747,-2.4837,-78.9784,4,6,4,4,1,7,5,6,8,9,5,6,1,1
03,Cañar,281396,0306,Déleg,6782,-2.7726,-78.9183,1,1,1,0,0,1,1,1,1,0,1,3,0,0
03,Cañar,281396,0305,El Tambo,12462,-2.5081,-78.9249,0,0,0,0,1,0,2,2,1,2,2,1,0,0
03,Cañar,281396,0304,La Troncal,76872,-2.4,-79.33,9,11,4,5,6,10,7,4,4,13,9,12,2,2
03,Cañar,281396,0307,Suscal,6516,-2.4364,-79.0522,0,0,0,0,0,2,0,0,0,1,1,1,0,0
06,Chimborazo,524004,0602,Alausí,45054,-2.2,-78.85,3,5,5,3,7,2,3,5,2,3,3,3,0,1
06,Chimborazo,524004,0604,Chambo,13378,-1.733333,-78.583333,1,2,1,1,2,1,2,4,1,1,3,2,1,0
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333,-78.916667,7,0,2,0,2,3,1,1,1,4,3,1,1,0
06,Chimborazo,524004,0603,Colta,44838,-1.7,-78.75,9,1,2,4,6,7,2,5,5,6,5,4,4,0
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,1,2,2,3,2,1,1,2,3,2,0,4,0,1
06,Chimborazo,524004,0606,Guamote,58291,-1.933333,-78.716667,6,3,6,8,6,2,6,8,4,3,5,3,3,0
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,5,5,4,5,3,5,2,3,6,6,1,4,4,0
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333,-78.95,0,0,1,0,2,1,0,2,1,3,0,0,2,0
06,Chimborazo,524004,0609,Penipe,6955,-1.5573,-78.5396,0,1,0,1,2,0,1,0,0,0,0,3,1,0
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,51,47,53,37,33,49,40,35,46,44,48,44,41,13
05,Cotopaxi,488716,0502,La Maná,56905,-0.93,-79.22,0,4,3,1,5,6,5,4,8,6,1,4,2,0
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,37,45,34,43,47,54,39,37,37,22,45,34,28,8
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333,-79.066667,1,6,3,2,3,1,2,8,1,1,3,4,1,0
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,6,5,5,9,7,3,5,6,5,7,5,12,2,1
05,Cotopaxi,488716,0505,Salcedo,67100,-1.05,-78.583333,6,4,8,8,4,7,10,4,5,7,8,7,6,1
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,5,4,0,2,4,3,1,2,1,0,2,2,1,1
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,2,1,1,3,1,0,2,0,0,3,2,3,0,0
07,El Oro,715751,0702,Arenillas,33473,-3.55,-80.06,1,4,1,2,3,5,0,10,3,5,2,3,3,1
07,El Oro,715751,0703,Atahualpa,6436,-2.9,-78.933333,2,1,0,0,2,1,0,0,0,2,0,0,1,0
07,El Oro,715751,0704,Balsas,9233,-3.7626,-79.8253,0,0,0,0,0,0,2,0,0,1,1,1,0,0
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,0,0,0,0,1,0,0,1,1,0,0,0,0,1
07,El Oro,715751,0706,El Guabo,63645,-3.2388,-79.8292,3,9,9,7,8,7,0,8,2,8,1,5,5,1
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,4,4,6,7,9,4,8,6,2,5,6,5,3,2
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,2,0,0,0,0,0,1,1,0,1,2,0,1,0
07,El Oro,715751,0701,Machala,289141,-3.266667,-79.966667,44,57,64,70,76,57,73,62,68,53,68,76,66,12
07,El Oro,715751,0708,Marcabelí,6259,-3.786,-79.8978,1,1,0,0,0,2,1,0,1,0,1,0,0,0
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,9,6,12,10,6,15,11,10,4,8,4,12,12,3
07,El Oro,715751,0710,Piñas,30206,-3.666667,-79.65,6,5,4,5,4,10,7,7,1,6,8,6,5,1
07,El Oro,715751,0711,Portovelo,14028,-3.72,-79.62,2,0,1,0,0,0,1,1,2,1,1,0,1,0
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222,-79.961667,4,8,5,8,4,7,4,9,11,4,12,4,10,3
07,El Oro,715751,0713,Zaruma,25654,-3.433333,-79.6,3,5,1,5,4,5,0,1,2,4,4,0,1,0
08,Esmeraldas,591083,0806,Atacames,55495,0.866667,-79.833333,2,3,3,5,3,2,2,2,5,2,3,5,2,0
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.25,-79,2,1,0,1,0,0,0,0,1,1,1,0,0,0
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.05,-79.2,15,18,30,20,18,32,28,29,34,37,47,35,30,3
08,Esmeraldas,591083,0803,Muisne,31106,0.6067,-80.0183,1,1,0,1,2,2,1,2,2,3,1,3,1,0
08,Esmeraldas,591083,0804,Quinindé,145879,0.33,-79.48,3,11,9,5,12,5,8,9,8,6,12,24,4,0
08,Esmeraldas,591083,0807,Rioverde,31475,1.0602,-79.4044,1,0,3,4,3,0,1,2,1,5,2,1,1,0
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.2658,-78.8414,3,3,2,2,1,1,2,6,1,2,2,1,0,1
20,Galápagos,33042,2002,Isabela,3073,-0.4724,-90.6811,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8,-89.4,2,2,5,0,1,0,1,1,1,2,2,2,0,0
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,2,0,0,0,0,1,1,0,2,1,0,0,0,0
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667,-79.516667,1,3,4,1,0,4,2,3,1,2,0,4,2,0
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,2,3,1,2,1,2,1,2,0,0,2,0,0,0
09,Guayas,4387434,0904,Balzar,60260,-1.36,-79.9,2,6,6,4,2,3,7,9,9,5,7,6,6,2
09,Guayas,4387434,0905,Colimes,26169,-1.55,-80.016667,3,3,2,1,0,0,1,0,2,2,2,0,4,2
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.2,-79.42,0,1,1,0,0,0,3,0,0,2,1,1,0,0
09,Guayas,4387434,0906,Daule,173684,-1.866667,-79.983333,16,16,13,17,17,14,13,13,12,20,16,21,19,6
09,Guayas,4387434,0907,Durán,315724,-2.166667,-79.833333,9,19,19,11,13,16,18,12,18,18,23,24,17,4
09,Guayas,4387434,0909,El Triunfo,59636,-2.33,-79.4,4,7,4,3,5,5,6,6,6,4,3,4,6,1
09,Guayas,4387434,0908,Empalme,86073,-1.046111,-79.633611,8,7,6,6,9,10,9,7,14,7,10,3,8,0
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.2,-79.17,2,1,2,3,3,2,1,0,3,1,4,3,1,0
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333,-79.883333,443,478,457,471,425,472,479,496,465,518,526,566,597,129
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333,-80.166667,0,1,2,0,0,1,1,1,0,1,0,0,0,3
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333,-80.083333,0,2,1,2,0,1,2,2,0,3,2,2,0,1
09,Guayas,4387434,0910,Milagro,199835,-2.126944,-79.599167,28,33,41,49,43,34,32,41,37,35,42,45,39,6
09,Guayas,4387434,0911,Naranjal,95052,-2.6728,-79.615,4,7,4,6,6,7,5,6,7,8,11,7,2,0
09,Guayas,4387434,0912,Naranjito,43862,-2.173,-79.4671,6,2,4,6,5,6,8,1,3,2,11,6,6,0
09,Guayas,4387434,0925,Nobol,26444,-1.916671,-80.011539,1,2,2,2,1,3,3,2,1,6,3,0,2,4
09,Guayas,4387434,0913,Palestina,18451,-1.6263,-79.977,1,1,3,0,3,0,2,0,1,2,2,2,2,0
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333,-80.233333,7,3,6,5,5,8,3,3,8,6,7,15,14,0
09,Guayas,4387434,0921,Playas,59628,-2.62333,-80.3875,2,6,9,7,7,3,5,5,4,7,5,10,5,1
09,Guayas,4387434,0919,Salitre,65765,-1.829444,-79.815556,6,1,7,8,5,4,4,8,5,3,5,11,6,2
09,Guayas,4387434,0916,Samborondón,102404,-2.183333,-79.883333,5,12,15,6,12,11,5,6,9,6,7,7,6,2
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.12,-79.69,2,6,5,5,2,5,12,6,11,9,4,11,3,1
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889,-79.985,0,3,7,4,5,4,4,1,3,1,4,3,7,0
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667,-79.8875,2,0,1,2,0,0,3,1,1,3,2,0,1,0
10,Imbabura,476257,1002,Antonio Ante,54311,0.32,-78.21,3,3,7,3,7,2,7,1,3,3,7,5,5,0
10,Imbabura,476257,1003,Cotacachi,44203,0.3,-78.266667,3,2,7,7,4,2,5,6,5,2,5,2,1,0
10,Imbabura,476257,1001,Ibarra,221149,0.362678,-78.130667,39,38,34,45,41,47,25,30,27,33,28,38,41,4
10,Imbabura,476257,1004,Otavalo,125785,0.233333,-78.266667,12,10,8,17,11,8,9,17,8,9,5,15,12,1
10,Imbabura,476257,1005,Pimampiro,13269,0.4,-77.97,3,3,1,1,2,1,4,2,2,1,1,1,1,0
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.52,-78.2,0,1,4,0,1,2,1,1,1,0,3,1,3,0
11,Loja,521154,1102,Calvas,29565,-4.32,-79.56,3,3,7,6,2,7,5,1,4,2,6,6,1,1
11,Loja,521154,1103,Catamayo,35961,-3.98,-79.35,1,2,4,8,3,1,2,3,3,2,5,3,5,0
11,Loja,521154,1104,Celica,16160,-4.1025,-79.954444,1,1,0,1,3,2,2,1,2,3,0,0,0,1
11,Loja,521154,1105,Chaguarpamba,6620,-3.85,-79.65,1,2,0,0,1,1,2,1,1,1,1,0,0,0
11,Loja,521154,1106,Espíndola,14209,-4.583056,-79.426944,2,3,2,0,2,0,0,0,1,2,0,3,0,0
11,Loja,521154,1107,Gonzanamá,10953,-4.231389,-79.435278,1,2,0,1,1,2,1,1,1,1,2,2,1,1
11,Loja,521154,1101,Loja,274112,-3.983333,-79.2,29,22,41,31,48,41,48,32,51,54,70,62,73,11
11,Loja,521154,1108,Macará,20269,-4.383333,-79.95,2,1,1,2,2,0,4,5,0,2,3,7,0,0
11,Loja,521154,1116,Olmedo,4220,-3.934,-79.648,0,2,0,1,0,1,0,1,0,0,0,0,0,0
11,Loja,521154,1109,Paltas,23471,-4.05,-79.65,4,5,4,1,5,8,4,2,2,6,10,3,4,0
11,Loja,521154,1114,Pindal,10540,-4.1161,-80.1076,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,Loja,521154,1110,Puyango,15925,-3.87,-80.09,4,1,0,0,2,2,4,4,1,2,0,1,0,0
