inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.043697,-78.34924,3,6,14,17,19,20,22,27,30,31,32,33,34,36,40,44,45,47
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.166667,-79,2,4,4,6,6,7,7,7,8,9,11,11,12,13,16,18,19,19
17,Pichincha,3228233,1709,Puerto Quito,24911,0.117,-79.264,1,3,6,7,8,8,9,12,14,15,16,18,21,23,26,29,35,36
17,Pichincha,3228233,1701,Quito,2781641,-0.218611,-78.509722,340,696,1124,1531,1921,2299,2675,3034,3407,3802,4196,4614,5086,5569,6092,6666,7226,7647
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345,-78.4475,13,28,34,45,52,60,66,76,91,103,113,126,140,153,167,186,203,213
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.023,-78.892,0,2,3,4,6,8,9,11,11,13,13,13,13,14,15,17,19,19
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333,-80.9,5,13,22,29,38,43,50,59,65,72,79,91,99,111,121,138,146,154
24,Santa Elena,401178,2403,Salinas,94590,-2.216667,-80.95,9,18,22,33,40,45,60,65,75,81,92,106,120,125,141,148,156,163
24,Santa Elena,401178,2401,Santa Elena,188821,-2.2267,-80.8583,23,47,79,102,124,143,154,169,196,212,245,272,297,342,386,427,454,464
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.0023,-79.3846,8,9,11,16,18,22,23,25,30,34,38,43,46,51,53,56,58,60
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.254167,-79.171944,47,109,159,205,266,320,387,463,530,612,703,776,878,987,1064,1170,1249,1296
21,Sucumbíos,230503,2106,Cascales,15882,-0.0675,-77.216944,0,0,0,0,0,1,1,3,4,4,4,5,6,7,7,7,9,9
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.128889,-76.413889,0,0,0,2,2,2,2,3,3,3,3,3,3,3,4,5,6,7
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.047,-77.3228,0,1,3,4,4,6,8,9,9,10,10,10,10,10,10,10,11,11
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.084722,-76.882778,14,34,50,58,67,76,90,108,120,137,164,189,206,228,251,272,286,301
21,Sucumbíos,230503,2103,Putumayo,16106,0.1,-75.85,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871,-76.645,2,4,5,9,14,15,20,24,27,28,31,35,38,41,46,52,56,57
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592,-77.523,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
18,Tungurahua,590600,1801,Ambato,387309,-1.241667,-78.619722,85,163,260,325,401,477,549,606,661,731,799,861,935,1019,1122,1237,1348,1435
18,Tungurahua,590600,1802,Baños,25043,-1.396389,-78.424722,0,4,7,8,10,10,11,14,14,16,21,21,23,26,29,32,34,35
18,Tungurahua,590600,1803,Cevallos,9936,-1.35,-78.616667,2,4,4,4,5,6,6,8,8,8,10,10,12,14,17,17,19,23
18,Tungurahua,590600,1804,Mocha,7336,-1.416667,-78.666667,0,0,1,3,3,3,5,7,8,8,8,9,11,13,15,15,16,16
18,Tungurahua,590600,1805,Patate,15825,-1.316667,-78.516667,1,2,4,8,9,10,11,12,14,15,19,20,20,20,22,22,25,25
18,Tungurahua,590600,1807,Pelileo,66836,-1.3275,-78.540833,7,12,32,38,42,48,51,58,60,66,71,78,80,88,94,98,103,107
18,Tungurahua,590600,1808,Píllaro,43371,-1.175833,-78.555278,4,6,14,14,19,22,25,30,32,34,34,43,46,50,56,66,73,79
18,Tungurahua,590600,1806,Quero,20627,-1.3793,-78.607,3,6,9,10,13,15,16,21,24,28,28,30,30,32,38,41,42,42
18,Tungurahua,590600,1809,Tisaleo,14317,-1.35,-78.666667,3,4,5,7,9,9,10,11,13,14,15,16,16,16,16,16,18,19
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.89491,-78.78141,1,1,2,2,2,3,4,4,4,5,5,6,6,7,7,7,7,7
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.8628,-79.1328,0,3,4,4,4,4,5,6,7,9,12,12,17,21,25,27,28,28
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.6249,-78.5871,0,0,0,1,2,2,3,3,4,5,5,6,7,12,13,14,16,17
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333,-78.682222,0,0,0,0,1,1,2,2,2,2,2,2,3,3,5,5,6,6
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.6498,-79.1321,0,0,0,0,0,0,1,2,2,2,2,3,3,5,7,7,7,7
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.93275,-78.67426,0,4,4,4,4,4,4,4,4,4,5,5,5,8,9,9,9,9
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,-3.63444,-78.9281,1,2,2,3,4,4,5,5,5,5,5,6,7,7,7,8,8,8
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,-3.85,-78.75,2,5,9,9,10,14,15,17,18,20,23,26,29,34,38,44,50,51
19,Zamora Chinchipe,120416,1901,Zamora,32761,-4.12,-78.8,3,4,5,7,10,12,16,20,21,24,28,29,32,37,41,49,55,55
