provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,7,18,26,31,41,53,66,72,83,89,96,97
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,9,19,28,37,58,66,73,84,94,106,115,118
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,2,2,4,6,8,10,12,13,18,21,22,22
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,1,3,5,6,7,11,15,16,18,19,21,21
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,1,2,3,4,5,7,8,8,10,10,10,10
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,16,30,46,91,159,201,229,253,274,288,302,306
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,19,30,45,92,115,138,162,189,225,258,277,281
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,2,2,4,6,6,8,12,16,18,19,19
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,152,280,448,886,1313,1577,1830,2046,2262,2440,2613,2650
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,3,6,8,8,11,12,15,17,19,23,23
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,34,50,81,159,245,296,340,378,423,452,485,490
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,22,36,58,79,91,114,130,145,162,178,190,193
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,8,12,18,23,26,35,42,47,54,61,64,65
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,25,44,78,132,192,220,250,284,320,341,366,368
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,8,15,25,31,38,47,60,79,96,106,116,116
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,6,19,23,27,42,59,70,81,87,96,101,103
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,8,11,15,20,30,37,42,52,57,60,65,65
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,77,171,256,417,653,840,978,1071,1162,1239,1295,1309
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,3,8,12,13,21,29,40,43,45,52,53,53
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,25,49,66,95,125,173,214,247,266,291,324,327
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,5,11,12,15,20,25,32,40,45,52,56,56
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,10,19,22,31,43,60,77,85,97,105,112,112
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,2,2,4,4,4,4,4,4,4
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,4,7,7,7,7,9,11,14,17,20,23,24
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,1,2,5,6,7,10,10,13,15,15,18,19
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,1,12,19,61,73,80,88,93,101,106,110,113
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,8,13,17,60,73,76,82,86,91,95,101,101
