inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo
06,Chimborazo,524004,0604,Chambo,13378,-1.733333,-78.583333,7,9,7,8,4
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333,-78.916667,9,7,11,6,4
06,Chimborazo,524004,0603,Colta,44838,-1.7,-78.75,20,20,26,25,7
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,8,6,10,5,5
06,Chimborazo,524004,0606,Guamote,58291,-1.933333,-78.716667,25,23,24,22,10
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,21,13,19,14,9
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333,-78.95,1,5,5,11,2
06,Chimborazo,524004,0609,Penipe,6955,-1.5573,-78.5396,3,3,3,2,1
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,201,159,214,258,98
05,Cotopaxi,488716,0502,La Maná,56905,-0.93,-79.22,11,20,20,17,10
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,173,178,154,204,74
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333,-79.066667,12,14,9,8,6
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,28,21,34,32,6
05,Cotopaxi,488716,0505,Salcedo,67100,-1.05,-78.583333,31,25,31,21,6
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,12,10,6,10,5
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,7,3,8,12,5
07,El Oro,715751,0702,Arenillas,33473,-3.55,-80.06,10,18,17,8,2
07,El Oro,715751,0703,Atahualpa,6436,-2.9,-78.933333,3,3,3,3,1
07,El Oro,715751,0704,Balsas,9233,-3.7626,-79.8253,0,2,4,1,0
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,0,2,1,2,1
07,El Oro,715751,0706,El Guabo,63645,-3.2388,-79.8292,29,23,19,34,13
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,23,27,20,44,10
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,2,2,4,3,0
07,El Oro,715751,0701,Machala,289141,-3.266667,-79.966667,255,268,299,423,142
07,El Oro,715751,0708,Marcabelí,6259,-3.786,-79.8978,2,3,4,0,0
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,45,44,35,62,14
07,El Oro,715751,0710,Piñas,30206,-3.666667,-79.65,22,30,25,38,8
07,El Oro,715751,0711,Portovelo,14028,-3.72,-79.62,3,2,7,7,2
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222,-79.961667,29,25,40,48,9
07,El Oro,715751,0713,Zaruma,25654,-3.433333,-79.6,16,11,14,8,3
08,Esmeraldas,591083,0806,Atacames,55495,0.866667,-79.833333,13,9,16,12,6
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.25,-79,5,1,4,3,0
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.05,-79.2,92,113,178,172,41
08,Esmeraldas,591083,0803,Muisne,31106,0.6067,-80.0183,3,7,9,4,4
08,Esmeraldas,591083,0804,Quinindé,145879,0.33,-79.48,35,34,61,33,13
