provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,63,50,86,88,73,45,14
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,1,1,1,3,2,0
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,10,15,11,21,11,4,3
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,0,1,1,2,0,0
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,344,281,287,439,419,262,103
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,9,6,8,12,8,8,2
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,4,4,3,9,7,6,2
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,7,4,3,6,4,5,0
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,8,4,8,4,3,2,6
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,42,20,21,22,29,21,14
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,15,16,15,27,19,24,7
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,11,12,9,11,11,11,4
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,7,4,5,1,7,1,2
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,2,2,2,2,3,2,1
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,5,2,9,14,3,1,1
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,1,2,4,9,7,1,1
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,2,1,2,2,0,0
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,1,2,1,6,0,0,0
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,4,0,1,4,4,0,0
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,3,3,1,3,2,0,1
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,9,9,10,22,15,9,3
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,7,14,11,24,14,6,1
