provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,3,1,2,2,1,4,2,1,1,3,1,6,2,2,1,2,2,3,0,5,0,0,1,3,0,1,1,0
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1,1,3,0,0,2,2,1,0,1,2,0,0,0,3,1,0,1,2,0,2,1,2,2,0,2,2,1
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,86,93,89,82,99,89,83,105,86,83,91,100,89,98,111,113,128,118,123,93,85,83,97,94,79,72,82,24
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,1,0,2,0,0,0,0,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,1,6,3,6,3,3,2,3,5,5,3,4,8,1,6,3,5,3,3,1,2,2,0,0,1,4,1,0
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,2,10,7,3,1,5,7,4,2,7,5,7,7,8,3,12,6,4,5,8,3,2,7,2,3,9,8,2
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,4,2,1,1,2,1,3,3,2,1,1,1,1,2,1,1,2,6,2,5,2,2,2,0,4,3,1,1
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,2,0,2,0,1,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,2,0,1,2,3,4,3,5,2,2,2,4,1,5,3,4,4,6,3,6,2,3,5,4,1,2,3,1
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,0,2,3,0,2,2,2,1,0,3,1,2,3,3,1,3,0,0,0,1,1,2,1,1,3,0,0,0
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,2,1,1,0,0,0,1,0,2,0,1,1,1,0,1,2,0,1,0,0,1,2,0,0,1,0,0
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,3,1,1,3,0,2,2,3,2,1,3,6,0,2,4,2,5,3,4,2,4,1,6,0,1,7,1,0
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,0,1,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,7,7,1,4,2,3,3,2,5,2,11,2,3,2,4,4,4,8,3,5,0,7,4,4,9,3,5,3
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,0,2,0,0,2,3,5,3,1,3,1,4,1,1,1,2,2,2,1,1,2,0,1,0,1,0,2,1
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,0,3,3,5,3,0,3,3,1,2,6,4,5,2,2,1,2,3,1,3,4,3,0,2,5,0,1,1
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,2,1,1,1,2,0,5,1,2,3,4,3,3,2,5,0,1,1,3,0,0,3,1,0,1,0,2,0
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,2,4,0,1,1,4,0,0,2,1,1,1,2,3,1,1,3,1,0,2,2,4,1,0,0,2,1,0
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,8,14,15,4,10,6,14,13,13,17,22,17,22,23,23,12,20,22,9,17,17,8,9,9,10,13,12,4
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,1,0,0,1,0,0,1,0,1,0,1,0,1,1,2,2,1,1,1,1,0,0,2,0,0,0,1,1
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,7,16,8,4,6,4,2,3,4,3,6,5,2,8,4,6,4,1,3,0,4,1,4,0,4,4,4,1
