inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8,-89.4,9,12,19,21
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,3,6,9,9
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667,-79.516667,10,19,27,30
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,10,16,20,23
09,Guayas,4387434,0904,Balzar,60260,-1.36,-79.9,21,42,72,84
09,Guayas,4387434,0905,Colimes,26169,-1.55,-80.016667,9,10,17,27
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.2,-79.42,2,5,9,9
09,Guayas,4387434,0906,Daule,173684,-1.866667,-79.983333,72,129,208,241
09,Guayas,4387434,0907,Durán,315724,-2.166667,-79.833333,67,126,213,249
09,Guayas,4387434,0909,El Triunfo,59636,-2.33,-79.4,20,42,64,73
09,Guayas,4387434,0908,Empalme,86073,-1.046111,-79.633611,30,65,99,112
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.2,-79.17,8,14,25,28
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333,-79.883333,2016,3889,6245,7259
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333,-80.166667,3,6,7,11
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333,-80.083333,5,10,17,21
09,Guayas,4387434,0910,Milagro,199835,-2.126944,-79.599167,166,317,500,568
09,Guayas,4387434,0911,Naranjal,95052,-2.6728,-79.615,25,49,88,94
09,Guayas,4387434,0912,Naranjito,43862,-2.173,-79.4671,18,38,64,71
09,Guayas,4387434,0925,Nobol,26444,-1.916671,-80.011539,8,17,29,38
09,Guayas,4387434,0913,Palestina,18451,-1.6263,-79.977,6,11,20,23
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333,-80.233333,23,42,85,96
09,Guayas,4387434,0921,Playas,59628,-2.62333,-80.3875,26,47,77,85
09,Guayas,4387434,0919,Salitre,65765,-1.829444,-79.815556,24,45,73,90
