provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,4,8,14,21,30,34,39,43,43
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,2,2,2,2,2,3,3,3
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,43,100,162,230,306,354,414,449,476
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,1,2,2,2,2,4,5,5,5
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,8,14,26,35,41,56,65,71,72
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,6,11,15,20,24,32,39,41,41
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,2,2,3,3,3,3,4,4,5
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,4,12,16,23,27,34,37,38,40
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,3,8,9,14,18,19,19,19,20
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,2,5,8,13,15,17,18,19,20
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,2,3,3,4,4,4,4,4,4
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,15,33,60,79,115,155,192,212,218
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,1,2,2,3,5,7,8,9,9
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,3,14,23,28,40,44,52,59,61
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,1,1,4,7,10,10,11,12,13
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,3,6,8,10,11,12,13,13,13
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,0,0,0,0,0,0
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,2,4,9,9,10,10,11,11,12
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,2,2,2,2,2,3,4,4,4
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,1,4,8,9,9,13,15,18,19
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,2,5,6,8,9,11,12,12,12
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,2,8,14,18,20,23,30,33,37
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,3,6,8,9,9,9,10,10,12
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,0,1,2,2,2,2,5,5,5
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,16,32,45,62,79,93,106,113,118
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,9,28,46,57,70,86,104,110,118
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,4,11,15,18,23,28,34,35,37
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,8,15,21,27,35,44,50,52,55
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,2,3,5,8,11,13,14,14,15
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,441,917,1372,1838,2263,2732,3208,3619,3840
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,0,1,3,3,3,4,5,6,6
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,0,2,3,5,5,6,8,8,8
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,28,60,101,150,193,227,259,286,303
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,4,11,15,20,26,32,37,40,44
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,6,8,12,18,23,29,37,37,37
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,1,3,5,7,8,11,14,15,15
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,1,2,5,5,6,6,8,8,9
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,7,10,16,21,26,34,37,40,43
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,2,8,17,24,29,32,37,39,41
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,6,7,14,22,27,31,35,38,40
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,5,17,32,38,50,61,66,72,78
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,2,8,13,18,20,25,36,39,47
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,0,3,10,14,19,23,27,27,29
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,2,2,3,5,5,5,7,7,7
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,3,6,13,16,23,25,31,32,34
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,2,4,11,16,20,22,27,29,30
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,39,77,111,156,197,243,266,288,299
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,12,22,30,46,57,65,73,77,81
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,3,6,7,8,9,10,12,13,14
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,0,1,4,4,5,7,7,7,8
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,3,6,12,18,20,26,28,28,29
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,1,3,7,15,18,18,20,22,22
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,1,1,1,2,5,7,7,7,7
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,1,3,3,3,3,4,6,6,6
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,2,5,7,7,8,8,8,8,8
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,1,2,2,3,4,5,5,5,5
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,29,51,92,123,192,257,320,338,359
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,2,3,4,6,8,8,11,13,13
