inec_provincia_id,provincia,total,acumuladas,lat,lng,created_at
01,Azuay,12,12,-2.897414000000000,-79.00448100000000,01/01/2015
02,Bolívar,3,3,-1.605556000000000,-79.00305600000000,01/01/2015
04,Carchi,3,3,0.8121800000000000,-77.71633000000000,01/01/2015
03,Cañar,5,5,-2.733333000000000,-78.83333300000000,01/01/2015
06,Chimborazo,5,5,-1.674347000000000,-78.64829400000001,01/01/2015
05,Cotopaxi,4,4,-0.9333330000000000,-78.61666700000001,01/01/2015
07,El Oro,8,8,-3.266667000000000,-79.96666700000000,01/01/2015
08,Esmeraldas,7,7,1.050000000000000,-79.20000000000000,01/01/2015
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,01/01/2015
09,Guayas,50,50,-2.183333000000000,-79.88333299999999,01/01/2015
10,Imbabura,8,8,0.3626780000000000,-78.13066700000000,01/01/2015
11,Loja,5,5,-3.983333000000000,-79.20000000000000,01/01/2015
12,Los Ríos,16,16,-1.800000000000000,-79.53333300000000,01/01/2015
13,Manabí,20,20,-1.056181000000000,-80.45521700000000,01/01/2015
14,Morona Santiago,4,4,-2.300000000000000,-78.11666700000001,01/01/2015
15,Napo,0,0,-0.9890000000000000,-77.81590000000000,01/01/2015
22,Orellana,2,2,-0.4666670000000000,-76.96666700000000,01/01/2015
88,Otro,0,0,0,0,01/01/2015
16,Pastaza,1,1,-1.066667000000000,-78.00111099999999,01/01/2015
17,Pichincha,36,36,-0.2186110000000000,-78.50972200000000,01/01/2015
24,Santa Elena,3,3,-2.226700000000000,-80.85830000000000,01/01/2015
23,Sto. Domingo Tsáchilas,8,8,-0.2541670000000000,-79.17194400000000,01/01/2015
21,Sucumbíos,2,2,0.08472200000000002,-76.88277800000000,01/01/2015
18,Tungurahua,4,4,-1.241667000000000,-78.61972200000000,01/01/2015
19,Zamora Chinchipe,5,5,-4.120000000000000,-78.80000000000000,01/01/2015
01,Azuay,6,18,-2.897414000000000,-79.00448100000000,02/01/2015
02,Bolívar,2,5,-1.605556000000000,-79.00305600000000,02/01/2015
04,Carchi,1,4,0.8121800000000000,-77.71633000000000,02/01/2015
03,Cañar,5,10,-2.733333000000000,-78.83333300000000,02/01/2015
06,Chimborazo,4,9,-1.674347000000000,-78.64829400000001,02/01/2015
05,Cotopaxi,2,6,-0.9333330000000000,-78.61666700000001,02/01/2015
07,El Oro,13,21,-3.266667000000000,-79.96666700000000,02/01/2015
08,Esmeraldas,4,11,1.050000000000000,-79.20000000000000,02/01/2015
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,02/01/2015
09,Guayas,66,116,-2.183333000000000,-79.88333299999999,02/01/2015
10,Imbabura,7,15,0.3626780000000000,-78.13066700000000,02/01/2015
11,Loja,5,10,-3.983333000000000,-79.20000000000000,02/01/2015
12,Los Ríos,10,26,-1.800000000000000,-79.53333300000000,02/01/2015
13,Manabí,15,35,-1.056181000000000,-80.45521700000000,02/01/2015
14,Morona Santiago,0,4,-2.300000000000000,-78.11666700000001,02/01/2015
15,Napo,0,0,-0.9890000000000000,-77.81590000000000,02/01/2015
22,Orellana,3,5,-0.4666670000000000,-76.96666700000000,02/01/2015
88,Otro,0,0,0,0,02/01/2015
16,Pastaza,0,1,-1.066667000000000,-78.00111099999999,02/01/2015
17,Pichincha,40,76,-0.2186110000000000,-78.50972200000000,02/01/2015
24,Santa Elena,6,9,-2.226700000000000,-80.85830000000000,02/01/2015
23,Sto. Domingo Tsáchilas,4,12,-0.2541670000000000,-79.17194400000000,02/01/2015
21,Sucumbíos,1,3,0.08472200000000002,-76.88277800000000,02/01/2015
18,Tungurahua,9,13,-1.241667000000000,-78.61972200000000,02/01/2015
19,Zamora Chinchipe,0,5,-4.120000000000000,-78.80000000000000,02/01/2015
01,Azuay,6,24,-2.897414000000000,-79.00448100000000,03/01/2015
02,Bolívar,1,6,-1.605556000000000,-79.00305600000000,03/01/2015
04,Carchi,3,7,0.8121800000000000,-77.71633000000000,03/01/2015
03,Cañar,4,14,-2.733333000000000,-78.83333300000000,03/01/2015
06,Chimborazo,4,13,-1.674347000000000,-78.64829400000001,03/01/2015
05,Cotopaxi,5,11,-0.9333330000000000,-78.61666700000001,03/01/2015
07,El Oro,7,28,-3.266667000000000,-79.96666700000000,03/01/2015
08,Esmeraldas,6,17,1.050000000000000,-79.20000000000000,03/01/2015
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,03/01/2015
09,Guayas,54,170,-2.183333000000000,-79.88333299999999,03/01/2015
10,Imbabura,7,22,0.3626780000000000,-78.13066700000000,03/01/2015
11,Loja,7,17,-3.983333000000000,-79.20000000000000,03/01/2015
12,Los Ríos,6,32,-1.800000000000000,-79.53333300000000,03/01/2015
13,Manabí,13,48,-1.056181000000000,-80.45521700000000,03/01/2015
14,Morona Santiago,1,5,-2.300000000000000,-78.11666700000001,03/01/2015
15,Napo,0,0,-0.9890000000000000,-77.81590000000000,03/01/2015
22,Orellana,2,7,-0.4666670000000000,-76.96666700000000,03/01/2015
88,Otro,0,0,0,0,03/01/2015
16,Pastaza,0,1,-1.066667000000000,-78.00111099999999,03/01/2015
17,Pichincha,35,111,-0.2186110000000000,-78.50972200000000,03/01/2015
24,Santa Elena,3,12,-2.226700000000000,-80.85830000000000,03/01/2015
23,Sto. Domingo Tsáchilas,6,18,-0.2541670000000000,-79.17194400000000,03/01/2015
21,Sucumbíos,2,5,0.08472200000000002,-76.88277800000000,03/01/2015
18,Tungurahua,10,23,-1.241667000000000,-78.61972200000000,03/01/2015
19,Zamora Chinchipe,0,5,-4.120000000000000,-78.80000000000000,03/01/2015
01,Azuay,12,36,-2.897414000000000,-79.00448100000000,04/01/2015
02,Bolívar,3,9,-1.605556000000000,-79.00305600000000,04/01/2015
04,Carchi,2,9,0.8121800000000000,-77.71633000000000,04/01/2015
03,Cañar,1,15,-2.733333000000000,-78.83333300000000,04/01/2015
06,Chimborazo,5,18,-1.674347000000000,-78.64829400000001,04/01/2015
05,Cotopaxi,13,24,-0.9333330000000000,-78.61666700000001,04/01/2015
07,El Oro,6,34,-3.266667000000000,-79.96666700000000,04/01/2015
08,Esmeraldas,5,22,1.050000000000000,-79.20000000000000,04/01/2015
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,04/01/2015
09,Guayas,62,232,-2.183333000000000,-79.88333299999999,04/01/2015
10,Imbabura,5,27,0.3626780000000000,-78.13066700000000,04/01/2015
11,Loja,10,27,-3.983333000000000,-79.20000000000000,04/01/2015
12,Los Ríos,7,39,-1.800000000000000,-79.53333300000000,04/01/2015
13,Manabí,10,58,-1.056181000000000,-80.45521700000000,04/01/2015
14,Morona Santiago,3,8,-2.300000000000000,-78.11666700000001,04/01/2015
15,Napo,0,0,-0.9890000000000000,-77.81590000000000,04/01/2015
22,Orellana,2,9,-0.4666670000000000,-76.96666700000000,04/01/2015
88,Otro,0,0,0,0,04/01/2015
16,Pastaza,3,4,-1.066667000000000,-78.00111099999999,04/01/2015
17,Pichincha,31,142,-0.2186110000000000,-78.50972200000000,04/01/2015
