inec_provincia_id,provincia,total,acumuladas,lat,lng,mes
1,Azuay,327,327,-2.897414000000000,-79.00448100000000,1
2,Bolívar,57,57,-1.605556000000000,-79.00305600000000,1
4,Carchi,63,63,0.8121800000000000,-77.71633000000000,1
3,Cañar,87,87,-2.733333000000000,-78.83333300000000,1
6,Chimborazo,156,156,-1.674347000000000,-78.64829400000001,1
5,Cotopaxi,164,164,-0.9333330000000000,-78.61666700000001,1
7,El Oro,222,222,-3.266667000000000,-79.96666700000000,1
8,Esmeraldas,132,132,1.050000000000000,-79.20000000000000,1
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,1
9,Guayas,1555,1555,-2.183333000000000,-79.88333299999999,1
10,Imbabura,163,163,0.3626780000000000,-78.13066700000000,1
11,Loja,225,225,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,280,280,-1.800000000000000,-79.53333300000000,1
13,Manabí,475,475,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,33,33,-2.300000000000000,-78.11666700000001,1
15,Napo,27,27,-0.9890000000000000,-77.81590000000000,1
22,Orellana,31,31,-0.4666670000000000,-76.96666700000000,1
88,Otro,1,1,0,0,1
16,Pastaza,22,22,-1.066667000000000,-78.00111099999999,1
17,Pichincha,963,963,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,108,108,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,139,139,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,42,42,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,212,212,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,22,22,-4.120000000000000,-78.80000000000000,1
1,Azuay,292,619,-2.897414000000000,-79.00448100000000,2
2,Bolívar,78,135,-1.605556000000000,-79.00305600000000,2
4,Carchi,42,105,0.8121800000000000,-77.71633000000000,2
3,Cañar,74,161,-2.733333000000000,-78.83333300000000,2
6,Chimborazo,187,343,-1.674347000000000,-78.64829400000001,2
5,Cotopaxi,124,288,-0.9333330000000000,-78.61666700000001,2
7,El Oro,208,430,-3.266667000000000,-79.96666700000000,2
8,Esmeraldas,112,244,1.050000000000000,-79.20000000000000,2
20,Galápagos,1,2,-0.7999999999999999,-89.40000000000001,2
9,Guayas,1443,2998,-2.183333000000000,-79.88333299999999,2
10,Imbabura,134,297,0.3626780000000000,-78.13066700000000,2
11,Loja,165,390,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,227,507,-1.800000000000000,-79.53333300000000,2
13,Manabí,440,915,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,25,58,-2.300000000000000,-78.11666700000001,2
15,Napo,18,45,-0.9890000000000000,-77.81590000000000,2
22,Orellana,25,56,-0.4666670000000000,-76.96666700000000,2
88,Otro,1,2,0,0,2
16,Pastaza,20,42,-1.066667000000000,-78.00111099999999,2
17,Pichincha,872,1835,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,80,188,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,139,278,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,38,80,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,211,423,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,17,39,-4.120000000000000,-78.80000000000000,2
1,Azuay,329,948,-2.897414000000000,-79.00448100000000,3
2,Bolívar,71,206,-1.605556000000000,-79.00305600000000,3
4,Carchi,60,165,0.8121800000000000,-77.71633000000000,3
3,Cañar,85,246,-2.733333000000000,-78.83333300000000,3
6,Chimborazo,206,549,-1.674347000000000,-78.64829400000001,3
5,Cotopaxi,131,419,-0.9333330000000000,-78.61666700000001,3
7,El Oro,245,675,-3.266667000000000,-79.96666700000000,3
8,Esmeraldas,122,366,1.050000000000000,-79.20000000000000,3
20,Galápagos,2,4,-0.7999999999999999,-89.40000000000001,3
9,Guayas,1596,4594,-2.183333000000000,-79.88333299999999,3
10,Imbabura,167,464,0.3626780000000000,-78.13066700000000,3
11,Loja,178,568,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,253,760,-1.800000000000000,-79.53333300000000,3
13,Manabí,518,1433,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,30,88,-2.300000000000000,-78.11666700000001,3
15,Napo,28,73,-0.9890000000000000,-77.81590000000000,3
22,Orellana,30,86,-0.4666670000000000,-76.96666700000000,3
88,Otro,2,4,0,0,3
