provincia,total,acumuladas,lat,lng,mes
Azuay,327,327,-2.897414000000000,-79.00448100000000,1
Bolívar,57,57,-1.605556000000000,-79.00305600000000,1
Carchi,63,63,0.8121800000000000,-77.71633000000000,1
Cañar,87,87,-2.733333000000000,-78.83333300000000,1
Chimborazo,156,156,-1.674347000000000,-78.64829400000001,1
Cotopaxi,164,164,-0.9333330000000000,-78.61666700000001,1
El Oro,222,222,-3.266667000000000,-79.96666700000000,1
Esmeraldas,132,132,1.050000000000000,-79.20000000000000,1
Galápagos,1,1,-0.7999999999999999,-89.40000000000001,1
Guayas,1555,1555,-2.183333000000000,-79.88333299999999,1
Imbabura,163,163,0.3626780000000000,-78.13066700000000,1
Loja,225,225,-3.983333000000000,-79.20000000000000,1
Los Ríos,280,280,-1.800000000000000,-79.53333300000000,1
Manabí,475,475,-1.056181000000000,-80.45521700000000,1
Morona Santiago,33,33,-2.300000000000000,-78.11666700000001,1
Napo,27,27,-0.9890000000000000,-77.81590000000000,1
Orellana,31,31,-0.4666670000000000,-76.96666700000000,1
Otro,1,1,0,0,1
Pastaza,22,22,-1.066667000000000,-78.00111099999999,1
Pichincha,963,963,-0.2186110000000000,-78.50972200000000,1
Santa Elena,108,108,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,139,139,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,42,42,0.08472200000000002,-76.88277800000000,1
Tungurahua,212,212,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,22,22,-4.120000000000000,-78.80000000000000,1
Azuay,292,619,-2.897414000000000,-79.00448100000000,2
Bolívar,78,135,-1.605556000000000,-79.00305600000000,2
Carchi,42,105,0.8121800000000000,-77.71633000000000,2
Cañar,74,161,-2.733333000000000,-78.83333300000000,2
Chimborazo,187,343,-1.674347000000000,-78.64829400000001,2
Cotopaxi,124,288,-0.9333330000000000,-78.61666700000001,2
El Oro,208,430,-3.266667000000000,-79.96666700000000,2
Esmeraldas,112,244,1.050000000000000,-79.20000000000000,2
Galápagos,1,2,-0.7999999999999999,-89.40000000000001,2
Guayas,1443,2998,-2.183333000000000,-79.88333299999999,2
Imbabura,134,297,0.3626780000000000,-78.13066700000000,2
Loja,165,390,-3.983333000000000,-79.20000000000000,2
Los Ríos,227,507,-1.800000000000000,-79.53333300000000,2
Manabí,440,915,-1.056181000000000,-80.45521700000000,2
Morona Santiago,25,58,-2.300000000000000,-78.11666700000001,2
Napo,18,45,-0.9890000000000000,-77.81590000000000,2
Orellana,25,56,-0.4666670000000000,-76.96666700000000,2
Otro,1,2,0,0,2
Pastaza,20,42,-1.066667000000000,-78.00111099999999,2
Pichincha,872,1835,-0.2186110000000000,-78.50972200000000,2
Santa Elena,80,188,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,139,278,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,38,80,0.08472200000000002,-76.88277800000000,2
Tungurahua,211,423,-1.241667000000000,-78.61972200000000,2
