provincia,total,acumuladas,lat,lng,semana
Azuay,36,36,-2.897414000000000,-79.00448100000000,1
Bolívar,9,9,-1.605556000000000,-79.00305600000000,1
Carchi,9,9,0.8121800000000000,-77.71633000000000,1
Cañar,15,15,-2.733333000000000,-78.83333300000000,1
Chimborazo,18,18,-1.674347000000000,-78.64829400000001,1
Cotopaxi,24,24,-0.9333330000000000,-78.61666700000001,1
El Oro,34,34,-3.266667000000000,-79.96666700000000,1
Esmeraldas,22,22,1.050000000000000,-79.20000000000000,1
Galápagos,0,0,-0.7999999999999999,-89.40000000000001,1
Guayas,232,232,-2.183333000000000,-79.88333299999999,1
Imbabura,27,27,0.3626780000000000,-78.13066700000000,1
Loja,27,27,-3.983333000000000,-79.20000000000000,1
Los Ríos,39,39,-1.800000000000000,-79.53333300000000,1
Manabí,58,58,-1.056181000000000,-80.45521700000000,1
Morona Santiago,8,8,-2.300000000000000,-78.11666700000001,1
Napo,0,0,-0.9890000000000000,-77.81590000000000,1
Orellana,9,9,-0.4666670000000000,-76.96666700000000,1
Otro,0,0,0,0,1
Pastaza,4,4,-1.066667000000000,-78.00111099999999,1
Pichincha,142,142,-0.2186110000000000,-78.50972200000000,1
Santa Elena,16,16,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,23,23,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,5,5,0.08472200000000002,-76.88277800000000,1
Tungurahua,28,28,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,5,5,-4.120000000000000,-78.80000000000000,1
Azuay,69,105,-2.897414000000000,-79.00448100000000,2
Bolívar,14,23,-1.605556000000000,-79.00305600000000,2
Carchi,17,26,0.8121800000000000,-77.71633000000000,2
Cañar,16,31,-2.733333000000000,-78.83333300000000,2
Chimborazo,33,51,-1.674347000000000,-78.64829400000001,2
Cotopaxi,44,68,-0.9333330000000000,-78.61666700000001,2
El Oro,49,83,-3.266667000000000,-79.96666700000000,2
Esmeraldas,28,50,1.050000000000000,-79.20000000000000,2
Galápagos,0,0,-0.7999999999999999,-89.40000000000001,2
Guayas,320,552,-2.183333000000000,-79.88333299999999,2
Imbabura,43,70,0.3626780000000000,-78.13066700000000,2
Loja,37,64,-3.983333000000000,-79.20000000000000,2
Los Ríos,58,97,-1.800000000000000,-79.53333300000000,2
Manabí,102,160,-1.056181000000000,-80.45521700000000,2
Morona Santiago,2,10,-2.300000000000000,-78.11666700000001,2
Napo,8,8,-0.9890000000000000,-77.81590000000000,2
Orellana,5,14,-0.4666670000000000,-76.96666700000000,2
Otro,0,0,0,0,2
Pastaza,6,10,-1.066667000000000,-78.00111099999999,2
Pichincha,254,396,-0.2186110000000000,-78.50972200000000,2
Santa Elena,25,41,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,33,56,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,12,17,0.08472200000000002,-76.88277800000000,2
Tungurahua,49,77,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,5,10,-4.120000000000000,-78.80000000000000,2
Azuay,87,192,-2.897414000000000,-79.00448100000000,3
Bolívar,13,36,-1.605556000000000,-79.00305600000000,3
Carchi,11,37,0.8121800000000000,-77.71633000000000,3
Cañar,21,52,-2.733333000000000,-78.83333300000000,3
Chimborazo,37,88,-1.674347000000000,-78.64829400000001,3
Cotopaxi,47,115,-0.9333330000000000,-78.61666700000001,3
El Oro,54,137,-3.266667000000000,-79.96666700000000,3
Esmeraldas,32,82,1.050000000000000,-79.20000000000000,3
Galápagos,0,0,-0.7999999999999999,-89.40000000000001,3
Guayas,362,914,-2.183333000000000,-79.88333299999999,3
Imbabura,33,103,0.3626780000000000,-78.13066700000000,3
Loja,59,123,-3.983333000000000,-79.20000000000000,3
Los Ríos,65,162,-1.800000000000000,-79.53333300000000,3
Manabí,118,278,-1.056181000000000,-80.45521700000000,3
Morona Santiago,6,16,-2.300000000000000,-78.11666700000001,3
Napo,11,19,-0.9890000000000000,-77.81590000000000,3
Orellana,3,17,-0.4666670000000000,-76.96666700000000,3
Otro,0,0,0,0,3
