provincia,poblacion,total,nuevas,lat,lng,created_at
Santa Elena,401178,4750,13,-2.226700000000000,-80.85830000000000,03/01/2022
Sto. Domingo Tsáchilas,511151,13294,8,-0.2541670000000000,-79.17194400000000,03/01/2022
Sucumbíos,230503,6839,3,0.08472200000000002,-76.88277800000000,03/01/2022
Tungurahua,590600,16924,63,-1.241667000000000,-78.61972200000000,03/01/2022
Zamora Chinchipe,120416,3284,2,-4.120000000000000,-78.80000000000000,03/01/2022
Azuay,881394,30026,17,-2.897414000000000,-79.00448100000000,04/01/2022
Bolívar,209933,7774,49,-1.605556000000000,-79.00305600000000,04/01/2022
Carchi,186869,10108,9,0.8121800000000000,-77.71633000000000,04/01/2022
Cañar,281396,7218,43,-2.733333000000000,-78.83333300000000,04/01/2022
Chimborazo,524004,9814,23,-1.674347000000000,-78.64829400000001,04/01/2022
Cotopaxi,488716,12997,36,-0.9333330000000000,-78.61666700000001,04/01/2022
El Oro,715751,26312,61,-3.266667000000000,-79.96666700000000,04/01/2022
Esmeraldas,591083,10405,9,1.050000000000000,-79.20000000000000,04/01/2022
Galápagos,33042,1563,4,-0.7999999999999999,-89.40000000000001,04/01/2022
Guayas,4387434,79680,173,-2.183333000000000,-79.88333299999999,04/01/2022
Imbabura,476257,18321,41,0.3626780000000000,-78.13066700000000,04/01/2022
Loja,521154,19140,19,-3.983333000000000,-79.20000000000000,04/01/2022
Los Ríos,921763,13915,22,-1.800000000000000,-79.53333300000000,04/01/2022
Manabí,1562079,37561,117,-1.056181000000000,-80.45521700000000,04/01/2022
Morona Santiago,196535,7503,8,-2.300000000000000,-78.11666700000001,04/01/2022
Napo,133705,4639,5,-0.9890000000000000,-77.81590000000000,04/01/2022
Orellana,161338,4239,3,-0.4666670000000000,-76.96666700000000,04/01/2022
Pastaza,114202,3943,1,-1.066667000000000,-78.00111099999999,04/01/2022
Pichincha,3228233,204090,498,-0.2186110000000000,-78.50972200000000,04/01/2022
Santa Elena,401178,4758,8,-2.226700000000000,-80.85830000000000,04/01/2022
Sto. Domingo Tsáchilas,511151,13298,4,-0.2541670000000000,-79.17194400000000,04/01/2022
Sucumbíos,230503,6851,12,0.08472200000000002,-76.88277800000000,04/01/2022
Tungurahua,590600,16995,71,-1.241667000000000,-78.61972200000000,04/01/2022
Zamora Chinchipe,120416,3286,2,-4.120000000000000,-78.80000000000000,04/01/2022
Azuay,881394,30093,67,-2.897414000000000,-79.00448100000000,05/01/2022
Bolívar,209933,7809,35,-1.605556000000000,-79.00305600000000,05/01/2022
Carchi,186869,10113,5,0.8121800000000000,-77.71633000000000,05/01/2022
Cañar,281396,7291,73,-2.733333000000000,-78.83333300000000,05/01/2022
Chimborazo,524004,9842,28,-1.674347000000000,-78.64829400000001,05/01/2022
Cotopaxi,488716,13051,54,-0.9333330000000000,-78.61666700000001,05/01/2022
El Oro,715751,26377,65,-3.266667000000000,-79.96666700000000,05/01/2022
Esmeraldas,591083,10420,15,1.050000000000000,-79.20000000000000,05/01/2022
Galápagos,33042,1565,2,-0.7999999999999999,-89.40000000000001,05/01/2022
Guayas,4387434,81336,1656,-2.183333000000000,-79.88333299999999,05/01/2022
Imbabura,476257,18338,17,0.3626780000000000,-78.13066700000000,05/01/2022
Loja,521154,19194,54,-3.983333000000000,-79.20000000000000,05/01/2022
Los Ríos,921763,13982,67,-1.800000000000000,-79.53333300000000,05/01/2022
Manabí,1562079,37783,222,-1.056181000000000,-80.45521700000000,05/01/2022
Morona Santiago,196535,7530,27,-2.300000000000000,-78.11666700000001,05/01/2022
Napo,133705,4650,11,-0.9890000000000000,-77.81590000000000,05/01/2022
Orellana,161338,4243,4,-0.4666670000000000,-76.96666700000000,05/01/2022
Pastaza,114202,3947,4,-1.066667000000000,-78.00111099999999,05/01/2022
Pichincha,3228233,204423,333,-0.2186110000000000,-78.50972200000000,05/01/2022
Santa Elena,401178,4781,23,-2.226700000000000,-80.85830000000000,05/01/2022
Sto. Domingo Tsáchilas,511151,13305,7,-0.2541670000000000,-79.17194400000000,05/01/2022
Sucumbíos,230503,6855,4,0.08472200000000002,-76.88277800000000,05/01/2022
Tungurahua,590600,17055,60,-1.241667000000000,-78.61972200000000,05/01/2022
Zamora Chinchipe,120416,3290,4,-4.120000000000000,-78.80000000000000,05/01/2022
