inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,nuevas,lat,lng,semana
05,Cotopaxi,488716,0502,La Maná,56905,692,1,-0.9299999999999999,-79.22000000000000,1
05,Cotopaxi,488716,0501,Latacunga,205624,5806,45,-0.9333330000000000,-78.61666700000001,1
05,Cotopaxi,488716,0503,Pangua,24612,376,2,-1.133333000000000,-79.06666700000000,1
05,Cotopaxi,488716,0504,Pujilí,79772,1513,7,-0.9500000000000000,-78.69000000000000,1
05,Cotopaxi,488716,0505,Salcedo,67100,3372,53,-1.050000000000000,-78.58333300000000,1
05,Cotopaxi,488716,0506,Saquisilí,31426,821,2,-0.8300000000000000,-78.67000000000000,1
05,Cotopaxi,488716,0507,Sigchos,23277,471,1,-0.7000000000000000,-78.88333299999999,1
07,El Oro,715751,0702,Arenillas,33473,875,7,-3.550000000000000,-80.06000000000000,1
07,El Oro,715751,0703,Atahualpa,6436,424,2,-2.900000000000000,-78.93333300000000,1
07,El Oro,715751,0704,Balsas,9233,320,4,-3.762600000000000,-79.82530000000000,1
07,El Oro,715751,0705,Chilla,2379,35,0,-3.450000000000000,-79.58000000000000,1
07,El Oro,715751,0706,El Guabo,63645,846,9,-3.238800000000000,-79.82920000000000,1
07,El Oro,715751,0707,Huaquillas,60440,1188,5,-3.481380000000000,-80.24320700000000,1
07,El Oro,715751,0714,Las Lajas,4963,117,2,-3.785000000000000,-80.06166700000000,1
07,El Oro,715751,0701,Machala,289141,13087,152,-3.266667000000000,-79.96666700000000,1
07,El Oro,715751,0708,Marcabelí,6259,217,6,-3.786000000000000,-79.89780000000000,1
07,El Oro,715751,0709,Pasaje,87723,2140,44,-3.326900000000000,-79.80490000000000,1
07,El Oro,715751,0710,Piñas,30206,1969,27,-3.666667000000000,-79.65000000000001,1
07,El Oro,715751,0711,Portovelo,14028,1055,16,-3.720000000000000,-79.62000000000000,1
07,El Oro,715751,0712,Santa Rosa,82171,2791,16,-3.452222000000000,-79.96166700000001,1
07,El Oro,715751,0713,Zaruma,25654,1313,5,-3.433333000000000,-79.59999999999999,1
08,Esmeraldas,591083,0806,Atacames,55495,794,1,0.8666670000000000,-79.83333300000000,1
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,446,1,1.250000000000000,-79,1
08,Esmeraldas,591083,0801,Esmeraldas,218727,5700,15,1.050000000000000,-79.20000000000000,1
08,Esmeraldas,591083,0803,Muisne,31106,266,2,0.6067000000000000,-80.01830000000000,1
08,Esmeraldas,591083,0804,Quinindé,145879,2345,1,0.3300000000000000,-79.48000000000000,1
08,Esmeraldas,591083,0807,Rioverde,31475,400,0,1.060200000000000,-79.40440000000000,1
08,Esmeraldas,591083,0805,San Lorenzo,62772,469,5,1.265800000000000,-78.84139999999999,1
20,Galápagos,33042,2002,Isabela,3073,349,0,-0.4724000000000000,-90.68110000000000,1
20,Galápagos,33042,2001,San Cristóbal,9667,346,7,-0.7999999999999999,-89.40000000000001,1
20,Galápagos,33042,2003,Santa Cruz,20302,870,1,-0.6333330000000000,-90.36666700000001,1
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,190,2,-1.916667000000000,-79.51666700000000,1
09,Guayas,4387434,0903,Balao,26348,371,0,-2.910000000000000,-79.81000000000000,1
09,Guayas,4387434,0904,Balzar,60260,792,5,-1.360000000000000,-79.90000000000001,1
09,Guayas,4387434,0905,Colimes,26169,259,2,-1.550000000000000,-80.01666700000000,1
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,143,1,-2.200000000000000,-79.42000000000000,1
09,Guayas,4387434,0906,Daule,173684,2310,37,-1.866667000000000,-79.98333300000000,1
09,Guayas,4387434,0907,Durán,315724,4166,75,-2.166667000000000,-79.83333300000000,1
09,Guayas,4387434,0909,El Triunfo,59636,929,7,-2.330000000000000,-79.40000000000001,1
09,Guayas,4387434,0908,Empalme,86073,1319,8,-1.046111000000000,-79.63361100000000,1
09,Guayas,4387434,0927,General Antonio Elizalde,13156,561,5,-2.200000000000000,-79.17000000000000,1
09,Guayas,4387434,0901,Guayaquil,2723665,57283,1605,-2.183333000000000,-79.88333299999999,1
09,Guayas,4387434,0928,Isidro Ayora,14582,137,0,-1.883333000000000,-80.16666700000000,1
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,164,1,-1.883333000000000,-80.08333300000000,1
09,Guayas,4387434,0910,Milagro,199835,4417,69,-2.126944000000000,-79.59916699999999,1
09,Guayas,4387434,0911,Naranjal,95052,1597,3,-2.672800000000000,-79.61499999999999,1
