inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,nuevas,lat,lng,mes
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,228,41,-1.916667000000000,-79.51666700000000,1
09,Guayas,4387434,0903,Balao,26348,400,30,-2.910000000000000,-79.81000000000000,1
09,Guayas,4387434,0904,Balzar,60260,912,130,-1.360000000000000,-79.90000000000001,1
09,Guayas,4387434,0905,Colimes,26169,312,58,-1.550000000000000,-80.01666700000000,1
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,196,56,-2.200000000000000,-79.42000000000000,1
09,Guayas,4387434,0906,Daule,173684,2956,715,-1.866667000000000,-79.98333300000000,1
09,Guayas,4387434,0907,Durán,315724,5578,1511,-2.166667000000000,-79.83333300000000,1
09,Guayas,4387434,0909,El Triunfo,59636,1029,115,-2.330000000000000,-79.40000000000001,1
09,Guayas,4387434,0908,Empalme,86073,1539,232,-1.046111000000000,-79.63361100000000,1
09,Guayas,4387434,0927,General Antonio Elizalde,13156,623,70,-2.200000000000000,-79.17000000000000,1
09,Guayas,4387434,0901,Guayaquil,2723665,81206,26243,-2.183333000000000,-79.88333299999999,1
09,Guayas,4387434,0928,Isidro Ayora,14582,176,39,-1.883333000000000,-80.16666700000000,1
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,197,35,-1.883333000000000,-80.08333300000000,1
09,Guayas,4387434,0910,Milagro,199835,5348,1060,-2.126944000000000,-79.59916699999999,1
09,Guayas,4387434,0911,Naranjal,95052,1802,213,-2.672800000000000,-79.61499999999999,1
09,Guayas,4387434,0912,Naranjito,43862,641,95,-2.173000000000000,-79.46710000000000,1
09,Guayas,4387434,0925,Nobol,26444,162,41,-1.916671000000000,-80.01153900000000,1
09,Guayas,4387434,0913,Palestina,18451,199,43,-1.626300000000000,-79.97700000000000,1
09,Guayas,4387434,0914,Pedro Carbo,51802,1122,145,-1.833333000000000,-80.23333300000000,1
09,Guayas,4387434,0921,Playas,59628,739,146,-2.623330000000000,-80.38750000000000,1
09,Guayas,4387434,0919,Salitre,65765,1307,409,-1.829444000000000,-79.81555600000000,1
09,Guayas,4387434,0916,Samborondón,102404,2866,629,-2.183333000000000,-79.88333299999999,1
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,795,156,-2.120000000000000,-79.69000000000000,1
09,Guayas,4387434,0918,Santa Lucía,45004,257,84,-1.713889000000000,-79.98500000000000,1
09,Guayas,4387434,0922,Simón Bolivar,32224,239,35,-2.156667000000000,-79.88750000000000,1
10,Imbabura,476257,1002,Antonio Ante,54311,2417,299,0.3200000000000000,-78.20999999999999,1
10,Imbabura,476257,1003,Cotacachi,44203,2082,213,0.3000000000000000,-78.26666700000000,1
10,Imbabura,476257,1001,Ibarra,221149,11193,1719,0.3626780000000000,-78.13066700000000,1
10,Imbabura,476257,1004,Otavalo,125785,4103,419,0.2333330000000000,-78.26666700000000,1
10,Imbabura,476257,1005,Pimampiro,13269,557,95,0.4000000000000000,-77.97000000000000,1
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,657,52,0.5200000000000000,-78.20000000000000,1
11,Loja,521154,1102,Calvas,29565,930,163,-4.320000000000000,-79.56000000000000,1
11,Loja,521154,1103,Catamayo,35961,977,140,-3.980000000000000,-79.34999999999999,1
11,Loja,521154,1104,Celica,16160,317,15,-4.102500000000000,-79.95444400000000,1
11,Loja,521154,1105,Chaguarpamba,6620,108,19,-3.850000000000000,-79.65000000000001,1
11,Loja,521154,1106,Espíndola,14209,434,68,-4.583056000000000,-79.42694400000001,1
11,Loja,521154,1107,Gonzanamá,10953,294,60,-4.231389000000000,-79.43527800000000,1
11,Loja,521154,1101,Loja,274112,14393,1693,-3.983333000000000,-79.20000000000000,1
11,Loja,521154,1108,Macará,20269,1327,183,-4.383333000000000,-79.95000000000000,1
11,Loja,521154,1116,Olmedo,4220,80,11,-3.934000000000000,-79.64800000000000,1
11,Loja,521154,1109,Paltas,23471,1068,147,-4.050000000000002,-79.65000000000001,1
11,Loja,521154,1114,Pindal,10540,184,22,-4.116100000000000,-80.10760000000001,1
11,Loja,521154,1110,Puyango,15925,299,73,-3.870000000000000,-80.09000000000000,1
11,Loja,521154,1115,Quilanga,4197,168,16,-4.298000000000000,-79.39860000000000,1
11,Loja,521154,1111,Saraguro,33506,764,89,-3.625300000000000,-79.24110000000000,1
11,Loja,521154,1112,Sozoranga,7121,132,16,-4.327778000000000,-79.78972200000000,1
11,Loja,521154,1113,Zapotillo,14325,285,37,-4.386360000000002,-80.24360000000000,1
12,Los Ríos,921763,1202,Baba,43429,426,53,-1.784167000000000,-79.67666699999999,1
12,Los Ríos,921763,1201,Babahoyo,175281,4572,478,-1.800000000000000,-79.53333300000000,1
12,Los Ríos,921763,1210,Buena Fe,83654,958,95,-0.8985719999999999,-79.48891600000000,1
12,Los Ríos,921763,1212,Mocache,43316,184,22,-1.183850000000000,-79.50552999999999,1
12,Los Ríos,921763,1203,Montalvo,28720,624,74,-1.793800000000000,-79.28570000000001,1
12,Los Ríos,921763,1209,Palenque,23638,437,33,-1.432800000000000,-79.74950000000000,1
12,Los Ríos,921763,1204,Puebloviejo,44725,457,53,-1.550000000000000,-79.53388900000000,1
12,Los Ríos,921763,1205,Quevedo,213842,3226,355,-1.033333000000000,-79.45000000000000,1
12,Los Ríos,921763,1213,Quinsaloma,20428,430,63,-1.206200000000000,-79.31450000000000,1
12,Los Ríos,921763,1206,Urdaneta,32618,639,84,-1.570556000000000,-79.47111099999999,1
12,Los Ríos,921763,1211,Valencia,54637,741,109,-0.9525000000000000,-79.35310000000000,1
12,Los Ríos,921763,1207,Ventanas,75146,1745,295,-1.450000000000000,-79.47000000000000,1
12,Los Ríos,921763,1208,Vinces,82329,1364,284,-1.558333000000000,-79.75000000000000,1
13,Manabí,1562079,1302,Bolívar,45493,1011,136,-0.8419440000000000,-80.16194400000001,1
13,Manabí,1562079,1303,Chone,131002,4806,603,-0.6833330000000000,-80.09999999999999,1
13,Manabí,1562079,1304,El Carmen,111344,1347,161,-1.314700000000000,-80.01690000000001,1
13,Manabí,1562079,1305,Flavio Alfaro,23822,520,58,-0.4054000000000000,-79.90580000000000,1
13,Manabí,1562079,1320,Jama,26116,292,53,-0.2014000000000000,-80.26590000000000,1
13,Manabí,1562079,1321,Jaramijó,28439,304,61,-0.9487300000000000,-80.63630000000001,1
13,Manabí,1562079,1306,Jipijapa,74645,2505,558,-1.333330000000000,-80.58329999999999,1
13,Manabí,1562079,1307,Junín,18820,605,87,-0.9291600000000000,-80.20569000000000,1
13,Manabí,1562079,1308,Manta,264281,5749,755,-0.9500220000000000,-80.71620000000000,1
13,Manabí,1562079,1309,Montecristi,107785,1077,174,-1.033330000000000,-80.65000000000001,1
