provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,mes
Galápagos,33042,San Cristóbal,9667,787,454,-0.7999999999999999,-89.40000000000001,1
Galápagos,33042,Santa Cruz,20302,1545,676,-0.6333330000000000,-90.36666700000001,1
Guayas,4387434,Alfredo Baquerizo Moreno,32110,261,74,-1.916667000000000,-79.51666700000000,1
Guayas,4387434,Balao,26348,422,52,-2.910000000000000,-79.81000000000000,1
Guayas,4387434,Balzar,60260,977,195,-1.360000000000000,-79.90000000000001,1
Guayas,4387434,Colimes,26169,339,85,-1.550000000000000,-80.01666700000000,1
Guayas,4387434,Coronel Marcelino Maridueña,13132,242,102,-2.200000000000000,-79.42000000000000,1
Guayas,4387434,Daule,173684,3213,972,-1.866667000000000,-79.98333300000000,1
Guayas,4387434,Durán,315724,6091,2024,-2.166667000000000,-79.83333300000000,1
Guayas,4387434,El Triunfo,59636,1088,174,-2.330000000000000,-79.40000000000001,1
Guayas,4387434,Empalme,86073,1659,352,-1.046111000000000,-79.63361100000000,1
Guayas,4387434,General Antonio Elizalde,13156,663,110,-2.200000000000000,-79.17000000000000,1
Guayas,4387434,Guayaquil,2723665,90417,35454,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Isidro Ayora,14582,180,43,-1.883333000000000,-80.16666700000000,1
Guayas,4387434,Lomas de Sargentillo,24220,204,42,-1.883333000000000,-80.08333300000000,1
Guayas,4387434,Milagro,199835,5894,1606,-2.126944000000000,-79.59916699999999,1
Guayas,4387434,Naranjal,95052,1908,319,-2.672800000000000,-79.61499999999999,1
Guayas,4387434,Naranjito,43862,723,177,-2.173000000000000,-79.46710000000000,1
Guayas,4387434,Nobol,26444,180,59,-1.916671000000000,-80.01153900000000,1
Guayas,4387434,Palestina,18451,221,65,-1.626300000000000,-79.97700000000000,1
Guayas,4387434,Pedro Carbo,51802,1164,187,-1.833333000000000,-80.23333300000000,1
Guayas,4387434,Playas,59628,761,168,-2.623330000000000,-80.38750000000000,1
Guayas,4387434,Salitre,65765,1418,520,-1.829444000000000,-79.81555600000000,1
Guayas,4387434,Samborondón,102404,3102,865,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,San Jacinto De Yaguachi,78204,858,219,-2.120000000000000,-79.69000000000000,1
Guayas,4387434,Santa Lucía,45004,280,107,-1.713889000000000,-79.98500000000000,1
Guayas,4387434,Simón Bolivar,32224,250,46,-2.156667000000000,-79.88750000000000,1
Imbabura,476257,Antonio Ante,54311,2728,610,0.3200000000000000,-78.20999999999999,1
Imbabura,476257,Cotacachi,44203,2276,407,0.3000000000000000,-78.26666700000000,1
Imbabura,476257,Ibarra,221149,13150,3676,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Otavalo,125785,4649,965,0.2333330000000000,-78.26666700000000,1
Imbabura,476257,Pimampiro,13269,614,152,0.4000000000000000,-77.97000000000000,1
Imbabura,476257,San Miguel de Urcuquí,17540,746,141,0.5200000000000000,-78.20000000000000,1
Loja,521154,Calvas,29565,1144,377,-4.320000000000000,-79.56000000000000,1
Loja,521154,Catamayo,35961,1215,378,-3.980000000000000,-79.34999999999999,1
Loja,521154,Celica,16160,358,56,-4.102500000000000,-79.95444400000000,1
Loja,521154,Chaguarpamba,6620,130,41,-3.850000000000000,-79.65000000000001,1
Loja,521154,Espíndola,14209,546,180,-4.583056000000000,-79.42694400000001,1
Loja,521154,Gonzanamá,10953,371,137,-4.231389000000000,-79.43527800000000,1
Loja,521154,Loja,274112,17489,4789,-3.983333000000001,-79.20000000000000,1
Loja,521154,Macará,20269,1640,496,-4.383333000000000,-79.95000000000000,1
Loja,521154,Olmedo,4220,88,19,-3.934000000000000,-79.64800000000000,1
Loja,521154,Paltas,23471,1259,338,-4.050000000000002,-79.65000000000001,1
Loja,521154,Pindal,10540,209,47,-4.116100000000000,-80.10760000000001,1
Loja,521154,Puyango,15925,372,146,-3.870000000000000,-80.09000000000000,1
