provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,mes
Guayas,4387434,San Jacinto De Yaguachi,78204,912,54,-2.120000000000000,-79.69000000000000,2
Guayas,4387434,Santa Lucía,45004,290,10,-1.713889000000000,-79.98500000000000,2
Guayas,4387434,Simón Bolivar,32224,262,12,-2.156667000000000,-79.88750000000000,2
Imbabura,476257,Antonio Ante,54311,3121,393,0.3200000000000000,-78.20999999999999,2
Imbabura,476257,Cotacachi,44203,2463,187,0.3000000000000000,-78.26666700000000,2
Imbabura,476257,Ibarra,221149,15238,2088,0.3626780000000000,-78.13066700000000,2
Imbabura,476257,Otavalo,125785,5353,704,0.2333330000000000,-78.26666700000000,2
Imbabura,476257,Pimampiro,13269,670,56,0.4000000000000000,-77.97000000000000,2
Imbabura,476257,San Miguel de Urcuquí,17540,856,110,0.5200000000000000,-78.20000000000000,2
Loja,521154,Calvas,29565,1316,172,-4.320000000000000,-79.56000000000000,2
Loja,521154,Catamayo,35961,1461,246,-3.980000000000000,-79.34999999999999,2
Loja,521154,Celica,16160,444,86,-4.102500000000000,-79.95444400000000,2
Loja,521154,Chaguarpamba,6620,160,30,-3.850000000000000,-79.65000000000001,2
Loja,521154,Espíndola,14209,639,93,-4.583056000000000,-79.42694400000001,2
Loja,521154,Gonzanamá,10953,484,113,-4.231389000000000,-79.43527800000000,2
Loja,521154,Loja,274112,21867,4378,-3.983333000000001,-79.20000000000000,2
Loja,521154,Macará,20269,1901,261,-4.383333000000000,-79.95000000000000,2
Loja,521154,Olmedo,4220,146,58,-3.934000000000000,-79.64800000000000,2
Loja,521154,Paltas,23471,1478,219,-4.050000000000002,-79.65000000000001,2
Loja,521154,Pindal,10540,236,27,-4.116100000000000,-80.10760000000001,2
Loja,521154,Puyango,15925,450,78,-3.870000000000000,-80.09000000000000,2
Loja,521154,Quilanga,4197,251,43,-4.298000000000000,-79.39860000000000,2
Loja,521154,Saraguro,33506,1023,109,-3.625300000000000,-79.24110000000000,2
Loja,521154,Sozoranga,7121,202,43,-4.327778000000000,-79.78972200000000,2
Loja,521154,Zapotillo,14325,406,72,-4.386360000000002,-80.24360000000000,2
Los Ríos,921763,Baba,43429,460,19,-1.784167000000000,-79.67666699999999,2
Los Ríos,921763,Babahoyo,175281,4965,161,-1.800000000000000,-79.53333300000000,2
Los Ríos,921763,Buena Fe,83654,1036,30,-0.8985719999999999,-79.48891600000000,2
Los Ríos,921763,Mocache,43316,205,12,-1.183850000000000,-79.50552999999999,2
Los Ríos,921763,Montalvo,28720,682,29,-1.793800000000000,-79.28570000000001,2
Los Ríos,921763,Palenque,23638,467,8,-1.432800000000000,-79.74950000000000,2
Los Ríos,921763,Puebloviejo,44725,501,26,-1.550000000000000,-79.53388900000000,2
Los Ríos,921763,Quevedo,213842,3537,119,-1.033333000000000,-79.45000000000000,2
Los Ríos,921763,Quinsaloma,20428,471,9,-1.206200000000000,-79.31450000000000,2
Los Ríos,921763,Urdaneta,32618,709,49,-1.570556000000000,-79.47111099999999,2
Los Ríos,921763,Valencia,54637,800,22,-0.9525000000000000,-79.35310000000000,2
Los Ríos,921763,Ventanas,75146,1849,35,-1.450000000000000,-79.47000000000000,2
Los Ríos,921763,Vinces,82329,1484,41,-1.558333000000000,-79.75000000000000,2
Manabí,1562079,Bolívar,45493,1235,81,-0.8419440000000000,-80.16194400000001,2
Manabí,1562079,Chone,131002,5962,394,-0.6833330000000000,-80.09999999999999,2
Manabí,1562079,El Carmen,111344,1783,182,-1.314700000000000,-80.01690000000001,2
Manabí,1562079,Flavio Alfaro,23822,577,30,-0.4054000000000000,-79.90580000000000,2
Manabí,1562079,Jama,26116,429,26,-0.2014000000000000,-80.26590000000000,2
Manabí,1562079,Jaramijó,28439,369,32,-0.9487300000000000,-80.63630000000001,2
Manabí,1562079,Jipijapa,74645,3226,219,-1.333330000000000,-80.58329999999999,2
Manabí,1562079,Junín,18820,750,62,-0.9291600000000000,-80.20569000000000,2
Manabí,1562079,Manta,264281,7661,1006,-0.9500220000000000,-80.71620000000000,2
Manabí,1562079,Montecristi,107785,1391,158,-1.033330000000000,-80.65000000000001,2
Manabí,1562079,Olmedo,10194,651,25,-1.396111000000000,-80.20611100000001,2
Manabí,1562079,Paján,37093,909,53,-1.570000000000000,-80.42000000000000,2
Manabí,1562079,Pedernales,63441,1023,72,0.07010000000000001,-80.05360000000000,2
Manabí,1562079,Pichincha,29599,828,39,-1.047300000000000,-79.81860000000000,2
Manabí,1562079,Portoviejo,321800,17109,1452,-1.056181000000000,-80.45521700000000,2
Manabí,1562079,Puerto López,24688,931,27,-1.566667000000000,-80.81666700000000,2
Manabí,1562079,Rocafuerte,37312,2008,204,-0.9200000000000000,-80.45999999999999,2
Manabí,1562079,San Vicente,24799,760,75,-0.5892999999999999,-80.40880000000000,2
Manabí,1562079,Santa Ana,48152,1895,153,-1.206900000000000,-80.37090000000001,2
Manabí,1562079,Sucre,62443,2484,196,-0.6000000000000000,-80.41666700000000,2
Manabí,1562079,Tosagua,42297,1042,87,-0.7800000000000000,-80.26000000000001,2
Manabí,1562079,Veinticuatro de Mayo,28514,1340,87,-1.278889000000000,-80.42000000000000,2
Morona Santiago,196535,Gualaquiza,19555,1626,127,-3.380000000000000,-78.58000000000000,2
Morona Santiago,196535,Huamboya,12382,258,17,-1.785000000000000,-78.23194400000000,2
Morona Santiago,196535,Limón Indanza,10349,746,84,-2.966250000000000,-78.43052800000000,2
Morona Santiago,196535,Logroño,7643,220,12,-2.624800000000000,-78.18960000000000,2
Morona Santiago,196535,Morona,58281,3982,535,-2.300000000000000,-78.11666700000001,2
Morona Santiago,196535,Pablo Sexto,2897,149,8,-1.803056000000000,-77.92111100000000,2
Morona Santiago,196535,Palora,7719,674,42,-1.700000000000000,-77.94000000000000,2
Morona Santiago,196535,San Juan Bosco,4985,226,8,-3.092300000000000,-78.51320000000000,2
Morona Santiago,196535,Santiago,11087,534,32,-3.429800000000000,-78.56560000000000,2
Morona Santiago,196535,Sucúa,23823,1333,85,-2.460000000000000,-78.17000000000000,2
Morona Santiago,196535,Taisha,26773,437,72,-2.339950000000000,-77.45808000000000,2
Morona Santiago,196535,Tiwintza,11041,180,6,-2.917670000000000,-77.80170000000000,2
Napo,133705,Archidona,33068,817,52,-0.9166670000000000,-77.78333300000000,2
Napo,133705,Carlos Julio Arosemena Tola,4466,144,11,-1.166667000000000,-77.84999999999999,2
Napo,133705,El Chaco,10142,792,125,-0.3402780000000000,-77.80888899999999,2
Napo,133705,Quijos,6847,746,111,-0.4636110000000000,-77.89277800000001,2
Napo,133705,Tena,79182,4196,205,-0.9890000000000000,-77.81590000000000,2
Orellana,161338,Aguarico,3629,866,29,-0.9211110000000000,-75.39916700000001,2
Orellana,161338,La Joya de los Sachas,39352,1040,114,-0.3000000000000000,-76.84999999999999,2
Orellana,161338,Loreto,24579,290,41,-0.6904000000000000,-77.30830000000000,2
Orellana,161338,Orellana,93778,3556,345,-0.4666670000000000,-76.96666700000000,2
Pastaza,114202,Arajuno,8128,212,10,-1.234370000000000,-77.68750000000000,2
Pastaza,114202,Mera,17547,1001,76,-1.460000000000000,-78.09000000000000,2
Pastaza,114202,Pastaza,84377,3808,572,-1.066667000000000,-78.00111099999999,2
Pastaza,114202,Santa Clara,4150,190,20,-1.267100000000000,-77.88820000000000,2
Pichincha,3228233,Cayambe,107660,3807,993,0.04388900000000000,-78.15610000000000,2
Pichincha,3228233,Mejía,108167,5815,716,-0.5101000000000000,-78.56980000000000,2
Pichincha,3228233,Pedro Moncayo,43281,1067,245,0.04369700000000000,-78.34923999999999,2
Pichincha,3228233,Pedro Vicente Maldonado,17171,596,54,0.1666670000000000,-79,2
Pichincha,3228233,Puerto Quito,24911,815,81,0.1170000000000000,-79.26400000000000,2
Pichincha,3228233,Quito,2781641,278136,43914,-0.2186110000000000,-78.50972200000000,2
Pichincha,3228233,Rumiñahui,115433,9787,1586,-0.3345000000000000,-78.44750000000001,2
Pichincha,3228233,San Miguel de Los Bancos,29969,1016,57,0.02300000000000000,-78.89200000000000,2
Santa Elena,401178,La Libertad,117767,2219,114,-2.233333000000000,-80.90000000000001,2
Santa Elena,401178,Salinas,94590,1555,86,-2.216667000000000,-80.95000000000000,2
Santa Elena,401178,Santa Elena,188821,2674,117,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,511151,La Concordia,52571,1953,70,0.002300000000000000,-79.38460000000001,2
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,14682,1265,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,230503,Cascales,15882,387,20,-0.06750000000000000,-77.21694400000000,2
Sucumbíos,230503,Cuyabeno,7154,461,30,-0.1288890000000000,-76.41388900000000,2
Sucumbíos,230503,Gonzalo Pizarro,10007,466,25,0.04700000000000000,-77.32280000000000,2
Sucumbíos,230503,Lago Agrio,119594,5124,234,0.08472200000000002,-76.88277800000000,2
Sucumbíos,230503,Putumayo,16106,369,17,0.1000000000000000,-75.84999999999999,2
Sucumbíos,230503,Shushufindi,57949,1683,78,-0.1871000000000000,-76.64500000000000,2
Sucumbíos,230503,Sucumbíos,3811,194,11,0.4592000000000000,-77.52300000000000,2
Tungurahua,590600,Ambato,387309,19934,3005,-1.241667000000000,-78.61972200000000,2
Tungurahua,590600,Baños,25043,1718,124,-1.396389000000000,-78.42472200000000,2
Tungurahua,590600,Cevallos,9936,265,50,-1.350000000000000,-78.61666700000001,2
Tungurahua,590600,Mocha,7336,157,18,-1.416667000000000,-78.66666700000000,2
Tungurahua,590600,Patate,15825,699,104,-1.316667000000000,-78.51666700000000,2
Tungurahua,590600,Pelileo,66836,2036,223,-1.327500000000000,-78.54083300000001,2
Tungurahua,590600,Píllaro,43371,789,105,-1.175833000000000,-78.55527800000000,2
Tungurahua,590600,Quero,20627,334,37,-1.379300000000000,-78.60700000000000,2
Tungurahua,590600,Tisaleo,14317,274,45,-1.350000000000000,-78.66666700000000,2
Zamora Chinchipe,120416,Centinela del Cóndor,8313,352,39,-3.894910000000000,-78.78140999999999,2
Zamora Chinchipe,120416,Chinchipe,10679,543,37,-4.862800000000000,-79.13280000000000,2
Zamora Chinchipe,120416,El Pangui,10945,618,95,-3.624900000000000,-78.58710000000001,2
Zamora Chinchipe,120416,Nangaritza,8014,208,31,-4.048333000000000,-78.68222200000000,2
Zamora Chinchipe,120416,Palanda,10144,207,29,-4.649800000000000,-79.13209999999999,2
Zamora Chinchipe,120416,Paquisha,5992,198,22,-3.932750000000000,-78.67426000000000,2
Zamora Chinchipe,120416,Yacuambi,7121,145,7,-3.634440000000000,-78.92810000000000,2
Zamora Chinchipe,120416,Yantzaza,26447,1319,133,-3.850000000000000,-78.75000000000000,2
Zamora Chinchipe,120416,Zamora,32761,1478,134,-4.120000000000000,-78.80000000000000,2
Azuay,881394,Camilo Ponce Enríquez,36423,790,9,-3.050000000000000,-79.73333300000000,3
Azuay,881394,Chordeleg,15176,321,11,-2.933333000000000,-78.76666700000000,3
Azuay,881394,Cuenca,636996,32644,1485,-2.897414000000000,-79.00448100000000,3
Azuay,881394,El Pan,3091,229,12,-2.786111000000000,-78.66500000000001,3
Azuay,881394,Girón,13037,480,8,-3.159028000000000,-79.14756800000001,3
Azuay,881394,Guachapala,3859,363,9,-2.769000000000000,-78.70900000000000,3
Azuay,881394,Gualaceo,49104,1652,53,-2.900000000000000,-78.78333300000000,3
Azuay,881394,Nabón,17292,323,8,-3.336060000000000,-79.06368000000001,3
Azuay,881394,Oña,4128,104,2,-3.469640000000000,-79.15431000000000,3
Azuay,881394,Paute,29214,1743,35,-2.781800000000000,-78.76000000000001,3
Azuay,881394,Pucará,10584,207,7,-3.233780000000000,-79.46120000000001,3
Azuay,881394,San Fernando,4156,179,6,-3.144500000000000,-79.25200000000000,3
Azuay,881394,Santa Isabel,20935,1204,20,-3.274170000000000,-79.31560000000000,3
Azuay,881394,Sevilla de Oro,6890,595,20,-2.799833000000000,-78.65569400000000,3
Azuay,881394,Sígsig,30509,913,66,-3.089700000000000,-78.80320000000000,3
Bolívar,209933,Caluma,16429,1546,12,-1.633330000000000,-79.25000000000000,3
Bolívar,209933,Chillanes,16850,930,8,-1.933333000000000,-79.06666700000000,3
Bolívar,209933,Chimbo,17378,912,20,-1.700000000000000,-79.01666700000000,3
Bolívar,209933,Echeandía,14081,1265,5,-1.433330000000000,-79.26667000000000,3
Bolívar,209933,Guaranda,108763,4317,142,-1.605556000000000,-79.00305600000000,3
Bolívar,209933,Las Naves,7428,518,0,-1.283330000000000,-79.30000000000000,3
Bolívar,209933,San Miguel,29004,2148,72,-1.700000000000000,-79.03333300000000,3
Carchi,186869,Bolivar,15528,966,12,0.5070990000000000,-77.86245400000000,3
Carchi,186869,Espejo,13817,1024,20,0.6210000000000000,-77.94000000000000,3
Carchi,186869,Mira,11969,1097,41,0.5538999999999998,-78.04930000000000,3
Carchi,186869,Montúfar,34229,2300,44,0.6100000000000000,-77.84000000000000,3
Carchi,186869,San Pedro de Huaca,8931,697,9,0.6311110000000000,-77.72527800000000,3
Carchi,186869,Tulcán,102395,7044,150,0.8121800000000000,-77.71633000000000,3
Cañar,281396,Azogues,86276,7579,288,-2.733333000000000,-78.83333300000000,3
Cañar,281396,Biblían,23741,1290,45,-2.710000000000000,-78.88000000000000,3
Cañar,281396,Cañar,68747,2533,107,-2.483700000000000,-78.97839999999999,3
Cañar,281396,Déleg,6782,212,5,-2.772600000000000,-78.91830000000000,3
Cañar,281396,El Tambo,12462,588,8,-2.508100000000000,-78.92489999999999,3
Cañar,281396,La Troncal,76872,2036,110,-2.400000000000000,-79.33000000000000,3
Cañar,281396,Suscal,6516,117,1,-2.436400000000000,-79.05220000000000,3
Chimborazo,524004,Alausí,45054,904,10,-2.200000000000000,-78.84999999999999,3
Chimborazo,524004,Chambo,13378,290,10,-1.733333000000000,-78.58333300000000,3
Chimborazo,524004,Chunchi,12795,342,4,-2.283333000000000,-78.91666700000000,3
Chimborazo,524004,Colta,44838,543,13,-1.700000000000000,-78.75000000000000,3
Chimborazo,524004,Cumandá,17973,530,8,-2.200000000000000,-79.13333299999999,3
Chimborazo,524004,Guamote,58291,319,8,-1.933333000000000,-78.71666700000000,3
Chimborazo,524004,Guano,48395,1220,38,-1.583333000000000,-78.63333299999999,3
Chimborazo,524004,Pallatanga,12277,256,5,-1.983333000000000,-78.95000000000000,3
Chimborazo,524004,Penipe,6955,239,4,-1.557300000000000,-78.53959999999999,3
Chimborazo,524004,Riobamba,264048,11238,323,-1.674347000000000,-78.64829400000001,3
Cotopaxi,488716,La Maná,56905,941,7,-0.9300000000000000,-79.22000000000000,3
Cotopaxi,488716,Latacunga,205624,7932,125,-0.9333330000000000,-78.61666700000001,3
Cotopaxi,488716,Pangua,24612,495,2,-1.133333000000000,-79.06666700000000,3
Cotopaxi,488716,Pujilí,79772,2422,38,-0.9500000000000000,-78.69000000000000,3
Cotopaxi,488716,Salcedo,67100,4357,84,-1.050000000000000,-78.58333300000000,3
Cotopaxi,488716,Saquisilí,31426,1119,9,-0.8300000000000000,-78.67000000000000,3
Cotopaxi,488716,Sigchos,23277,651,8,-0.7000000000000000,-78.88333299999999,3
El Oro,715751,Arenillas,33473,1351,10,-3.550000000000000,-80.06000000000000,3
El Oro,715751,Atahualpa,6436,588,4,-2.900000000000000,-78.93333300000000,3
El Oro,715751,Balsas,9233,604,2,-3.762600000000000,-79.82530000000000,3
El Oro,715751,Chilla,2379,78,1,-3.450000000000000,-79.58000000000000,3
El Oro,715751,El Guabo,63645,1624,18,-3.238800000000000,-79.82920000000000,3
El Oro,715751,Huaquillas,60440,2069,16,-3.481380000000000,-80.24320700000000,3
El Oro,715751,Las Lajas,4963,249,2,-3.785000000000000,-80.06166700000000,3
El Oro,715751,Machala,289141,25710,252,-3.266667000000000,-79.96666700000000,3
El Oro,715751,Marcabelí,6259,448,5,-3.786000000000001,-79.89780000000000,3
El Oro,715751,Pasaje,87723,4445,41,-3.326900000000000,-79.80490000000000,3
El Oro,715751,Piñas,30206,3484,34,-3.666667000000000,-79.65000000000001,3
El Oro,715751,Portovelo,14028,1569,8,-3.720000000000000,-79.62000000000000,3
El Oro,715751,Santa Rosa,82171,4909,37,-3.452222000000000,-79.96166700000001,3
El Oro,715751,Zaruma,25654,2015,20,-3.433333000000000,-79.59999999999999,3
Esmeraldas,591083,Atacames,55495,1201,20,0.8666670000000000,-79.83333300000000,3
Esmeraldas,591083,Eloy Alfaro,45629,554,3,1.250000000000000,-79,3
Esmeraldas,591083,Esmeraldas,218727,7589,74,1.050000000000000,-79.20000000000000,3
Esmeraldas,591083,Muisne,31106,326,3,0.6067000000000000,-80.01830000000000,3
Esmeraldas,591083,Quinindé,145879,2625,19,0.3300000000000000,-79.48000000000000,3
Esmeraldas,591083,Rioverde,31475,534,5,1.060200000000000,-79.40440000000000,3
Esmeraldas,591083,San Lorenzo,62772,1160,7,1.265800000000000,-78.84139999999999,3
Galápagos,33042,Isabela,3073,465,1,-0.4724000000000000,-90.68110000000000,3
Galápagos,33042,San Cristóbal,9667,927,28,-0.7999999999999999,-89.40000000000001,3
Galápagos,33042,Santa Cruz,20302,1679,30,-0.6333330000000000,-90.36666700000001,3
Guayas,4387434,Alfredo Baquerizo Moreno,32110,275,4,-1.916667000000000,-79.51666700000000,3
Guayas,4387434,Balao,26348,448,1,-2.910000000000000,-79.81000000000000,3
Guayas,4387434,Balzar,60260,1017,6,-1.360000000000000,-79.90000000000001,3
Guayas,4387434,Colimes,26169,354,2,-1.550000000000000,-80.01666700000000,3
Guayas,4387434,Coronel Marcelino Maridueña,13132,328,6,-2.200000000000000,-79.42000000000000,3
Guayas,4387434,Daule,173684,3438,47,-1.866667000000000,-79.98333300000000,3
Guayas,4387434,Durán,315724,6493,69,-2.166667000000000,-79.83333300000000,3
Guayas,4387434,El Triunfo,59636,1231,55,-2.330000000000000,-79.40000000000001,3
Guayas,4387434,Empalme,86073,1822,13,-1.046111000000000,-79.63361100000000,3
Guayas,4387434,General Antonio Elizalde,13156,680,0,-2.200000000000000,-79.17000000000000,3
Guayas,4387434,Guayaquil,2723665,99797,1606,-2.183333000000000,-79.88333299999999,3
Guayas,4387434,Isidro Ayora,14582,193,5,-1.883333000000000,-80.16666700000000,3
Guayas,4387434,Lomas de Sargentillo,24220,213,0,-1.883333000000000,-80.08333300000000,3
Guayas,4387434,Milagro,199835,6568,57,-2.126944000000000,-79.59916699999999,3
Guayas,4387434,Naranjal,95052,1994,28,-2.672800000000000,-79.61499999999999,3
Guayas,4387434,Naranjito,43862,807,6,-2.173000000000000,-79.46710000000000,3
Guayas,4387434,Nobol,26444,194,2,-1.916671000000000,-80.01153900000000,3
Guayas,4387434,Palestina,18451,224,2,-1.626300000000000,-79.97700000000000,3
Guayas,4387434,Pedro Carbo,51802,1228,34,-1.833333000000000,-80.23333300000000,3
Guayas,4387434,Playas,59628,772,2,-2.623330000000000,-80.38750000000000,3
Guayas,4387434,Salitre,65765,1479,23,-1.829444000000000,-79.81555600000000,3
Guayas,4387434,Samborondón,102404,3309,43,-2.183333000000000,-79.88333299999999,3
Guayas,4387434,San Jacinto De Yaguachi,78204,926,14,-2.120000000000000,-79.69000000000000,3
Guayas,4387434,Santa Lucía,45004,292,2,-1.713889000000000,-79.98500000000000,3
Guayas,4387434,Simón Bolivar,32224,264,2,-2.156667000000000,-79.88750000000000,3
Imbabura,476257,Antonio Ante,54311,3187,66,0.3200000000000000,-78.20999999999999,3
Imbabura,476257,Cotacachi,44203,2507,44,0.3000000000000000,-78.26666700000000,3
Imbabura,476257,Ibarra,221149,16457,1219,0.3626780000000000,-78.13066700000000,3
Imbabura,476257,Otavalo,125785,5529,176,0.2333330000000000,-78.26666700000000,3
Imbabura,476257,Pimampiro,13269,687,17,0.4000000000000000,-77.97000000000000,3
Imbabura,476257,San Miguel de Urcuquí,17540,871,15,0.5200000000000000,-78.20000000000000,3
Loja,521154,Calvas,29565,1327,11,-4.320000000000000,-79.56000000000000,3
Loja,521154,Catamayo,35961,1488,27,-3.980000000000000,-79.34999999999999,3
Loja,521154,Celica,16160,456,12,-4.102500000000000,-79.95444400000000,3
Loja,521154,Chaguarpamba,6620,164,4,-3.850000000000000,-79.65000000000001,3
Loja,521154,Espíndola,14209,646,7,-4.583056000000000,-79.42694400000001,3
Loja,521154,Gonzanamá,10953,514,30,-4.231389000000000,-79.43527800000000,3
Loja,521154,Loja,274112,22540,673,-3.983333000000001,-79.20000000000000,3
Loja,521154,Macará,20269,1918,17,-4.383333000000000,-79.95000000000000,3
Loja,521154,Olmedo,4220,147,1,-3.934000000000000,-79.64800000000000,3
Loja,521154,Paltas,23471,1501,23,-4.050000000000002,-79.65000000000001,3
Loja,521154,Pindal,10540,238,2,-4.116100000000000,-80.10760000000001,3
Loja,521154,Puyango,15925,456,6,-3.870000000000000,-80.09000000000000,3
Loja,521154,Quilanga,4197,264,13,-4.298000000000000,-79.39860000000000,3
Loja,521154,Saraguro,33506,1049,26,-3.625300000000000,-79.24110000000000,3
Loja,521154,Sozoranga,7121,210,8,-4.327778000000000,-79.78972200000000,3
Loja,521154,Zapotillo,14325,410,4,-4.386360000000002,-80.24360000000000,3
Los Ríos,921763,Baba,43429,461,1,-1.784167000000000,-79.67666699999999,3
Los Ríos,921763,Babahoyo,175281,4980,15,-1.800000000000000,-79.53333300000000,3
Los Ríos,921763,Buena Fe,83654,1040,4,-0.8985719999999999,-79.48891600000000,3
Los Ríos,921763,Mocache,43316,205,0,-1.183850000000000,-79.50552999999999,3
Los Ríos,921763,Montalvo,28720,686,4,-1.793800000000000,-79.28570000000001,3
Los Ríos,921763,Palenque,23638,469,2,-1.432800000000000,-79.74950000000000,3
Los Ríos,921763,Puebloviejo,44725,505,4,-1.550000000000000,-79.53388900000000,3
Los Ríos,921763,Quevedo,213842,3562,25,-1.033333000000000,-79.45000000000000,3
Los Ríos,921763,Quinsaloma,20428,471,0,-1.206200000000000,-79.31450000000000,3
Los Ríos,921763,Urdaneta,32618,709,0,-1.570556000000000,-79.47111099999999,3
Los Ríos,921763,Valencia,54637,805,5,-0.9525000000000000,-79.35310000000000,3
Los Ríos,921763,Ventanas,75146,1864,15,-1.450000000000000,-79.47000000000000,3
Los Ríos,921763,Vinces,82329,1488,4,-1.558333000000000,-79.75000000000000,3
Manabí,1562079,Bolívar,45493,1242,7,-0.8419440000000000,-80.16194400000001,3
Manabí,1562079,Chone,131002,6029,67,-0.6833330000000000,-80.09999999999999,3
Manabí,1562079,El Carmen,111344,1809,26,-1.314700000000000,-80.01690000000001,3
Manabí,1562079,Flavio Alfaro,23822,592,15,-0.4054000000000000,-79.90580000000000,3
Manabí,1562079,Jama,26116,430,1,-0.2014000000000000,-80.26590000000000,3
Manabí,1562079,Jaramijó,28439,375,6,-0.9487300000000000,-80.63630000000001,3
Manabí,1562079,Jipijapa,74645,3265,39,-1.333330000000000,-80.58329999999999,3
Manabí,1562079,Junín,18820,757,7,-0.9291600000000000,-80.20569000000000,3
Manabí,1562079,Manta,264281,7780,119,-0.9500220000000000,-80.71620000000000,3
Manabí,1562079,Montecristi,107785,1405,14,-1.033330000000000,-80.65000000000001,3
Manabí,1562079,Olmedo,10194,653,2,-1.396111000000000,-80.20611100000001,3
Manabí,1562079,Paján,37093,915,6,-1.570000000000000,-80.42000000000000,3
Manabí,1562079,Pedernales,63441,1034,11,0.07010000000000001,-80.05360000000000,3
Manabí,1562079,Pichincha,29599,832,4,-1.047300000000000,-79.81860000000000,3
Manabí,1562079,Portoviejo,321800,17236,127,-1.056181000000000,-80.45521700000000,3
Manabí,1562079,Puerto López,24688,935,4,-1.566667000000000,-80.81666700000000,3
Manabí,1562079,Rocafuerte,37312,2020,12,-0.9200000000000000,-80.45999999999999,3
Manabí,1562079,San Vicente,24799,775,15,-0.5892999999999999,-80.40880000000000,3
Manabí,1562079,Santa Ana,48152,1917,22,-1.206900000000000,-80.37090000000001,3
Manabí,1562079,Sucre,62443,2503,19,-0.6000000000000000,-80.41666700000000,3
Manabí,1562079,Tosagua,42297,1045,3,-0.7800000000000000,-80.26000000000001,3
Manabí,1562079,Veinticuatro de Mayo,28514,1349,9,-1.278889000000000,-80.42000000000000,3
Morona Santiago,196535,Gualaquiza,19555,1643,17,-3.380000000000000,-78.58000000000000,3
Morona Santiago,196535,Huamboya,12382,258,0,-1.785000000000000,-78.23194400000000,3
Morona Santiago,196535,Limón Indanza,10349,748,2,-2.966250000000000,-78.43052800000000,3
Morona Santiago,196535,Logroño,7643,221,1,-2.624800000000000,-78.18960000000000,3
Morona Santiago,196535,Morona,58281,4016,34,-2.300000000000000,-78.11666700000001,3
Morona Santiago,196535,Pablo Sexto,2897,149,0,-1.803056000000000,-77.92111100000000,3
Morona Santiago,196535,Palora,7719,677,3,-1.700000000000000,-77.94000000000000,3
Morona Santiago,196535,San Juan Bosco,4985,226,0,-3.092300000000000,-78.51320000000000,3
Morona Santiago,196535,Santiago,11087,539,5,-3.429800000000000,-78.56560000000000,3
Morona Santiago,196535,Sucúa,23823,1352,19,-2.460000000000000,-78.17000000000000,3
Morona Santiago,196535,Taisha,26773,443,6,-2.339950000000000,-77.45808000000000,3
Morona Santiago,196535,Tiwintza,11041,182,2,-2.917670000000000,-77.80170000000000,3
Napo,133705,Archidona,33068,836,19,-0.9166670000000000,-77.78333300000000,3
Napo,133705,Carlos Julio Arosemena Tola,4466,145,1,-1.166667000000000,-77.84999999999999,3
Napo,133705,El Chaco,10142,796,4,-0.3402780000000000,-77.80888899999999,3
Napo,133705,Quijos,6847,758,12,-0.4636110000000000,-77.89277800000001,3
Napo,133705,Tena,79182,4227,31,-0.9890000000000000,-77.81590000000000,3
Orellana,161338,Aguarico,3629,868,2,-0.9211110000000000,-75.39916700000001,3
Orellana,161338,La Joya de los Sachas,39352,1054,14,-0.3000000000000000,-76.84999999999999,3
Orellana,161338,Loreto,24579,301,11,-0.6904000000000000,-77.30830000000000,3
Orellana,161338,Orellana,93778,3575,19,-0.4666670000000000,-76.96666700000000,3
Pastaza,114202,Arajuno,8128,215,3,-1.234370000000000,-77.68750000000000,3
Pastaza,114202,Mera,17547,1007,6,-1.460000000000000,-78.09000000000000,3
Pastaza,114202,Pastaza,84377,3882,74,-1.066667000000000,-78.00111099999999,3
Pastaza,114202,Santa Clara,4150,193,3,-1.267100000000000,-77.88820000000000,3
Pichincha,3228233,Cayambe,107660,4145,338,0.04388900000000000,-78.15610000000000,3
Pichincha,3228233,Mejía,108167,5990,175,-0.5101000000000000,-78.56980000000000,3
Pichincha,3228233,Pedro Moncayo,43281,1138,71,0.04369700000000000,-78.34923999999999,3
Pichincha,3228233,Pedro Vicente Maldonado,17171,605,9,0.1666670000000000,-79,3
Pichincha,3228233,Puerto Quito,24911,829,14,0.1170000000000000,-79.26400000000000,3
Pichincha,3228233,Quito,2781641,294818,16682,-0.2186110000000000,-78.50972200000000,3
Pichincha,3228233,Rumiñahui,115433,10541,754,-0.3345000000000000,-78.44750000000001,3
Pichincha,3228233,San Miguel de Los Bancos,29969,1021,5,0.02300000000000000,-78.89200000000000,3
Santa Elena,401178,La Libertad,117767,2240,21,-2.233333000000000,-80.90000000000001,3
Santa Elena,401178,Salinas,94590,1575,20,-2.216667000000000,-80.95000000000000,3
Santa Elena,401178,Santa Elena,188821,2691,17,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,511151,La Concordia,52571,1958,5,0.002300000000000000,-79.38460000000001,3
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,14764,82,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,230503,Cascales,15882,394,7,-0.06750000000000000,-77.21694400000000,3
