provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,semana
Guayas,4387434,Lomas de Sargentillo,24220,0,0,-1.883333000000000,-80.08333300000000,11
Guayas,4387434,Milagro,199835,1,1,-2.126944000000000,-79.59916699999999,11
Guayas,4387434,Naranjal,95052,0,0,-2.672800000000000,-79.61499999999999,11
Guayas,4387434,Naranjito,43862,0,0,-2.173000000000000,-79.46710000000000,11
Guayas,4387434,Nobol,26444,0,0,-1.916671000000000,-80.01153900000000,11
Guayas,4387434,Palestina,18451,0,0,-1.626300000000000,-79.97700000000000,11
Guayas,4387434,Pedro Carbo,51802,0,0,-1.833333000000000,-80.23333300000000,11
Guayas,4387434,Playas,59628,0,0,-2.623330000000000,-80.38750000000000,11
Guayas,4387434,Salitre,65765,0,0,-1.829444000000000,-79.81555600000000,11
Guayas,4387434,Samborondón,102404,3,3,-2.183333000000000,-79.88333299999999,11
Guayas,4387434,San Jacinto De Yaguachi,78204,0,0,-2.120000000000000,-79.69000000000000,11
Guayas,4387434,Santa Lucía,45004,0,0,-1.713889000000000,-79.98500000000000,11
Guayas,4387434,Simón Bolivar,32224,0,0,-2.156667000000000,-79.88750000000000,11
Imbabura,476257,Antonio Ante,54311,0,0,0.3200000000000000,-78.20999999999999,11
Imbabura,476257,Cotacachi,44203,0,0,0.3000000000000000,-78.26666700000000,11
Imbabura,476257,Ibarra,221149,0,0,0.3626780000000000,-78.13066700000000,11
Imbabura,476257,Otavalo,125785,0,0,0.2333330000000000,-78.26666700000000,11
Imbabura,476257,Pimampiro,13269,0,0,0.4000000000000000,-77.97000000000000,11
Imbabura,476257,San Miguel de Urcuquí,17540,0,0,0.5200000000000000,-78.20000000000000,11
Loja,521154,Calvas,29565,0,0,-4.320000000000000,-79.56000000000000,11
Loja,521154,Catamayo,35961,0,0,-3.980000000000000,-79.34999999999999,11
Loja,521154,Celica,16160,0,0,-4.102500000000000,-79.95444400000000,11
Loja,521154,Chaguarpamba,6620,0,0,-3.850000000000000,-79.65000000000001,11
Loja,521154,Espíndola,14209,0,0,-4.583056000000000,-79.42694400000001,11
Loja,521154,Gonzanamá,10953,0,0,-4.231389000000000,-79.43527800000000,11
Loja,521154,Loja,274112,0,0,-3.983333000000001,-79.20000000000000,11
Loja,521154,Macará,20269,0,0,-4.383333000000000,-79.95000000000000,11
Loja,521154,Olmedo,4220,0,0,-3.934000000000000,-79.64800000000000,11
Loja,521154,Paltas,23471,0,0,-4.050000000000002,-79.65000000000001,11
Loja,521154,Pindal,10540,0,0,-4.116100000000000,-80.10760000000001,11
Loja,521154,Puyango,15925,0,0,-3.870000000000000,-80.09000000000000,11
Loja,521154,Quilanga,4197,0,0,-4.298000000000000,-79.39860000000000,11
Loja,521154,Saraguro,33506,0,0,-3.625300000000000,-79.24110000000000,11
Loja,521154,Sozoranga,7121,0,0,-4.327778000000000,-79.78972200000000,11
Loja,521154,Zapotillo,14325,0,0,-4.386360000000002,-80.24360000000000,11
Los Ríos,921763,Baba,43429,0,0,-1.784167000000000,-79.67666699999999,11
Los Ríos,921763,Babahoyo,175281,9,9,-1.800000000000000,-79.53333300000000,11
Los Ríos,921763,Buena Fe,83654,0,0,-0.8985719999999999,-79.48891600000000,11
Los Ríos,921763,Mocache,43316,0,0,-1.183850000000000,-79.50552999999999,11
Los Ríos,921763,Montalvo,28720,0,0,-1.793800000000000,-79.28570000000001,11
Los Ríos,921763,Palenque,23638,0,0,-1.432800000000000,-79.74950000000000,11
Los Ríos,921763,Puebloviejo,44725,0,0,-1.550000000000000,-79.53388900000000,11
