provincia,poblacion,lat,lng,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021
Imbabura,476257,0.3626780000000000,-78.13066700000000,214,215,214,215,217,217,217,217,217,217,217,217,220,221,221,222,222,222,222,222,224,224,228,228,228,228,229,229,231,231,231,232,232,232,232,233,235,236,236,244,245,245,245,245,245,246,246,246,246,247,247,247,247,247,251,251,253,253,258,258,258,263,264,264,264,264,264,268,271,271,271,271,272,272,274,275,275,275,275,275,275,275,277,278,279,280,280,280,280,285,287,290,290,290,290,291,291,291,292,298,298,298,298,298,309,309,309,310,310,310,310,322,322,326,327
Loja,521154,-3.983333000000000,-79.20000000000000,246,246,246,246,246,246,247,247,247,247,247,247,247,247,247,247,247,247,247,248,249,249,252,255,255,255,256,258,260,261,261,261,263,266,267,271,272,273,273,275,275,276,278,278,278,278,280,280,280,281,282,284,284,287,288,289,289,291,291,291,291,296,300,301,302,303,304,304,311,312,314,316,319,319,322,324,327,329,330,332,335,340,342,343,345,346,347,350,352,364,364,367,370,372,374,375,376,388,392,395,395,395,395,401,412,414,417,419,419,429,429,444,450,452,453
Los Ríos,921763,-1.800000000000000,-79.53333300000000,361,361,361,361,362,362,362,362,362,362,363,363,363,363,363,363,363,363,363,363,363,364,365,365,365,365,365,365,365,365,365,365,365,368,368,368,368,368,368,370,370,373,374,375,375,375,375,375,376,377,378,378,378,378,379,379,379,380,380,381,381,392,393,393,393,393,393,393,393,393,394,394,395,395,395,396,396,396,396,396,396,396,398,401,401,401,407,407,408,409,410,411,412,412,412,412,413,415,415,417,417,420,420,421,422,423,426,428,428,428,430,431,431,431,431
Manabí,1562079,-1.056181000000000,-80.45521700000000,1301,1302,1301,1305,1307,1318,1320,1322,1325,1325,1328,1328,1339,1341,1348,1354,1355,1356,1357,1360,1372,1373,1374,1378,1381,1385,1390,1402,1409,1411,1412,1417,1418,1427,1429,1430,1438,1441,1441,1464,1474,1481,1484,1489,1495,1502,1511,1511,1524,1525,1528,1534,1542,1545,1549,1550,1557,1572,1573,1577,1580,1585,1593,1596,1608,1614,1616,1621,1627,1632,1652,1655,1659,1660,1661,1664,1668,1698,1699,1701,1703,1704,1715,1721,1732,1746,1767,1769,1777,1794,1800,1804,1807,1808,1816,1824,1840,1854,1856,1872,1878,1879,1888,1896,1915,1916,1928,1932,1932,1937,1952,1961,1984,2026,2030
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,39,39,39,39,39,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,44,45,45,45,45,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,49,49,49,50,50,50,50,50,50,50,52,52,53,53,53,53,53,53,53,53,53,54,54
Napo,133705,-0.9890000000000000,-77.81590000000000,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,83,83,84,84,84,84,84,84,84,84,84,84,84,84,85,85,86,86,87,87,87,87,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,94,94
Orellana,161338,-0.4666670000000000,-76.96666700000000,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66
Pastaza,114202,-1.066667000000000,-78.00111099999999,63,63,63,63,63,63,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,71,71,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,2027,2027,2027,2027,2029,2032,2032,2033,2033,2033,2033,2033,2034,2036,2044,2061,2061,2061,2063,2075,2082,2082,2083,2083,2083,2083,2087,2096,2104,2108,2108,2111,2114,2118,2119,2122,2122,2122,2123,2128,2128,2139,2140,2151,2151,2151,2153,2153,2157,2163,2174,2178,2180,2187,2215,2245,2260,2282,2296,2303,2311,2322,2337,2339,2341,2344,2344,2353,2362,2369,2387,2396,2396,2396,2399,2410,2416,2434,2440,2446,2447,2451,2456,2463,2466,2471,2474,2475,2483,2494,2497,2505,2506,2507,2513,2515,2526,2532,2543,2585,2587,2587,2610,2618,2637,2642,2677,2677,2677,2681,2682,2697,2703,2707,2711
Santa Elena,401178,-2.226700000000000,-80.85830000000000,385,385,385,386,386,386,386,388,389,389,389,389,389,389,389,392,392,392,392,393,404,405,406,406,406,407,407,407,407,407,407,407,407,407,408,408,408,408,408,408,408,409,409,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,376,379,376,379,381,384,384,384,385,385,385,385,385,386,387,393,393,393,398,398,401,401,401,401,401,401,402,404,407,412,414,414,414,416,417,417,418,419,419,421,428,429,429,432,432,432,432,432,435,435,444,448,448,448,450,450,454,460,461,465,465,465,468,477,479,480,480,480,482,485,487,488,490,492,493,495,495,500,500,501,502,506,508,517,520,521,522,522,523,524,528,530,532,534,534,534,535,535,539,553,553,553,553,553,562,564,565,570,570,570,574,574,577,583,586
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,98,98,98,98,98,99,100,100,100,100,100,101,101,101,101,101,101,101,102,102,106,106,106,107,107,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,109,109,109,109,109,109,109,110,110,110,110,110,110,111,111,111,112,113,113,113,115,115,115,119,119,119,119,119,119,120,120,123,123,123,123,126,126,126,127,127,127,129,129,130,130,132,132,132,132,132,133,133,136,137,137,137,140,140,143,146,146
Tungurahua,590600,-1.241667000000000,-78.61972200000000,341,341,341,341,345,350,350,350,350,350,350,350,351,351,351,353,353,353,357,369,373,373,373,380,380,386,387,387,389,389,390,401,401,402,403,404,404,404,404,407,408,409,414,423,423,423,423,423,425,430,430,430,430,430,431,431,432,432,432,432,432,432,432,432,432,432,432,432,432,433,433,433,433,433,434,434,436,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,438,438,438,439,439,439,440,440,440,440,440,440,440,440,441,443,443,443,443
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,60,60,60,60,61,62,63,63,63,63,63,63,64,65,66,66,66,66,66,66,66,66,67,67,67,68,68,68,68,68,69,69,70,70,70,70,70,70,70,70,71,71,71,75,76,77,78,79,81,81,81,81,81,81,81,84,84,86,86
