inec_provincia_id,provincia,poblacion,lat,lng,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47
01,Azuay,881394,-2.897414000000000,-79.00448100000000,1,5,7,11,11,16,24,29,33,33,36,41,47,50,66,69,70,71,72,93,95,102,117,124,137,145,150,158,163,170,183,195,199,199,200
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,0,1,2,6,7,13,18,19,22,24,29,31,32,34,41,43,47,50,51,53,53,54,56,58,60,61,63,63,63,64,65,66,66,66,66
04,Carchi,186869,0.8121800000000000,-77.71633000000000,0,0,2,3,3,6,8,8,9,11,12,13,16,17,18,19,20,20,29,30,33,42,53,61,72,82,89,91,96,98,101,104,104,106,106
03,Cañar,281396,-2.733333000000000,-78.83333300000000,1,2,4,8,9,10,22,25,29,30,33,37,37,45,45,46,48,48,51,56,59,59,61,62,62,66,69,71,72,77,81,83,84,85,86
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,2,15,24,27,52,66,87,100,109,117,126,140,151,160,170,185,203,221,228,231,242,262,270,281,290,292,295,302,303,309,315,318,329,329
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,1,1,7,11,13,25,36,38,46,54,61,68,103,116,130,139,152,162,168,173,182,194,203,206,210,217,221,233,240,271,277,281,283,288,290
07,El Oro,715751,-3.266667000000000,-79.96666700000000,4,13,27,51,59,106,114,145,164,183,196,221,240,248,275,305,312,325,334,340,347,356,364,365,382,385,390,417,420,437,445,466,494,502,505
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,0,7,7,12,28,43,56,71,80,95,102,129,138,145,161,169,173,186,190,193,196,200,201,203,205,206,207,207,207,216,216,218,221,222
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,37,126,168,208,245,683,1059,1226,1362,1405,1468,1493,1542,1575,1624,1637,1643,1651,1657,1664,1666,1670,1681,1691,1697,1705,1713,1718,1722,1728,1734,1737,1743,1751,1753
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,1,1,3,5,8,9,11,11,12,14,14,19,29,36,42,47,55,61,72,76,85,87,94,96,106,108,118,125,132,159,163,170,172,175,177
11,Loja,521154,-3.983333000000000,-79.20000000000000,0,0,2,5,7,16,14,19,20,21,28,35,38,44,47,55,59,65,87,109,120,145,159,174,185,188,195,203,206,210,221,222,230,233,238
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,5,10,13,18,19,59,76,151,180,195,215,239,251,252,274,297,314,314,316,319,321,321,323,324,330,331,337,337,338,339,341,342,343,345,345
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,1,2,29,42,50,206,252,337,375,434,487,526,560,582,639,680,731,772,800,815,827,866,882,898,908,920,931,961,979,989,1007,1025,1067,1140,1164
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,0,0,0,0,0,1,1,1,2,3,6,8,9,10,11,13,13,13,14,16,17,18,19,19,19,20,21,21,22,22,22,22,22,22,22
15,Napo,133705,-0.9890000000000000,-77.81590000000000,0,0,0,1,2,3,3,7,10,15,22,30,30,31,37,42,48,48,49,51,53,56,62,62,64,67,69,70,73,74,74,74,74,74,75
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,0,0,0,0,0,1,1,2,4,4,7,8,15,18,20,27,30,32,34,34,34,37,38,38,46,49,51,52,53,53,53,53,53,53,53
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,0,0,0,2,2,3,4,5,5,5,6,7,15,21,28,33,36,39,44,44,45,46,48,48,49,50,52,57,58,59,60,60,60,60,60
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,4,6,26,43,54,91,105,215,256,304,328,391,448,484,549,583,636,672,729,772,803,884,920,1026,1248,1328,1417,1592,1680,1710,1752,1789,1822,1857,1871
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,2,4,5,5,5,164,191,245,277,281,286,305,318,325,326,327,328,329,331,331,334,339,352,355,359,361,365,368,368,368,368,368,368,368,370
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,0,2,8,13,15,35,39,52,63,74,83,95,109,117,150,169,206,225,249,260,288,296,324,328,334,343,345,348,348,351,359,361,362,365,366
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,1,1,1,1,1,2,3,3,3,5,8,10,14,17,21,25,25,39,50,57,68,71,77,87,88,89,90,90,91,91,92,92,93,94,95
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,0,3,5,8,9,32,34,52,60,68,77,81,87,101,111,132,157,168,171,172,177,188,217,233,234,239,244,263,263,266,271,276,278,282,282
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,0,0,1,1,1,2,2,2,4,5,6,9,13,16,21,27,28,34,34,38,38,40,42,43,44,46,47,51,52,52,53,53,53,53,53
