provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25
Azuay,881394,-2.897414000000000,-79.00448100000000,4,2,21,18,13,17,3,5,11,5,3,14,6,11,3,14,33,28,35,11,7,4,4,11,9
Bolívar,209933,-1.605556000000000,-79.00305600000000,1,0,0,2,0,1,1,4,1,1,1,1,2,1,4,6,1,2,4,0,1,1,1,3,0
Carchi,186869,0.8121800000000000,-77.71633000000000,8,11,15,10,5,5,7,4,7,3,3,7,5,7,0,9,5,16,6,8,3,4,4,1,8
Cañar,281396,-2.733333000000000,-78.83333300000000,1,1,3,1,0,1,0,2,0,1,1,2,2,3,1,3,0,3,4,0,1,1,1,2,0
Chimborazo,524004,-1.674347000000000,-78.64829400000001,12,4,5,20,1,5,2,4,3,1,2,4,1,4,3,1,3,4,84,9,1,0,2,3,1
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,4,10,5,12,10,10,10,15,2,2,2,3,4,4,2,6,6,30,17,26,14,12,28,30,4
El Oro,715751,-3.266667000000000,-79.96666700000000,6,8,25,21,16,21,42,11,6,10,19,14,18,30,24,29,51,38,39,21,21,9,11,22,8
Esmeraldas,591083,1.050000000000000,-79.20000000000000,1,0,4,1,0,13,4,3,9,1,11,14,1,14,7,20,10,3,14,5,3,5,1,0,3
Galápagos,33042,-0.8000000000000000,-89.40000000000001,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,7,4,55,24,10,69,27,15,14,15,10,23,14,15,82,67,79,49,47,72,66,54,19,8,16
Imbabura,476257,0.3626780000000000,-78.13066700000000,3,5,6,3,5,9,2,11,6,8,3,5,10,8,12,17,13,20,15,15,4,5,6,3,7
Loja,521154,-3.983333000000000,-79.20000000000000,1,0,8,6,12,5,6,7,12,16,13,15,25,23,24,34,30,22,15,14,6,3,7,5,5
Los Ríos,921763,-1.800000000000000,-79.53333300000000,1,1,2,0,3,7,3,2,13,2,1,11,5,5,11,3,7,6,9,12,6,2,10,4,4
Manabí,1562079,-1.056181000000000,-80.45521700000000,24,30,23,34,29,54,39,39,41,45,42,66,41,70,54,98,133,87,61,75,41,35,30,15,17
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,1,0,1,1,2,0,0,0,4,2,0,1,1,1,3,1,0,1,1,1,0,1,0,0,1
Napo,133705,-0.9890000000000000,-77.81590000000000,0,1,1,0,0,0,0,4,0,3,3,0,1,0,1,2,2,1,3,3,1,2,0,1,0
Orellana,161338,-0.4666670000000000,-76.96666700000000,0,0,2,1,1,1,0,1,0,2,1,0,1,2,0,1,1,2,10,0,4,8,1,1,3
Pastaza,114202,-1.066667000000000,-78.00111099999999,1,1,0,2,0,0,0,0,0,2,3,0,1,0,1,0,0,6,2,1,1,0,1,1,1
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,6,28,22,25,14,29,27,118,48,52,50,28,33,80,90,34,71,64,27,61,93,40,37,33,29
Santa Elena,401178,-2.226700000000000,-80.85830000000000,4,3,14,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,2,1,7
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,9,8,8,13,5,13,16,13,19,10,11,21,12,19,17,16,28,7,12,8,23,12,6,8,3
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,2,1,6,1,0,0,0,1,1,3,6,4,4,5,5,9,4,9,6,2,4,1,1,0,0
Tungurahua,590600,-1.241667000000000,-78.61972200000000,9,3,27,10,14,19,7,2,0,1,4,0,0,2,1,3,1,16,4,4,1,17,20,66,45
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,0,0,0,2,0,0,1,1,3,3,1,2,1,6,5,5,2,2,2,1,1,2,2,2,0
