Fecha,Entierros,Esperado,Exceso
3/21/2020,58.00,37.60,20.4
3/22/2020,68.00,37.60,30.4
3/23/2020,82.00,37.60,44.4
3/24/2020,87.00,37.60,49.4
3/25/2020,100.00,37.60,62.4
3/26/2020,117.00,37.60,79.4
3/27/2020,145.00,37.60,107.4
3/28/2020,179.00,37.60,141.4
3/29/2020,185.00,37.60,147.4
3/30/2020,237.00,37.60,199.4
3/31/2020,255.00,37.60,217.4
4/1/2020,246.00,37.60,208.4
4/2/2020,279.00,37.60,241.4
4/3/2020,372.00,37.60,334.4
4/4/2020,419.00,37.60,381.4
4/5/2020,440.00,37.60,402.4
4/6/2020,502.00,37.60,464.4
4/7/2020,425.00,37.60,387.4
4/8/2020,492.00,37.60,454.4
4/9/2020,373.00,37.60,335.4
4/10/2020,412.00,37.60,374.4
4/11/2020,417.00,37.60,379.4
4/12/2020,332.00,37.60,294.4
4/13/2020,308.00,37.60,270.4
4/14/2020,280.00,37.60,242.4
4/15/2020,301.00,37.60,263.4
4/16/2020,219.00,37.60,181.4
4/17/2020,192.00,37.60,154.4
4/18/2020,159.00,37.60,121.4
4/19/2020,119.00,37.60,81.4
4/20/2020,150.00,37.60,112.4
4/21/2020,159.00,37.60,121.4
4/22/2020,144.00,37.60,106.4
4/23/2020,120.00,37.60,82.4
4/24/2020,130.00,37.60,92.4
4/25/2020,97.00,37.60,59.4
4/26/2020,106.00,37.60,68.4
4/27/2020,81.00,37.60,43.4
4/28/2020,113.00,37.60,75.4
4/29/2020,82.00,37.60,44.4
4/30/2020,73.00,37.60,35.4
5/1/2020,72.00,37.60,34.4
5/2/2020,80.00,37.60,42.4
5/3/2020,48.00,37.60,10.4
5/4/2020,71.00,37.60,33.4
5/5/2020,61.00,37.60,23.4
5/6/2020,61.00,37.60,23.4
5/7/2020,55.00,37.60,17.4
5/8/2020,55.00,37.60,17.4
5/9/2020,57.00,37.60,19.4
5/10/2020,38.00,37.60,0.4
5/11/2020,55.00,37.60,17.4
5/12/2020,65.00,37.60,27.4
5/13/2020,38.00,37.60,0.4
5/14/2020,56.00,37.60,18.4
5/15/2020,36.00,37.60,0
5/16/2020,40.00,37.60,2.4
5/17/2020,34.00,37.60,0
5/18/2020,30.00,37.60,0
5/19/2020,41.00,37.60,3.4
5/20/2020,32.00,37.60,0
5/21/2020,40.00,37.60,2.4
5/22/2020,40.00,37.60,2.4
5/23/2020,38.00,37.60,0.4
5/24/2020,38.00,37.60,0.4
5/25/2020,25.00,37.60,0
5/26/2020,38.00,37.60,0.4
5/27/2020,40.00,37.60,2.4
5/28/2020,31.00,37.60,0
5/29/2020,36.00,37.60,0
5/30/2020,38.00,37.60,0.4
5/31/2020,32.00,37.60,0
6/1/2020,32.00,37.60,0
6/2/2020,29.00,37.60,0
6/3/2020,34.00,37.60,0
6/4/2020,42.00,37.60,4.4
6/5/2020,24.00,37.60,0
6/6/2020,46.00,37.60,8.4
6/7/2020,27.00,37.60,0
6/8/2020,40.00,37.60,2.4
6/9/2020,51.00,37.60,13.4
6/10/2020,35.00,37.60,0
6/11/2020,45.00,37.60,7.4
6/12/2020,38.00,37.60,0.4
6/13/2020,35.00,37.60,0
6/14/2020,29.00,37.60,0
6/15/2020,28.00,37.60,0
6/16/2020,30.00,37.60,0
6/17/2020,31.00,37.60,0
6/18/2020,26.00,37.60,0
6/19/2020,35.00,37.60,0
6/20/2020,40.00,37.60,2.4
6/21/2020,20.00,37.60,0
6/22/2020,38.00,37.60,0.4
6/23/2020,45.00,37.60,7.4
6/24/2020,45.00,37.60,7.4
6/25/2020,31.00,37.60,0
6/26/2020,35.00,37.60,0
6/27/2020,30.00,37.60,0
6/28/2020,26.00,37.60,0
6/29/2020,38.00,37.60,0.4
6/30/2020,36.00,37.60,0
7/1/2020,36.00,37.60,0
7/2/2020,36.00,37.60,0
7/3/2020,44.00,37.60,6.4
7/4/2020,38.00,37.60,0.4
7/5/2020,40.00,37.60,2.4
7/6/2020,34.00,37.60,0
7/7/2020,31.00,37.60,0
7/8/2020,36.00,37.60,0
7/9/2020,29.00,37.60,0
7/10/2020,38.00,37.60,0.4
7/11/2020,30.00,37.60,0
7/12/2020,44.00,37.60,6.4
7/13/2020,53.00,37.60,15.4
7/14/2020,32.00,37.60,0
7/15/2020,41.00,37.60,3.4
7/16/2020,31.00,37.60,0
7/17/2020,24.00,37.60,0
7/18/2020,31.00,37.60,0
7/19/2020,37.00,37.60,0
7/20/2020,43.00,37.60,5.4
7/21/2020,27.00,37.60,0
7/22/2020,32.00,37.60,0
7/23/2020,32.00,37.60,0
7/24/2020,29.00,37.60,0
7/25/2020,36.00,37.60,0
7/26/2020,45.00,37.60,7.4
7/27/2020,25.00,37.60,0
7/28/2020,30.00,37.60,0
7/29/2020,28.00,37.60,0
7/30/2020,33.00,37.60,0
7/31/2020,37.00,37.60,0
8/1/2020,36.00,37.60,0
8/2/2020,31.00,37.60,0
8/3/2020,46.00,37.60,8.4
8/4/2020,44.00,37.60,6.4
8/5/2020,34.00,37.60,0
8/6/2020,34.00,37.60,0
8/7/2020,30.00,37.60,0
8/8/2020,41.00,37.60,3.4
8/9/2020,40.00,37.60,2.4
8/10/2020,32.00,37.60,0
8/11/2020,28.00,37.60,0
8/12/2020,29.00,37.60,0
8/13/2020,43.00,37.60,5.4
8/14/2020,24.00,37.60,0
8/15/2020,37.00,37.60,0
8/16/2020,35.00,37.60,0
8/17/2020,44.00,37.60,6.4
8/18/2020,36.00,37.60,0
8/19/2020,37.00,37.60,0
8/20/2020,27.00,37.60,0
8/21/2020,37.00,37.60,0
8/22/2020,44.00,37.60,6.4
8/23/2020,35.00,37.60,0
8/24/2020,33.00,37.60,0
8/25/2020,41.00,37.60,3.4
8/26/2020,30.00,37.60,0
8/27/2020,36.00,37.60,0
8/28/2020,24.00,37.60,0
8/29/2020,37.00,37.60,0
8/30/2020,37.00,37.60,0
8/31/2020,38.00,37.60,0.4
9/1/2020,25.00,37.60,0
9/2/2020,34.00,37.60,0
9/3/2020,35.00,37.60,0
9/4/2020,38.00,37.60,0.4
9/5/2020,32.00,37.60,0
9/6/2020,40.00,37.60,2.4
9/7/2020,40.00,37.60,2.4
9/8/2020,34.00,37.60,0
9/9/2020,28.00,37.60,0
