fecha,entierros,esperado,exceso
21/3/2020,58,"37,60","20,4"
22/3/2020,68,"37,60","30,4"
23/3/2020,82,"37,60","44,4"
24/3/2020,87,"37,60","49,4"
25/3/2020,100,"37,60","62,4"
26/3/2020,117,"37,60","79,4"
27/3/2020,145,"37,60","107,4"
28/3/2020,179,"37,60","141,4"
29/3/2020,185,"37,60","147,4"
30/3/2020,237,"37,60","199,4"
31/3/2020,255,"37,60","217,4"
1/4/2020,246,"37,60","208,4"
2/4/2020,279,"37,60","241,4"
3/4/2020,372,"37,60","334,4"
4/4/2020,419,"37,60","381,4"
5/4/2020,440,"37,60","402,4"
6/4/2020,502,"37,60","464,4"
7/4/2020,425,"37,60","387,4"
8/4/2020,492,"37,60","454,4"
9/4/2020,373,"37,60","335,4"
10/4/2020,412,"37,60","374,4"
11/4/2020,417,"37,60","379,4"
12/4/2020,332,"37,60","294,4"
13/4/2020,308,"37,60","270,4"
14/4/2020,280,"37,60","242,4"
15/4/2020,301,"37,60","263,4"
16/4/2020,219,"37,60","181,4"
17/4/2020,192,"37,60","154,4"
18/4/2020,159,"37,60","121,4"
19/4/2020,119,"37,60","81,4"
20/4/2020,150,"37,60","112,4"
21/4/2020,159,"37,60","121,4"
22/4/2020,144,"37,60","106,4"
23/4/2020,120,"37,60","82,4"
24/4/2020,130,"37,60","92,4"
25/4/2020,97,"37,60","59,4"
26/4/2020,106,"37,60","68,4"
27/4/2020,81,"37,60","43,4"
28/4/2020,113,"37,60","75,4"
29/4/2020,82,"37,60","44,4"
30/4/2020,73,"37,60","35,4"
1/5/2020,72,"37,60","34,4"
2/5/2020,80,"37,60","42,4"
3/5/2020,48,"37,60","10,4"
4/5/2020,71,"37,60","33,4"
5/5/2020,61,"37,60","23,4"
6/5/2020,61,"37,60","23,4"
7/5/2020,55,"37,60","17,4"
8/5/2020,55,"37,60","17,4"
9/5/2020,57,"37,60","19,4"
10/5/2020,38,"37,60","0,4"
11/5/2020,55,"37,60","17,4"
12/5/2020,65,"37,60","27,4"
13/5/2020,38,"37,60","0,4"
14/5/2020,56,"37,60","18,4"
