provincia,poblacion,total,acumuladas,lat,lng,semana
Sucumbíos,230503,14,50,0.08472200000000002,-76.88277800000000,4
Tungurahua,590600,57,220,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,120416,2,23,-4.120000000000000,-78.80000000000000,4
Azuay,881394,75,382,-2.897414000000000,-79.00448100000000,5
Bolívar,209933,16,71,-1.605556000000000,-79.00305600000000,5
Carchi,186869,10,59,0.8121800000000000,-77.71633000000000,5
Cañar,281396,23,113,-2.733333000000000,-78.83333300000000,5
Chimborazo,524004,39,230,-1.674347000000000,-78.64829400000001,5
Cotopaxi,488716,34,153,-0.9333330000000000,-78.61666700000001,5
El Oro,715751,56,315,-3.266667000000000,-79.96666700000000,5
Esmeraldas,591083,31,147,1.050000000000000,-79.20000000000000,5
Galápagos,33042,2,5,-0.7999999999999999,-89.40000000000001,5
Guayas,4387434,367,2132,-2.183333000000000,-79.88333299999999,5
Imbabura,476257,42,201,0.3626780000000000,-78.13066700000000,5
Loja,521154,53,231,-3.983333000000000,-79.20000000000000,5
Los Ríos,921763,54,316,-1.800000000000000,-79.53333300000000,5
Manabí,1562079,126,676,-1.056181000000000,-80.45521700000000,5
Morona Santiago,196535,12,56,-2.300000000000000,-78.11666700000001,5
Napo,133705,5,36,-0.9890000000000000,-77.81590000000000,5
Orellana,161338,3,42,-0.4666670000000000,-76.96666700000000,5
Pastaza,114202,5,34,-1.066667000000000,-78.00111099999999,5
Pichincha,3228233,260,1319,-0.2186110000000000,-78.50972200000000,5
Santa Elena,401178,31,127,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,511151,46,226,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,230503,12,62,0.08472200000000002,-76.88277800000000,5
Tungurahua,590600,47,267,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,120416,4,27,-4.120000000000000,-78.80000000000000,5
Azuay,881394,69,451,-2.897414000000000,-79.00448100000000,6
Bolívar,209933,20,91,-1.605556000000000,-79.00305600000000,6
Carchi,186869,14,73,0.8121800000000000,-77.71633000000000,6
Cañar,281396,13,126,-2.733333000000000,-78.83333300000000,6
Chimborazo,524004,50,280,-1.674347000000000,-78.64829400000001,6
Cotopaxi,488716,44,197,-0.9333330000000000,-78.61666700000001,6
El Oro,715751,62,377,-3.266667000000000,-79.96666700000000,6
Esmeraldas,591083,43,190,1.050000000000000,-79.20000000000000,6
Galápagos,33042,2,7,-0.7999999999999999,-89.40000000000001,6
Guayas,4387434,395,2527,-2.183333000000000,-79.88333299999999,6
Imbabura,476257,40,241,0.3626780000000000,-78.13066700000000,6
Loja,521154,35,266,-3.983333000000000,-79.20000000000000,6
Los Ríos,921763,61,377,-1.800000000000000,-79.53333300000000,6
Manabí,1562079,136,812,-1.056181000000000,-80.45521700000000,6
Morona Santiago,196535,10,66,-2.300000000000000,-78.11666700000001,6
Napo,133705,8,44,-0.9890000000000000,-77.81590000000000,6
Orellana,161338,7,49,-0.4666670000000000,-76.96666700000000,6
Pastaza,114202,5,39,-1.066667000000000,-78.00111099999999,6
Pichincha,3228233,265,1584,-0.2186110000000000,-78.50972200000000,6
Santa Elena,401178,13,140,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,511151,43,269,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,230503,10,72,0.08472200000000002,-76.88277800000000,6
Tungurahua,590600,63,330,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,120416,5,32,-4.120000000000000,-78.80000000000000,6
Azuay,881394,66,517,-2.897414000000000,-79.00448100000000,7
Bolívar,209933,21,112,-1.605556000000000,-79.00305600000000,7
Carchi,186869,22,95,0.8121800000000000,-77.71633000000000,7
Cañar,281396,17,143,-2.733333000000000,-78.83333300000000,7
Chimborazo,524004,40,320,-1.674347000000000,-78.64829400000001,7
Cotopaxi,488716,37,234,-0.9333330000000000,-78.61666700000001,7
El Oro,715751,54,431,-3.266667000000000,-79.96666700000000,7
Esmeraldas,591083,39,229,1.050000000000000,-79.20000000000000,7
Galápagos,33042,0,7,-0.7999999999999999,-89.40000000000001,7
Guayas,4387434,434,2961,-2.183333000000000,-79.88333299999999,7
Imbabura,476257,37,278,0.3626780000000000,-78.13066700000000,7
Loja,521154,45,311,-3.983333000000000,-79.20000000000000,7
Los Ríos,921763,57,434,-1.800000000000000,-79.53333300000000,7
Manabí,1562079,125,937,-1.056181000000000,-80.45521700000000,7
Morona Santiago,196535,14,80,-2.300000000000000,-78.11666700000001,7
Napo,133705,5,49,-0.9890000000000000,-77.81590000000000,7
Orellana,161338,5,54,-0.4666670000000000,-76.96666700000000,7
Pastaza,114202,11,50,-1.066667000000000,-78.00111099999999,7
Pichincha,3228233,301,1885,-0.2186110000000000,-78.50972200000000,7
Santa Elena,401178,30,170,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,511151,51,320,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,230503,19,91,0.08472200000000002,-76.88277800000000,7
Tungurahua,590600,56,386,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,120416,7,39,-4.120000000000000,-78.80000000000000,7
Azuay,881394,103,620,-2.897414000000000,-79.00448100000000,8
Bolívar,209933,15,127,-1.605556000000000,-79.00305600000000,8
Carchi,186869,9,104,0.8121800000000000,-77.71633000000000,8
Cañar,281396,23,166,-2.733333000000000,-78.83333300000000,8
Chimborazo,524004,45,365,-1.674347000000000,-78.64829400000001,8
Cotopaxi,488716,30,264,-0.9333330000000000,-78.61666700000001,8
El Oro,715751,49,480,-3.266667000000000,-79.96666700000000,8
Esmeraldas,591083,41,270,1.050000000000000,-79.20000000000000,8
Galápagos,33042,1,8,-0.7999999999999999,-89.40000000000001,8
Guayas,4387434,409,3370,-2.183333000000000,-79.88333299999999,8
Imbabura,476257,37,315,0.3626780000000000,-78.13066700000000,8
Loja,521154,37,348,-3.983333000000000,-79.20000000000000,8
Los Ríos,921763,65,499,-1.800000000000000,-79.53333300000000,8
Manabí,1562079,134,1071,-1.056181000000000,-80.45521700000000,8
Morona Santiago,196535,12,92,-2.300000000000000,-78.11666700000001,8
Napo,133705,7,56,-0.9890000000000000,-77.81590000000000,8
Orellana,161338,8,62,-0.4666670000000000,-76.96666700000000,8
Pastaza,114202,9,59,-1.066667000000000,-78.00111099999999,8
Pichincha,3228233,275,2160,-0.2186110000000000,-78.50972200000000,8
Santa Elena,401178,38,208,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,511151,44,364,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,230503,10,101,0.08472200000000002,-76.88277800000000,8
Tungurahua,590600,55,441,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,120416,7,46,-4.120000000000000,-78.80000000000000,8
Azuay,881394,77,697,-2.897414000000000,-79.00448100000000,9
Bolívar,209933,25,152,-1.605556000000000,-79.00305600000000,9
Carchi,186869,12,116,0.8121800000000000,-77.71633000000000,9
Cañar,281396,23,189,-2.733333000000000,-78.83333300000000,9
Chimborazo,524004,47,412,-1.674347000000000,-78.64829400000001,9
Cotopaxi,488716,46,310,-0.9333330000000000,-78.61666700000001,9
El Oro,715751,65,545,-3.266667000000000,-79.96666700000000,9
Esmeraldas,591083,26,296,1.050000000000000,-79.20000000000000,9
