provincia,poblacion,total,lat,lng,created_at
Morona Santiago,196535,1,-2.300000000000000,-78.11666700000001,19/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,19/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,19/04/2020
Pastaza,114202,2,-1.066667000000000,-78.00111099999999,19/04/2020
Pichincha,3228233,28,-0.2186110000000000,-78.50972200000000,19/04/2020
Santa Elena,401178,34,-2.226700000000000,-80.85830000000000,19/04/2020
Sto. Domingo Tsáchilas,511151,7,-0.2541670000000000,-79.17194400000000,19/04/2020
Sucumbíos,230503,5,0.08472200000000002,-76.88277800000000,19/04/2020
Tungurahua,590600,5,-1.241667000000000,-78.61972200000000,19/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,19/04/2020
Azuay,881394,12,-2.897414000000000,-79.00448100000000,20/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,20/04/2020
Carchi,186869,0,0.8121800000000000,-77.71633000000000,20/04/2020
Cañar,281396,5,-2.733333000000000,-78.83333300000000,20/04/2020
Chimborazo,524004,4,-1.674347000000000,-78.64829400000001,20/04/2020
Cotopaxi,488716,4,-0.9333330000000000,-78.61666700000001,20/04/2020
El Oro,715751,11,-3.266667000000000,-79.96666700000000,20/04/2020
Esmeraldas,591083,11,1.050000000000000,-79.20000000000000,20/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,20/04/2020
Guayas,4387434,222,-2.183333000000000,-79.88333299999999,20/04/2020
Imbabura,476257,4,0.3626780000000000,-78.13066700000000,20/04/2020
Loja,521154,6,-3.983333000000000,-79.20000000000000,20/04/2020
Los Ríos,921763,20,-1.800000000000000,-79.53333300000000,20/04/2020
Manabí,1562079,61,-1.056181000000000,-80.45521700000000,20/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,20/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,20/04/2020
Orellana,161338,3,-0.4666670000000000,-76.96666700000000,20/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,20/04/2020
Pichincha,3228233,54,-0.2186110000000000,-78.50972200000000,20/04/2020
Santa Elena,401178,18,-2.226700000000000,-80.85830000000000,20/04/2020
Sto. Domingo Tsáchilas,511151,12,-0.2541670000000000,-79.17194400000000,20/04/2020
Sucumbíos,230503,2,0.08472200000000002,-76.88277800000000,20/04/2020
Tungurahua,590600,10,-1.241667000000000,-78.61972200000000,20/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,20/04/2020
Azuay,881394,12,-2.897414000000000,-79.00448100000000,21/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,21/04/2020
Carchi,186869,5,0.8121800000000000,-77.71633000000000,21/04/2020
Cañar,281396,7,-2.733333000000000,-78.83333300000000,21/04/2020
Chimborazo,524004,9,-1.674347000000000,-78.64829400000001,21/04/2020
Cotopaxi,488716,5,-0.9333330000000000,-78.61666700000001,21/04/2020
El Oro,715751,19,-3.266667000000000,-79.96666700000000,21/04/2020
Esmeraldas,591083,8,1.050000000000000,-79.20000000000000,21/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,21/04/2020
Guayas,4387434,176,-2.183333000000000,-79.88333299999999,21/04/2020
Imbabura,476257,9,0.3626780000000000,-78.13066700000000,21/04/2020
Loja,521154,2,-3.983333000000000,-79.20000000000000,21/04/2020
Los Ríos,921763,15,-1.800000000000000,-79.53333300000000,21/04/2020
Manabí,1562079,52,-1.056181000000000,-80.45521700000000,21/04/2020
Morona Santiago,196535,2,-2.300000000000000,-78.11666700000001,21/04/2020
Napo,133705,2,-0.9890000000000000,-77.81590000000000,21/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,21/04/2020
Pastaza,114202,2,-1.066667000000000,-78.00111099999999,21/04/2020
Pichincha,3228233,40,-0.2186110000000000,-78.50972200000000,21/04/2020
Santa Elena,401178,20,-2.226700000000000,-80.85830000000000,21/04/2020
Sto. Domingo Tsáchilas,511151,11,-0.2541670000000000,-79.17194400000000,21/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,21/04/2020
Tungurahua,590600,14,-1.241667000000000,-78.61972200000000,21/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,21/04/2020
Azuay,881394,8,-2.897414000000000,-79.00448100000000,22/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,22/04/2020
Carchi,186869,3,0.8121800000000000,-77.71633000000000,22/04/2020
Cañar,281396,2,-2.733333000000000,-78.83333300000000,22/04/2020
Chimborazo,524004,7,-1.674347000000000,-78.64829400000001,22/04/2020
Cotopaxi,488716,6,-0.9333330000000000,-78.61666700000001,22/04/2020
El Oro,715751,12,-3.266667000000000,-79.96666700000000,22/04/2020
Esmeraldas,591083,6,1.050000000000000,-79.20000000000000,22/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,22/04/2020
Guayas,4387434,167,-2.183333000000000,-79.88333299999999,22/04/2020
Imbabura,476257,6,0.3626780000000000,-78.13066700000000,22/04/2020
Loja,521154,6,-3.983333000000000,-79.20000000000000,22/04/2020
Los Ríos,921763,17,-1.800000000000000,-79.53333300000000,22/04/2020
Manabí,1562079,42,-1.056181000000000,-80.45521700000000,22/04/2020
Morona Santiago,196535,2,-2.300000000000000,-78.11666700000001,22/04/2020
Napo,133705,2,-0.9890000000000000,-77.81590000000000,22/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,22/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,22/04/2020
Pichincha,3228233,42,-0.2186110000000000,-78.50972200000000,22/04/2020
Santa Elena,401178,18,-2.226700000000000,-80.85830000000000,22/04/2020
Sto. Domingo Tsáchilas,511151,3,-0.2541670000000000,-79.17194400000000,22/04/2020
Sucumbíos,230503,2,0.08472200000000002,-76.88277800000000,22/04/2020
Tungurahua,590600,5,-1.241667000000000,-78.61972200000000,22/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,22/04/2020
Azuay,881394,9,-2.897414000000000,-79.00448100000000,23/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,23/04/2020
Carchi,186869,2,0.8121800000000000,-77.71633000000000,23/04/2020
Cañar,281396,0,-2.733333000000000,-78.83333300000000,23/04/2020
Chimborazo,524004,7,-1.674347000000000,-78.64829400000001,23/04/2020
Cotopaxi,488716,2,-0.9333330000000000,-78.61666700000001,23/04/2020
El Oro,715751,12,-3.266667000000000,-79.96666700000000,23/04/2020
Esmeraldas,591083,3,1.050000000000000,-79.20000000000000,23/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,23/04/2020
Guayas,4387434,150,-2.183333000000000,-79.88333299999999,23/04/2020
Imbabura,476257,3,0.3626780000000000,-78.13066700000000,23/04/2020
Loja,521154,5,-3.983333000000000,-79.20000000000000,23/04/2020
Los Ríos,921763,17,-1.800000000000000,-79.53333300000000,23/04/2020
Manabí,1562079,32,-1.056181000000000,-80.45521700000000,23/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,23/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,23/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,23/04/2020
Pastaza,114202,1,-1.066667000000000,-78.00111099999999,23/04/2020
Pichincha,3228233,32,-0.2186110000000000,-78.50972200000000,23/04/2020
Santa Elena,401178,14,-2.226700000000000,-80.85830000000000,23/04/2020
Sto. Domingo Tsáchilas,511151,8,-0.2541670000000000,-79.17194400000000,23/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,23/04/2020
Tungurahua,590600,12,-1.241667000000000,-78.61972200000000,23/04/2020
