provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Galápagos,33042,Santa Cruz,20302,3,3,-0.6333330000000000,-90.36666700000001,1
Guayas,4387434,Alfredo Baquerizo Moreno,32110,10,10,-1.916667000000000,-79.51666700000000,1
Guayas,4387434,Balao,26348,10,10,-2.910000000000000,-79.81000000000000,1
Guayas,4387434,Balzar,60260,21,21,-1.360000000000000,-79.90000000000001,1
Guayas,4387434,Colimes,26169,9,9,-1.550000000000000,-80.01666700000000,1
Guayas,4387434,Coronel Marcelino Maridueña,13132,2,2,-2.200000000000000,-79.42000000000000,1
Guayas,4387434,Daule,173684,73,73,-1.866667000000000,-79.98333300000000,1
Guayas,4387434,Durán,315724,67,67,-2.166667000000000,-79.83333300000000,1
Guayas,4387434,El Triunfo,59636,20,20,-2.330000000000000,-79.40000000000001,1
Guayas,4387434,Empalme,86073,31,31,-1.046111000000000,-79.63361100000000,1
Guayas,4387434,General Antonio Elizalde,13156,8,8,-2.200000000000000,-79.17000000000000,1
Guayas,4387434,Guayaquil,2723665,2023,2023,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Isidro Ayora,14582,3,3,-1.883333000000000,-80.16666700000000,1
Guayas,4387434,Lomas de Sargentillo,24220,5,5,-1.883333000000000,-80.08333300000000,1
Guayas,4387434,Milagro,199835,169,169,-2.126944000000000,-79.59916699999999,1
Guayas,4387434,Naranjal,95052,27,27,-2.672800000000000,-79.61499999999999,1
Guayas,4387434,Naranjito,43862,19,19,-2.173000000000000,-79.46710000000000,1
Guayas,4387434,Nobol,26444,8,8,-1.916671000000000,-80.01153900000000,1
Guayas,4387434,Palestina,18451,6,6,-1.626300000000000,-79.97700000000000,1
Guayas,4387434,Pedro Carbo,51802,23,23,-1.833333000000000,-80.23333300000000,1
Guayas,4387434,Playas,59628,26,26,-2.623330000000000,-80.38750000000000,1
Guayas,4387434,Salitre,65765,24,24,-1.829444000000000,-79.81555600000000,1
Guayas,4387434,Samborondón,102404,41,41,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,San Jacinto De Yaguachi,78204,19,19,-2.120000000000000,-79.69000000000000,1
Guayas,4387434,Santa Lucía,45004,15,15,-1.713889000000000,-79.98500000000000,1
Guayas,4387434,Simón Bolivar,32224,5,5,-2.156667000000000,-79.88750000000000,1
Imbabura,476257,Antonio Ante,54311,19,19,0.3200000000000000,-78.20999999999999,1
Imbabura,476257,Cotacachi,44203,22,22,0.3000000000000000,-78.26666700000000,1
Imbabura,476257,Ibarra,221149,166,166,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Otavalo,125785,54,54,0.2333330000000000,-78.26666700000000,1
Imbabura,476257,Pimampiro,13269,8,8,0.4000000000000000,-77.97000000000000,1
Imbabura,476257,San Miguel de Urcuquí,17540,5,5,0.5200000000000000,-78.20000000000000,1
Loja,521154,Calvas,29565,19,19,-4.320000000000000,-79.56000000000000,1
Loja,521154,Catamayo,35961,16,16,-3.980000000000000,-79.34999999999999,1
Loja,521154,Celica,16160,3,3,-4.102500000000000,-79.95444400000000,1
Loja,521154,Chaguarpamba,6620,3,3,-3.850000000000000,-79.65000000000001,1
Loja,521154,Espíndola,14209,7,7,-4.583056000000000,-79.42694400000001,1
Loja,521154,Gonzanamá,10953,6,6,-4.231389000000000,-79.43527800000000,1
Loja,521154,Loja,274112,141,141,-3.983333000000001,-79.20000000000000,1
Loja,521154,Macará,20269,6,6,-4.383333000000000,-79.95000000000000,1
Loja,521154,Olmedo,4220,3,3,-3.934000000000000,-79.64800000000000,1
Loja,521154,Paltas,23471,14,14,-4.050000000000002,-79.65000000000001,1
Loja,521154,Pindal,10540,0,0,-4.116100000000000,-80.10760000000001,1
Loja,521154,Puyango,15925,7,7,-3.870000000000000,-80.09000000000000,1
Loja,521154,Quilanga,4197,2,2,-4.298000000000000,-79.39860000000000,1
Loja,521154,Saraguro,33506,17,17,-3.625300000000000,-79.24110000000000,1
Loja,521154,Sozoranga,7121,2,2,-4.327778000000000,-79.78972200000000,1
Loja,521154,Zapotillo,14325,4,4,-4.386360000000002,-80.24360000000000,1
Los Ríos,921763,Baba,43429,20,20,-1.784167000000000,-79.67666699999999,1
Los Ríos,921763,Babahoyo,175281,133,133,-1.800000000000000,-79.53333300000000,1
Los Ríos,921763,Buena Fe,83654,29,29,-0.8985719999999999,-79.48891600000000,1
Los Ríos,921763,Mocache,43316,4,4,-1.183850000000000,-79.50552999999999,1
Los Ríos,921763,Montalvo,28720,19,19,-1.793800000000000,-79.28570000000001,1
Los Ríos,921763,Palenque,23638,7,7,-1.432800000000000,-79.74950000000000,1
Los Ríos,921763,Puebloviejo,44725,17,17,-1.550000000000000,-79.53388900000000,1
Los Ríos,921763,Quevedo,213842,134,134,-1.033333000000000,-79.45000000000000,1
Los Ríos,921763,Quinsaloma,20428,4,4,-1.206200000000000,-79.31450000000000,1
Los Ríos,921763,Urdaneta,32618,13,13,-1.570556000000000,-79.47111099999999,1
Los Ríos,921763,Valencia,54637,11,11,-0.9525000000000000,-79.35310000000000,1
Los Ríos,921763,Ventanas,75146,23,23,-1.450000000000000,-79.47000000000000,1
Los Ríos,921763,Vinces,82329,27,27,-1.558333000000000,-79.75000000000000,1
Manabí,1562079,Bolívar,45493,11,11,-0.8419440000000000,-80.16194400000001,1
Manabí,1562079,Chone,131002,59,59,-0.6833330000000000,-80.09999999999999,1
Manabí,1562079,El Carmen,111344,41,41,-1.314700000000000,-80.01690000000001,1
Manabí,1562079,Flavio Alfaro,23822,10,10,-0.4054000000000000,-79.90580000000000,1
Manabí,1562079,Jama,26116,6,6,-0.2014000000000000,-80.26590000000000,1
Manabí,1562079,Jaramijó,28439,3,3,-0.9487300000000000,-80.63630000000001,1
Manabí,1562079,Jipijapa,74645,30,30,-1.333330000000000,-80.58329999999999,1
Manabí,1562079,Junín,18820,10,10,-0.9291600000000000,-80.20569000000000,1
Manabí,1562079,Manta,264281,203,203,-0.9500220000000000,-80.71620000000000,1
Manabí,1562079,Montecristi,107785,24,24,-1.033330000000000,-80.65000000000001,1
Manabí,1562079,Olmedo,10194,8,8,-1.396111000000000,-80.20611100000001,1
Manabí,1562079,Paján,37093,15,15,-1.570000000000000,-80.42000000000000,1
Manabí,1562079,Pedernales,63441,24,24,0.07010000000000001,-80.05360000000000,1
Manabí,1562079,Pichincha,29599,8,8,-1.047300000000000,-79.81860000000000,1
Manabí,1562079,Portoviejo,321800,215,215,-1.056181000000000,-80.45521700000000,1
Manabí,1562079,Puerto López,24688,5,5,-1.566667000000000,-80.81666700000000,1
Manabí,1562079,Rocafuerte,37312,15,15,-0.9200000000000000,-80.45999999999999,1
Manabí,1562079,San Vicente,24799,7,7,-0.5892999999999999,-80.40880000000000,1
Manabí,1562079,Santa Ana,48152,21,21,-1.206900000000000,-80.37090000000001,1
Manabí,1562079,Sucre,62443,35,35,-0.6000000000000000,-80.41666700000000,1
Manabí,1562079,Tosagua,42297,9,9,-0.7800000000000000,-80.26000000000001,1
Manabí,1562079,Veinticuatro de Mayo,28514,15,15,-1.278889000000000,-80.42000000000000,1
Morona Santiago,196535,Gualaquiza,19555,9,9,-3.380000000000000,-78.58000000000000,1
Morona Santiago,196535,Huamboya,12382,2,2,-1.785000000000000,-78.23194400000000,1
Morona Santiago,196535,Limón Indanza,10349,5,5,-2.966250000000000,-78.43052800000000,1
Morona Santiago,196535,Logroño,7643,1,1,-2.624800000000000,-78.18960000000000,1
Morona Santiago,196535,Morona,58281,21,21,-2.300000000000000,-78.11666700000001,1
Morona Santiago,196535,Pablo Sexto,2897,0,0,-1.803056000000000,-77.92111100000000,1
Morona Santiago,196535,Palora,7719,1,1,-1.700000000000000,-77.94000000000000,1
Morona Santiago,196535,San Juan Bosco,4985,1,1,-3.092300000000000,-78.51320000000000,1
Morona Santiago,196535,Santiago,11087,2,2,-3.429800000000000,-78.56560000000000,1
Morona Santiago,196535,Sucúa,23823,8,8,-2.460000000000000,-78.17000000000000,1
Morona Santiago,196535,Taisha,26773,4,4,-2.339950000000000,-77.45808000000000,1
Morona Santiago,196535,Tiwintza,11041,3,3,-2.917670000000000,-77.80170000000000,1
Napo,133705,Archidona,33068,10,10,-0.9166670000000000,-77.78333300000000,1
Napo,133705,Carlos Julio Arosemena Tola,4466,2,2,-1.166667000000000,-77.84999999999999,1
Napo,133705,El Chaco,10142,1,1,-0.3402780000000000,-77.80888899999999,1
Napo,133705,Quijos,6847,7,7,-0.4636110000000000,-77.89277800000001,1
Napo,133705,Tena,79182,37,37,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,Aguarico,3629,0,0,-0.9211110000000000,-75.39916700000001,1
Orellana,161338,La Joya de los Sachas,39352,11,11,-0.3000000000000000,-76.84999999999999,1
Orellana,161338,Loreto,24579,5,5,-0.6904000000000000,-77.30830000000000,1
Orellana,161338,Orellana,93778,30,30,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,Arajuno,8128,2,2,-1.234370000000000,-77.68750000000000,1
Pastaza,114202,Mera,17547,3,3,-1.460000000000000,-78.09000000000000,1
Pastaza,114202,Pastaza,84377,36,36,-1.066667000000000,-78.00111099999999,1
Pastaza,114202,Santa Clara,4150,1,1,-1.267100000000000,-77.88820000000000,1
Pichincha,3228233,Cayambe,107660,32,32,0.04388900000000000,-78.15610000000000,1
Pichincha,3228233,Mejía,108167,29,29,-0.5101000000000000,-78.56980000000000,1
Pichincha,3228233,Pedro Moncayo,43281,20,20,0.04369700000000000,-78.34923999999999,1
Pichincha,3228233,Pedro Vicente Maldonado,17171,6,6,0.1666670000000000,-79,1
Pichincha,3228233,Puerto Quito,24911,8,8,0.1170000000000000,-79.26400000000000,1
Pichincha,3228233,Quito,2781641,1676,1676,-0.2186110000000000,-78.50972200000000,1
Pichincha,3228233,Rumiñahui,115433,51,51,-0.3345000000000000,-78.44750000000001,1
Pichincha,3228233,San Miguel de Los Bancos,29969,7,7,0.02300000000000000,-78.89200000000000,1
Santa Elena,401178,La Libertad,117767,30,30,-2.233333000000000,-80.90000000000001,1
Santa Elena,401178,Salinas,94590,37,37,-2.216667000000000,-80.95000000000000,1
Santa Elena,401178,Santa Elena,188821,111,111,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,La Concordia,52571,17,17,0.002300000000000000,-79.38460000000001,1
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,228,228,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,Cascales,15882,0,0,-0.06750000000000000,-77.21694400000000,1
Sucumbíos,230503,Cuyabeno,7154,3,3,-0.1288890000000000,-76.41388900000000,1
Sucumbíos,230503,Gonzalo Pizarro,10007,7,7,0.04700000000000000,-77.32280000000000,1
Sucumbíos,230503,Lago Agrio,119594,64,64,0.08472200000000002,-76.88277800000000,1
Sucumbíos,230503,Putumayo,16106,0,0,0.1000000000000000,-75.84999999999999,1
Sucumbíos,230503,Shushufindi,57949,10,10,-0.1871000000000000,-76.64500000000000,1
Sucumbíos,230503,Sucumbíos,3811,1,1,0.4592000000000000,-77.52300000000000,1
Tungurahua,590600,Ambato,387309,345,345,-1.241667000000000,-78.61972200000000,1
