inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,lat,lng,created_at
4,Carchi,186869,405,Montúfar,34229,1,0.6100000000000000,-77.84000000000000,16/04/2020
4,Carchi,186869,406,San Pedro de Huaca,8931,0,0.6311110000000000,-77.72527800000000,16/04/2020
4,Carchi,186869,401,Tulcán,102395,1,0.8121800000000000,-77.71633000000000,16/04/2020
3,Cañar,281396,301,Azogues,86276,0,-2.733333000000000,-78.83333300000000,16/04/2020
3,Cañar,281396,302,Biblían,23741,0,-2.710000000000000,-78.88000000000000,16/04/2020
3,Cañar,281396,303,Cañar,68747,0,-2.483700000000000,-78.97839999999999,16/04/2020
3,Cañar,281396,306,Déleg,6782,0,-2.772600000000000,-78.91830000000000,16/04/2020
3,Cañar,281396,305,El Tambo,12462,0,-2.508100000000000,-78.92489999999999,16/04/2020
3,Cañar,281396,304,La Troncal,76872,0,-2.400000000000000,-79.33000000000000,16/04/2020
3,Cañar,281396,307,Suscal,6516,0,-2.436400000000000,-79.05220000000000,16/04/2020
6,Chimborazo,524004,602,Alausí,45054,1,-2.200000000000000,-78.84999999999999,16/04/2020
6,Chimborazo,524004,604,Chambo,13378,0,-1.733333000000000,-78.58333300000000,16/04/2020
6,Chimborazo,524004,605,Chunchi,12795,0,-2.283333000000000,-78.91666700000000,16/04/2020
6,Chimborazo,524004,603,Colta,44838,0,-1.700000000000000,-78.75000000000000,16/04/2020
6,Chimborazo,524004,610,Cumandá,17973,0,-2.200000000000000,-79.13333299999999,16/04/2020
6,Chimborazo,524004,606,Guamote,58291,2,-1.933333000000000,-78.71666700000000,16/04/2020
6,Chimborazo,524004,607,Guano,48395,1,-1.583333000000000,-78.63333299999999,16/04/2020
6,Chimborazo,524004,608,Pallatanga,12277,0,-1.983333000000000,-78.95000000000000,16/04/2020
6,Chimborazo,524004,609,Penipe,6955,0,-1.557300000000000,-78.53959999999999,16/04/2020
6,Chimborazo,524004,601,Riobamba,264048,5,-1.674347000000000,-78.64829400000001,16/04/2020
5,Cotopaxi,488716,502,La Maná,56905,0,-0.9299999999999999,-79.22000000000000,16/04/2020
5,Cotopaxi,488716,501,Latacunga,205624,1,-0.9333330000000000,-78.61666700000001,16/04/2020
5,Cotopaxi,488716,503,Pangua,24612,0,-1.133333000000000,-79.06666700000000,16/04/2020
5,Cotopaxi,488716,504,Pujilí,79772,2,-0.9500000000000000,-78.69000000000000,16/04/2020
5,Cotopaxi,488716,505,Salcedo,67100,2,-1.050000000000000,-78.58333300000000,16/04/2020
5,Cotopaxi,488716,506,Saquisilí,31426,0,-0.8300000000000000,-78.67000000000000,16/04/2020
5,Cotopaxi,488716,507,Sigchos,23277,0,-0.7000000000000000,-78.88333299999999,16/04/2020
7,El Oro,715751,702,Arenillas,33473,0,-3.550000000000000,-80.06000000000000,16/04/2020
7,El Oro,715751,703,Atahualpa,6436,0,-2.900000000000000,-78.93333300000000,16/04/2020
7,El Oro,715751,704,Balsas,9233,0,-3.762600000000000,-79.82530000000000,16/04/2020
7,El Oro,715751,705,Chilla,2379,0,-3.450000000000000,-79.58000000000000,16/04/2020
7,El Oro,715751,706,El Guabo,63645,0,-3.238800000000000,-79.82920000000000,16/04/2020
7,El Oro,715751,707,Huaquillas,60440,2,-3.481380000000000,-80.24320700000000,16/04/2020
7,El Oro,715751,714,Las Lajas,4963,0,-3.785000000000000,-80.06166700000000,16/04/2020
7,El Oro,715751,701,Machala,289141,9,-3.266667000000000,-79.96666700000000,16/04/2020
7,El Oro,715751,708,Marcabelí,6259,0,-3.786000000000000,-79.89780000000000,16/04/2020
7,El Oro,715751,709,Pasaje,87723,2,-3.326900000000000,-79.80490000000000,16/04/2020
7,El Oro,715751,710,Piñas,30206,1,-3.666667000000000,-79.65000000000001,16/04/2020
7,El Oro,715751,711,Portovelo,14028,0,-3.720000000000000,-79.62000000000000,16/04/2020
7,El Oro,715751,712,Santa Rosa,82171,3,-3.452222000000000,-79.96166700000001,16/04/2020
7,El Oro,715751,713,Zaruma,25654,0,-3.433333000000000,-79.59999999999999,16/04/2020
8,Esmeraldas,591083,806,Atacames,55495,0,0.8666670000000000,-79.83333300000000,16/04/2020
8,Esmeraldas,591083,802,Eloy Alfaro,45629,0,1.250000000000000,-79,16/04/2020
8,Esmeraldas,591083,801,Esmeraldas,218727,9,1.050000000000000,-79.20000000000000,16/04/2020
8,Esmeraldas,591083,803,Muisne,31106,0,0.6067000000000000,-80.01830000000000,16/04/2020
8,Esmeraldas,591083,804,Quinindé,145879,0,0.3300000000000000,-79.48000000000000,16/04/2020
8,Esmeraldas,591083,807,Rioverde,31475,0,1.060200000000000,-79.40440000000000,16/04/2020
8,Esmeraldas,591083,805,San Lorenzo,62772,1,1.265800000000000,-78.84139999999999,16/04/2020
20,Galápagos,33042,2002,Isabela,3073,0,-0.4724000000000000,-90.68110000000000,16/04/2020
20,Galápagos,33042,2001,San Cristóbal,9667,0,-0.7999999999999999,-89.40000000000001,16/04/2020
20,Galápagos,33042,2003,Santa Cruz,20302,0,-0.6333330000000000,-90.36666700000001,16/04/2020
9,Guayas,4387434,902,Alfredo Baquerizo Moreno,32110,0,-1.916667000000000,-79.51666700000000,16/04/2020
9,Guayas,4387434,903,Balao,26348,0,-2.910000000000000,-79.81000000000000,16/04/2020
9,Guayas,4387434,904,Balzar,60260,1,-1.360000000000000,-79.90000000000001,16/04/2020
9,Guayas,4387434,905,Colimes,26169,0,-1.550000000000000,-80.01666700000000,16/04/2020
9,Guayas,4387434,923,Coronel Marcelino Maridueña,13132,0,-2.200000000000000,-79.42000000000000,16/04/2020
9,Guayas,4387434,906,Daule,173684,3,-1.866667000000000,-79.98333300000000,16/04/2020
9,Guayas,4387434,907,Durán,315724,13,-2.166667000000000,-79.83333300000000,16/04/2020
9,Guayas,4387434,909,El Triunfo,59636,0,-2.330000000000000,-79.40000000000001,16/04/2020
9,Guayas,4387434,908,Empalme,86073,2,-1.046111000000000,-79.63361100000000,16/04/2020
9,Guayas,4387434,927,General Antonio Elizalde,13156,0,-2.200000000000000,-79.17000000000000,16/04/2020
9,Guayas,4387434,901,Guayaquil,2723665,203,-2.183333000000000,-79.88333299999999,16/04/2020
9,Guayas,4387434,928,Isidro Ayora,14582,0,-1.883333000000000,-80.16666700000000,16/04/2020
9,Guayas,4387434,924,Lomas de Sargentillo,24220,2,-1.883333000000000,-80.08333300000000,16/04/2020
9,Guayas,4387434,910,Milagro,199835,6,-2.126944000000000,-79.59916699999999,16/04/2020
9,Guayas,4387434,911,Naranjal,95052,3,-2.672800000000000,-79.61499999999999,16/04/2020
9,Guayas,4387434,912,Naranjito,43862,5,-2.173000000000000,-79.46710000000000,16/04/2020
9,Guayas,4387434,925,Nobol,26444,0,-1.916671000000000,-80.01153900000000,16/04/2020
9,Guayas,4387434,913,Palestina,18451,0,-1.626300000000000,-79.97700000000000,16/04/2020
9,Guayas,4387434,914,Pedro Carbo,51802,0,-1.833333000000000,-80.23333300000000,16/04/2020
9,Guayas,4387434,921,Playas,59628,4,-2.623330000000000,-80.38750000000000,16/04/2020
9,Guayas,4387434,919,Salitre,65765,2,-1.829444000000000,-79.81555600000000,16/04/2020
9,Guayas,4387434,916,Samborondón,102404,3,-2.183333000000000,-79.88333299999999,16/04/2020
9,Guayas,4387434,920,San Jacinto De Yaguachi,78204,0,-2.120000000000000,-79.69000000000000,16/04/2020
9,Guayas,4387434,918,Santa Lucía,45004,2,-1.713889000000000,-79.98500000000000,16/04/2020
9,Guayas,4387434,922,Simón Bolivar,32224,0,-2.156667000000000,-79.88750000000000,16/04/2020
10,Imbabura,476257,1002,Antonio Ante,54311,0,0.3200000000000000,-78.20999999999999,16/04/2020
10,Imbabura,476257,1003,Cotacachi,44203,0,0.3000000000000000,-78.26666700000000,16/04/2020
10,Imbabura,476257,1001,Ibarra,221149,2,0.3626780000000000,-78.13066700000000,16/04/2020
10,Imbabura,476257,1004,Otavalo,125785,3,0.2333330000000000,-78.26666700000000,16/04/2020
