inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,10,40
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1,11
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,154,309
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,6,13
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,0,1
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,8,5
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,14,42
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,6,3
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,3,3
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,15,34
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,0,1
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,1,9
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,18,34
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,14,5
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,13,19
02,Bolívar,209933,0206,Caluma,16429,-1.633330000000000,-79.25000000000000,81,95
02,Bolívar,209933,0202,Chillanes,16850,-1.933333000000000,-79.06666700000000,44,29
02,Bolívar,209933,0203,Chimbo,17378,-1.700000000000000,-79.01666700000000,33,53
02,Bolívar,209933,0204,Echeandía,14081,-1.433330000000000,-79.26667000000000,55,35
02,Bolívar,209933,0201,Guaranda,108763,-1.605556000000000,-79.00305600000000,77,100
02,Bolívar,209933,0207,Las Naves,7428,-1.283330000000000,-79.30000000000000,13,21
02,Bolívar,209933,0205,San Miguel,29004,-1.700000000000000,-79.03333300000000,98,95
04,Carchi,186869,0402,Bolivar,15528,0.5070990000000000,-77.86245400000000,5,13
04,Carchi,186869,0403,Espejo,13817,0.6210000000000000,-77.94000000000000,4,13
04,Carchi,186869,0404,Mira,11969,0.5538999999999999,-78.04930000000000,6,14
04,Carchi,186869,0405,Montúfar,34229,0.6100000000000000,-77.84000000000000,9,41
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,5
04,Carchi,186869,0401,Tulcán,102395,0.8121800000000000,-77.71633000000000,31,105
03,Cañar,281396,0301,Azogues,86276,-2.733333000000000,-78.83333300000000,184,275
03,Cañar,281396,0302,Biblían,23741,-2.710000000000000,-78.88000000000000,64,65
03,Cañar,281396,0303,Cañar,68747,-2.483700000000000,-78.97839999999999,53,84
