provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,0,3,2,2,3,6,11,12,13,14
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,10,224,589,1155,1625,2130,2688,3244,3809,3912
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,0,0,0,0,2,5,11,13,15,15
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,2,31,63,102,134,161,201,243,321,329
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,2,25,23,39,72,185,278,363,412,412
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,1,12,23,59,273,422,457,483,489,489
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,10,90,205,272,415,571,677,727,823,845
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,1,2,20,29,111,192,301,323,332,339
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,1,5,31,119,253,280,298,329,381,383
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,0,7,51,226,282,292,297,314,326,326
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,7,128,517,1009,1402,1500,1617,1961,2281,2304
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,0,8,29,63,121,144,148,169,178,179
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,1,24,173,543,898,1020,1059,1119,1336,1336
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,1,5,26,81,200,219,221,232,238,239
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,0,10,25,43,67,88,96,102,105,106
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,1,4,5,14,14,14,14,14,71,262
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,2,14,17,17,18,21,38,50,135,136
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,2,50,54,57,71,74,146,163,422,449
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,3,14,18,26,31,33,34,34,39,40
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,0,20,36,47,47,55,58,71,80,80
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,5,70,113,169,208,249,254,256,262,266
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,1,18,31,47,49,49,50,53,54,59
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,0,1,9,10,13,13,14,17,18,20
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,117,584,672,740,777,828,867,938,986,1036
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,78,458,687,815,940,1014,1128,1276,1414,1482
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,2,52,102,175,198,235,247,255,270,277
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,5,83,153,255,338,380,405,409,441,443
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,2,16,59,84,97,136,139,145,160,163
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,1116,7528,9762,9986,11961,12811,13966,15208,16865,17689
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,1,9,18,28,32,32,32,32,34,34
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,1,22,36,52,53,64,64,64,65,65
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,63,523,604,670,744,771,827,869,978,1025
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,6,96,229,240,254,276,287,317,348,355
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,2,26,143,149,153,161,164,167,177,183
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,1,8,15,24,27,29,31,31,33,34
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,0,10,37,42,43,44,49,50,53,53
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,13,71,128,167,187,196,204,213,240,241
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,8,70,130,149,152,171,192,209,225,233
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,22,102,165,180,199,205,212,219,228,230
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,150,539,667,686,712,759,813,938,980,1053
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,10,81,182,196,217,221,232,236,264,269
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,9,30,54,62,65,83,95,96,97,97
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,0,5,11,13,20,21,23,23,25,25
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,0,7,10,37,91,274,412,519,590,596
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,0,6,11,30,208,433,519,590,632,729
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,9,53,103,272,757,1442,2000,2378,2757,2825
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,1,18,55,188,309,535,766,909,1028,1047
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,0,5,24,44,72,104,135,151,188,188
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,0,0,0,7,39,93,180,198,212,217
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,3,6,4,11,29,49,108,128,150,152
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,1,23,25,27,78,147,208,243,264,264
