provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,0,0,1,1,2,2,2,3,3,2,3,3,3,3,3,3,7,9,11,12,19,22,24,26,33,57,66,68,72,75,78,80,80
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,21,31,33,38,44,44,44,45,46,47,47,47,47,47,49,50,50
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,5,5,5,5,5,5
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,0,0,1,2,8,15,17,22,35,52,65,66,77,81,86,93,93,95,99,104,107,111,114,116,123,129,132,135,135,141,147,148,154
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,0,2,3,4,10,18,23,42,32,44,53,65,71,101,120,137,144,147,162,187,194,216,218,220,232,235,249,270,285,305,318,354,358
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,0,0,0,0,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,6,6,11,11,11,12,12,12
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,0,1,8,21,67,121,147,318,339,510,551,589,733,851,1046,1150,1219,1303,1423,1515,1645,1763,1891,2006,2125,2272,2436,2536,2579,2754,2866,2949,3047
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,5,6,9,9,11,11,11,11,12
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,0,0,1,3,10,17,21,36,49,62,63,63,70,79,89,100,110,114,119,125,136,144,148,151,160,178,184,194,197,205,221,224,229
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,0,0,0,2,4,11,11,32,20,19,23,23,27,35,36,39,41,46,48,57,81,110,129,156,183,198,245,267,277,286,309,337,339
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,0,0,0,1,4,10,10,21,18,19,23,23,34,37,41,58,70,100,177,234,289,360,387,405,422,448,451,454,456,459,461,471,471
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,0,3,8,19,37,49,54,117,151,170,193,205,219,228,254,272,297,317,335,370,422,445,507,547,570,606,648,661,667,686,693,708,716
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,0,0,1,1,1,2,2,2,9,13,17,20,24,26,26,29,34,47,64,77,118,145,158,170,192,232,251,282,295,307,312,317,321
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,0,0,0,1,2,3,4,5,10,14,26,31,60,76,89,115,132,185,216,219,253,257,270,274,280,285,289,295,298,301,305,315,316
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,0,0,0,0,1,1,4,8,12,18,43,51,125,143,177,221,235,249,267,267,282,290,290,290,292,293,293,295,297,300,301,302,308
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,0,2,7,13,27,69,81,146,199,287,380,517,626,769,879,989,1076,1185,1326,1344,1407,1448,1469,1485,1500,1516,1546,1575,1608,1640,1689,1838,1875
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,0,0,0,0,1,3,3,10,12,15,28,29,36,47,49,62,64,73,101,102,121,124,125,129,144,148,148,148,148,161,162,166,167
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,0,0,0,1,5,11,16,29,34,93,123,173,252,350,451,515,571,660,744,803,899,910,958,998,1020,1029,1049,1050,1055,1071,1081,1102,1105
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,0,0,0,1,1,1,2,12,11,14,20,26,42,59,70,79,85,125,164,180,201,214,218,218,219,219,219,220,221,222,223,228,228
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,0,0,0,0,1,1,5,13,12,15,20,25,31,34,40,43,44,46,50,55,68,82,85,88,88,91,95,95,96,96,97,99,99
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,1,1,1,3,3,6,5,5,5,5,5,5,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,0,0,2,7,7,13,13,14,15,17,17,17,17,17,17,17,17,17,18,18,18,18,19,21,21,21,24,26,37,38,39,48,48
