provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,0,0,1,3,3,38,38,51,50,52,54,54,54,55,55,55,69,69,69,69,71,72,73,74,74,74,144,146,146,147,147,150,153
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,0,1,2,3,4,4,4,12,14,17,18,18,19,21,24,26,27,28,30,31,31,31,31,32,33,34,34,34,34,34,34,34,34
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,0,0,0,1,3,6,9,21,27,29,31,36,43,45,45,47,47,47,47,47,47,47,55,55,55,56,57,58,58,58,58,61,61
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,0,1,4,10,14,24,36,94,77,100,107,113,128,143,153,167,180,192,195,205,208,212,214,247,249,250,252,254,254,254,254,254,254
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,0,0,1,3,6,9,13,27,25,28,29,31,45,46,46,47,47,48,49,49,49,49,49,49,49,49,50,50,50,50,50,51,52
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,0,0,0,0,1,1,1,1,6,9,9,9,10,10,10,10,10,10,11,12,13,13,13,13,13,13,13,13,14,14,14,14,15
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,1,44,102,172,249,309,377,719,563,642,661,672,690,717,725,740,749,754,770,775,779,781,787,789,828,839,859,863,867,869,877,884,895
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,4,28,67,104,197,250,313,593,457,607,660,687,717,745,768,814,825,855,905,927,945,961,988,1000,1014,1029,1095,1114,1119,1140,1164,1192,1221
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,0,0,2,8,11,13,22,56,58,69,93,102,134,154,163,175,175,175,183,193,200,217,223,228,235,236,244,245,247,251,252,252,252
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,1,4,5,13,25,30,45,117,77,121,135,153,193,218,238,250,266,299,315,327,338,341,352,360,378,382,396,400,405,406,406,406,406
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,0,0,1,3,3,8,8,43,25,42,56,59,69,72,73,81,86,86,89,94,99,120,131,135,136,136,139,139,139,139,140,142,142
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,9,408,963,1725,4049,4822,5565,9291,8096,9070,9606,9762,9880,9913,9938,9981,10994,11250,11640,11818,12004,12199,12496,12585,12808,12962,13587,13830,13947,14071,14232,14509,14651
