inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,0,3,36,67,117,155,174,177
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,0,0,1,2,16,36,74,84
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,68,396,740,1553,2808,4445,7192,8283
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,1,1,2,23,70,85
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,0,1,4,6,7,29,53,63
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,2,3,3,3,15,53,82
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,3,16,21,26,80,219,437,505
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,0,3,3,6,8,21,43,47
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,1,1,2,12,15
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,3,15,34,50,126,250,432,533
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,0,0,0,2,10,11,14,17
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,0,0,0,3,9,11,11
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,3,12,14,18,79,108,175,226
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,2,3,8,9,47,107,126
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,1,10,9,19,57,84,134,151
02,Bolívar,209933,0206,Caluma,16429,-1.633330000000000,-79.25000000000000,0,11,54,97,141,177,190,231
02,Bolívar,209933,0202,Chillanes,16850,-1.933333000000000,-79.06666700000000,2,20,20,27,35,45,50,60
02,Bolívar,209933,0203,Chimbo,17378,-1.700000000000000,-79.01666700000000,1,10,14,32,45,55,97,120
02,Bolívar,209933,0204,Echeandía,14081,-1.433330000000000,-79.26667000000000,2,16,60,95,167,208,226,249
02,Bolívar,209933,0201,Guaranda,108763,-1.605556000000000,-79.00305600000000,10,62,128,309,606,737,957,1114
02,Bolívar,209933,0207,Las Naves,7428,-1.283330000000000,-79.30000000000000,0,4,18,35,70,127,131,135
02,Bolívar,209933,0205,San Miguel,29004,-1.700000000000000,-79.03333300000000,0,10,18,53,84,92,119,140
04,Carchi,186869,0402,Bolivar,15528,0.5070990000000000,-77.86245400000000,0,7,16,46,92,151,180,192
04,Carchi,186869,0403,Espejo,13817,0.6210000000000000,-77.94000000000000,0,0,9,13,22,123,235,267
04,Carchi,186869,0404,Mira,11969,0.5538999999999999,-78.04930000000000,1,1,4,33,84,218,257,275
