inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022,13/02/2022,14/02/2022,15/02/2022,16/02/2022,17/02/2022,18/02/2022,19/02/2022,20/02/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,29985,29995,30009,30026,30093,30132,30160,30227,30258,30334,30443,30643,30787,31055,31267,31371,31487,31767,31980,32156,32417,32695,32832,32953,33155,33358,33651,33887,34157,34229,34330,34605,34929,35292,35703,35977,36100,36307,36700,37001,37505,37903,38076,38130,38283,38478,38906,39045,39310,39413,39454
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,7701,7706,7725,7774,7809,7891,7938,8016,8107,8180,8268,8431,8535,8697,8802,8908,8959,9098,9238,9361,9467,9594,9691,9725,9808,9921,10051,10169,10306,10415,10429,10493,10568,10636,10734,10774,10791,10812,10874,10922,10994,11046,11074,11081,11086,11146,11185,11209,11232,11260,11266
04,Carchi,186869,0.8121800000000000,-77.71633000000000,10096,10098,10099,10108,10113,10121,10124,10135,10153,10158,10222,10308,10344,10419,10443,10535,10554,10633,10709,10814,10930,10973,11002,11010,11045,11198,11312,11381,11676,11821,11843,11885,11918,12009,12129,12170,12185,12197,12273,12310,12349,12507,12560,12568,12573,12632,12676,12700,12723,12742,12748
03,Cañar,281396,-2.733333000000000,-78.83333300000000,7108,7131,7175,7218,7291,7321,7393,7444,7571,7638,7777,7912,8116,8236,8454,8755,8807,9051,9228,9372,9547,9756,10003,10080,10347,10667,10929,11181,11386,11504,11577,11740,11980,12107,12316,12440,12560,12592,12658,12783,12997,13074,13120,13211,13225,13283,13353,13407,13465,13503,13519
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,9755,9783,9791,9814,9842,9874,9894,9953,10034,10075,10174,10374,10485,10635,10812,11001,11066,11290,11506,11702,11921,12250,12431,12527,12742,12942,13191,13485,13724,13847,13921,14136,14255,14402,14533,14569,14598,14626,14692,14749,14835,14909,14976,14993,15027,15064,15111,15160,15194,15226,15242
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,12927,12940,12961,12997,13051,13072,13081,13166,13213,13224,13388,13456,13542,13680,13743,13973,13986,14145,14296,14476,14637,14902,14994,15066,15216,15308,15546,15684,15915,16120,16152,16312,16429,16566,16704,16784,16812,16827,16916,16966,17055,17127,17181,17192,17203,17287,17319,17385,17425,17478,17489
07,El Oro,715751,-3.266667000000000,-79.96666700000000,26048,26082,26251,26312,26377,26472,26608,26754,27013,27157,27717,28118,28426,29297,30477,32632,34071,35683,36878,37652,38118,38861,39751,40037,40656,41110,41683,42279,42653,42954,43131,43536,44088,44455,45177,45710,46008,46268,46644,46719,46973,47083,47196,47321,47340,47378,47488,47729,47825,47974,48080
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,10392,10395,10396,10405,10420,10434,10446,10457,10486,10507,10658,10762,10878,11135,11243,11280,11336,11439,11559,11701,11779,11954,12116,12209,12457,12558,12681,12764,13070,13080,13086,13145,13171,13216,13321,13383,13387,13390,13442,13461,13510,13539,13603,13610,13616,13648,13680,13692,13722,13759,13771
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,1554,1557,1559,1563,1565,1572,1579,1583,1623,1688,1833,1886,1929,1994,2036,2055,2062,2114,2178,2260,2322,2349,2365,2384,2403,2448,2526,2582,2700,2705,2733,2757,2806,2825,2852,2863,2871,2879,2902,2919,2935,2946,2949,2952,2954,2956,2962,2970,2977,2979,2979
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,79303,79412,79507,79680,81336,82633,82940,84140,84950,85196,89106,93600,94261,97242,100777,105083,105648,107817,110829,112490,113348,115519,117225,117408,118982,119503,120910,121620,122193,122424,122515,123436,124284,124696,125367,125957,126393,126738,127198,127657,128250,128758,129065,129396,129648,129935,130225,130652,130781,131045,131222
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,18241,18262,18280,18321,18338,18359,18387,18515,18642,18751,19004,19391,19580,19839,20118,20310,20511,20815,21009,21239,21585,21863,22081,22201,22377,22713,23043,23346,23818,24091,24163,24436,24763,24980,25332,25432,25528,25576,25857,26020,26220,26374,26564,26620,26675,26806,26933,27036,27113,27273,27335
11,Loja,521154,-3.983333000000000,-79.20000000000000,19084,19101,19121,19140,19194,19246,19276,19328,19465,19591,19773,19985,20113,20354,20695,20880,21087,21384,21760,22083,22430,22835,23190,23385,23960,24518,25194,25783,26212,26374,26436,26798,27251,27630,28145,28463,28691,28737,29301,29575,30166,30459,30719,30770,30815,30969,31226,31420,31585,31759,31819
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,13859,13870,13893,13915,13982,14061,14110,14158,14246,14299,14485,14706,14788,15100,15274,15416,15460,15654,15803,15891,15959,16068,16142,16157,16237,16271,16384,16502,16573,16593,16606,16661,16712,16753,16812,16840,16850,16867,16913,16940,16964,16985,17000,17015,17023,17039,17065,17077,17087,17104,17108
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,37295,37371,37444,37561,37783,38016,38223,38578,38870,39027,39611,40066,40235,40827,41419,42168,42505,43016,43504,44134,44645,45378,45738,45878,46727,47006,48038,48595,49481,49659,49703,50192,50553,50885,51403,51681,51784,51807,52132,52317,52590,52918,53013,53089,53096,53201,53363,53580,53661,53805,53840
