provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,2,22,12,24
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,13,135,202,230
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,23,22,4
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,51,215,82,50
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,15,194,206,163
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,14,20,18,9
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,2,23,15,10
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,15,82,49,28
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,12,38,21,8
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,5,30,40,24
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,121,424,269,111
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,235,966,585,194
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,14,66,61,23
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,44,140,88,57
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,9,43,46,9
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,4472,16540,9689,3353
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,6,27,9,1
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,5,21,10,4
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,153,587,464,293
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,49,111,85,50
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,21,44,64,36
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,6,28,10,9
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,10,18,29,5
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,21,83,61,16
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,22,99,36,11
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,125,213,130,34
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,114,376,255,73
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,41,82,66,24
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,16,54,28,6
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,6,18,14,7
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,32,196,166,132
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,40,129,116,59
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,250,1008,1115,795
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,46,233,297,217
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,5,73,28,32
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,7,29,49,30
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,52,54,117,99
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,7,84,102,158
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,1,8,18,21
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,3,12,16,7
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,14,35,67,50
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,8,41,28,39
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,212,933,1418,1739
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,14,29,234,189
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,0,6,9,4
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,17,68,128,81
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,4,8,13,17
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,17,31,43,43
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,3,6,15,23
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,9,69,52,84
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,2,8,20,9
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,1,23,30,30
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,9,31,14,7
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,89,283,207,91
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,8,66,37,18
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,5,14,6,3
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,15,43,25,14
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,2,20,17,12
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,10,27,16,11
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,56,210,146,93
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,5,53,18,14
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,22,39,30,10
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,14,62,36,21
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,56,193,75,30
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,85,129,99,36
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,57,55,69,65
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,89,331,407,355
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,28,68,167,109
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,2,37,24,16
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,26,23,51,44
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,7,33,27,16
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,102,289,363,223
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,23,46,38,37
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,138,403,473,469
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,33,91,102,78
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,17,52,33,30
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,30,65,53,84
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,26,38,63,62
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,32,70,34,54
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,586,1075,1027,686
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,97,175,56,41
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,29,40,80,61
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,12,32,51,58
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,54,149,105,109
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,36,124,256,152
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,13,39,38,38
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,62,63,53,70
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,31,106,105,145
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,0,32,57,22
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,12,52,83,54
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,5,1,11,3
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,14,57,61,41
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,3,19,15,9
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,6,41,62,29
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,1,28,37,18
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,9,19,48,52
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,38,50,86,75
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,5,20,55,23
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,2,33,29,9
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,14,58,77,56
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,3,7,15,9
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,3,32,61,32
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,14,28,52,35
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,78,226,436,216
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,5,12,71,199
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,5,36,73,21
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,1,7,37,10
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,22,141,178,98
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,0,2,25,14
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,6,17,19,20
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,27,103,196,77
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,2,3,8,4
