provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,772,772,772
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,799,799,799
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,816,816,816
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,1801,1801,1802
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,593,593,593
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,5315,5317,5317
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,3548,3559,3591
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,467,470,475
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,1303,1307,1309
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,113,113,113
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,378,378,381
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,1236,1241,1243
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,63,63,63
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,683,683,683
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,169,170,170
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,268,268,268
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,348,348,349
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,388,388,388
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,201,201,201
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,661,661,661
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,217,217,217
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,147,147,147
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,6673,6700,6707
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,691,691,691
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,5753,5761,5763
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,374,374,374
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,1505,1506,1509
