inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero
07,El Oro,715751,0709,Pasaje,87723,-3.326900000000000,-79.80490000000000,279,96
07,El Oro,715751,0710,Piñas,30206,-3.666667000000000,-79.65000000000001,115,107
07,El Oro,715751,0711,Portovelo,14028,-3.720000000000000,-79.62000000000000,35,18
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,156,112
07,El Oro,715751,0713,Zaruma,25654,-3.433333000000000,-79.59999999999999,91,52
08,Esmeraldas,591083,0806,Atacames,55495,0.8666670000000000,-79.83333300000000,39,23
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.250000000000000,-79,5,6
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.050000000000000,-79.20000000000000,261,175
08,Esmeraldas,591083,0803,Muisne,31106,0.6067000000000000,-80.01830000000000,3,4
08,Esmeraldas,591083,0804,Quinindé,145879,0.3300000000000000,-79.48000000000000,92,87
08,Esmeraldas,591083,0807,Rioverde,31475,1.060200000000000,-79.40440000000000,1,4
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.265800000000000,-78.84139999999999,8,10
20,Galápagos,33042,2002,Isabela,3073,-0.4724000000000000,-90.68110000000000,55,0
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,60,18
20,Galápagos,33042,2003,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,214,19
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,9,14
09,Guayas,4387434,0903,Balao,26348,-2.910000000000000,-79.81000000000000,19,15
09,Guayas,4387434,0904,Balzar,60260,-1.360000000000000,-79.90000000000001,57,9
09,Guayas,4387434,0905,Colimes,26169,-1.550000000000000,-80.01666700000000,36,5
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,12,9
09,Guayas,4387434,0906,Daule,173684,-1.866667000000000,-79.98333300000000,117,35
09,Guayas,4387434,0907,Durán,315724,-2.166667000000000,-79.83333300000000,305,123
09,Guayas,4387434,0909,El Triunfo,59636,-2.330000000000000,-79.40000000000001,56,29
09,Guayas,4387434,0908,Empalme,86073,-1.046111000000000,-79.63361100000000,85,37
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,47,21
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,2977,1130
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,2,2
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,5,6
09,Guayas,4387434,0910,Milagro,199835,-2.126944000000000,-79.59916699999999,376,273
09,Guayas,4387434,0911,Naranjal,95052,-2.672800000000000,-79.61499999999999,101,68
09,Guayas,4387434,0912,Naranjito,43862,-2.173000000000000,-79.46710000000000,27,26
09,Guayas,4387434,0925,Nobol,26444,-1.916671000000000,-80.01153900000000,6,0
09,Guayas,4387434,0913,Palestina,18451,-1.626300000000000,-79.97700000000000,16,2
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,62,44
09,Guayas,4387434,0921,Playas,59628,-2.623330000000000,-80.38750000000000,31,23
09,Guayas,4387434,0919,Salitre,65765,-1.829444000000000,-79.81555600000000,49,20
09,Guayas,4387434,0916,Samborondón,102404,-2.183333000000000,-79.88333299999999,60,28
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,55,22
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,4,3
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,9,1
10,Imbabura,476257,1002,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,216,68
10,Imbabura,476257,1003,Cotacachi,44203,0.3000000000000000,-78.26666700000000,136,52
10,Imbabura,476257,1001,Ibarra,221149,0.3626780000000000,-78.13066700000000,740,326
10,Imbabura,476257,1004,Otavalo,125785,0.2333330000000000,-78.26666700000000,303,168
10,Imbabura,476257,1005,Pimampiro,13269,0.4000000000000000,-77.97000000000000,28,12
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,37,35
11,Loja,521154,1102,Calvas,29565,-4.320000000000000,-79.56000000000000,59,11
11,Loja,521154,1103,Catamayo,35961,-3.980000000000000,-79.34999999999999,40,21
11,Loja,521154,1104,Celica,16160,-4.102500000000000,-79.95444400000000,3,4
11,Loja,521154,1105,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,7,2
11,Loja,521154,1106,Espíndola,14209,-4.583056000000000,-79.42694400000001,33,7
11,Loja,521154,1107,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,9,3
11,Loja,521154,1101,Loja,274112,-3.983333000000000,-79.20000000000000,1021,483
11,Loja,521154,1108,Macará,20269,-4.383333000000000,-79.95000000000000,19,13
11,Loja,521154,1116,Olmedo,4220,-3.934000000000000,-79.64800000000000,4,0
11,Loja,521154,1109,Paltas,23471,-4.050000000000000,-79.65000000000001,126,16
11,Loja,521154,1114,Pindal,10540,-4.116100000000000,-80.10760000000001,4,1
11,Loja,521154,1110,Puyango,15925,-3.870000000000000,-80.09000000000000,16,5
11,Loja,521154,1115,Quilanga,4197,-4.298000000000000,-79.39860000000000,9,1
11,Loja,521154,1111,Saraguro,33506,-3.625300000000000,-79.24110000000000,98,7
11,Loja,521154,1112,Sozoranga,7121,-4.327778000000000,-79.78972200000000,3,1
11,Loja,521154,1113,Zapotillo,14325,-4.386360000000000,-80.24360000000000,21,25
12,Los Ríos,921763,1202,Baba,43429,-1.784167000000000,-79.67666699999999,14,23
12,Los Ríos,921763,1201,Babahoyo,175281,-1.800000000000000,-79.53333300000000,382,194
