inec_provincia_id,provincia,total,acumuladas,lat,lng,mes
1,Azuay,319,319,-2.897414000000000,-79.00448100000000,1
2,Bolívar,51,51,-1.605556000000000,-79.00305600000000,1
4,Carchi,53,53,0.8121800000000000,-77.71633000000000,1
3,Cañar,81,81,-2.733333000000000,-78.83333300000000,1
6,Chimborazo,209,209,-1.674347000000000,-78.64829400000001,1
5,Cotopaxi,160,160,-0.9333330000000000,-78.61666700000001,1
7,El Oro,238,238,-3.266667000000000,-79.96666700000000,1
8,Esmeraldas,118,118,1.050000000000000,-79.20000000000000,1
20,Galápagos,5,5,-0.7999999999999999,-89.40000000000001,1
9,Guayas,1725,1725,-2.183333000000000,-79.88333299999999,1
10,Imbabura,194,194,0.3626780000000000,-78.13066700000000,1
11,Loja,189,189,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,301,301,-1.800000000000000,-79.53333300000000,1
13,Manabí,543,543,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,40,40,-2.300000000000000,-78.11666700000001,1
15,Napo,34,34,-0.9890000000000000,-77.81590000000000,1
22,Orellana,33,33,-0.4666670000000000,-76.96666700000000,1
88,Otro,0,0,0,0,1
16,Pastaza,23,23,-1.066667000000000,-78.00111099999999,1
17,Pichincha,1128,1128,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,123,123,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,170,170,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,49,49,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,238,238,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,4,4,-4.120000000000000,-78.80000000000000,1
1,Azuay,301,620,-2.897414000000000,-79.00448100000000,2
2,Bolívar,54,105,-1.605556000000000,-79.00305600000000,2
4,Carchi,53,106,0.8121800000000000,-77.71633000000000,2
3,Cañar,92,173,-2.733333000000000,-78.83333300000000,2
6,Chimborazo,204,413,-1.674347000000000,-78.64829400000001,2
5,Cotopaxi,128,288,-0.9333330000000000,-78.61666700000001,2
7,El Oro,204,442,-3.266667000000000,-79.96666700000000,2
8,Esmeraldas,132,250,1.050000000000000,-79.20000000000000,2
20,Galápagos,5,10,-0.7999999999999999,-89.40000000000001,2
9,Guayas,1627,3352,-2.183333000000000,-79.88333299999999,2
10,Imbabura,186,380,0.3626780000000000,-78.13066700000000,2
11,Loja,186,375,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,260,561,-1.800000000000000,-79.53333300000000,2
13,Manabí,522,1065,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,39,79,-2.300000000000000,-78.11666700000001,2
15,Napo,40,74,-0.9890000000000000,-77.81590000000000,2
22,Orellana,26,59,-0.4666670000000000,-76.96666700000000,2
88,Otro,0,0,0,0,2
