provincia,total,acumuladas,lat,lng,created_at
Azuay,6,6,-2.897414000000000,-79.00448100000000,01/01/2017
Bolívar,3,3,-1.605556000000000,-79.00305600000000,01/01/2017
Carchi,2,2,0.8121800000000000,-77.71633000000000,01/01/2017
Cañar,3,3,-2.733333000000000,-78.83333300000000,01/01/2017
Chimborazo,15,15,-1.674347000000000,-78.64829400000001,01/01/2017
Cotopaxi,4,4,-0.9333330000000000,-78.61666700000001,01/01/2017
El Oro,12,12,-3.266667000000000,-79.96666700000000,01/01/2017
Esmeraldas,6,6,1.050000000000000,-79.20000000000000,01/01/2017
Galápagos,1,1,-0.7999999999999999,-89.40000000000001,01/01/2017
Guayas,55,55,-2.183333000000000,-79.88333299999999,01/01/2017
Imbabura,9,9,0.3626780000000000,-78.13066700000000,01/01/2017
Loja,7,7,-3.983333000000000,-79.20000000000000,01/01/2017
Los Ríos,12,12,-1.800000000000000,-79.53333300000000,01/01/2017
Manabí,19,19,-1.056181000000000,-80.45521700000000,01/01/2017
Morona Santiago,1,1,-2.300000000000000,-78.11666700000001,01/01/2017
Napo,1,1,-0.9890000000000000,-77.81590000000000,01/01/2017
Orellana,3,3,-0.4666670000000000,-76.96666700000000,01/01/2017
Otro,0,0,0,0,01/01/2017
Pastaza,1,1,-1.066667000000000,-78.00111099999999,01/01/2017
Pichincha,41,41,-0.2186110000000000,-78.50972200000000,01/01/2017
Santa Elena,2,2,-2.226700000000000,-80.85830000000000,01/01/2017
Sto. Domingo Tsáchilas,3,3,-0.2541670000000000,-79.17194400000000,01/01/2017
Sucumbíos,5,5,0.08472200000000002,-76.88277800000000,01/01/2017
Tungurahua,7,7,-1.241667000000000,-78.61972200000000,01/01/2017
Zamora Chinchipe,0,0,-4.120000000000000,-78.80000000000000,01/01/2017
Azuay,13,19,-2.897414000000000,-79.00448100000000,02/01/2017
Bolívar,3,6,-1.605556000000000,-79.00305600000000,02/01/2017
Carchi,2,4,0.8121800000000000,-77.71633000000000,02/01/2017
Cañar,1,4,-2.733333000000000,-78.83333300000000,02/01/2017
Chimborazo,3,18,-1.674347000000000,-78.64829400000001,02/01/2017
Cotopaxi,8,12,-0.9333330000000000,-78.61666700000001,02/01/2017
El Oro,14,26,-3.266667000000000,-79.96666700000000,02/01/2017
Esmeraldas,3,9,1.050000000000000,-79.20000000000000,02/01/2017
Galápagos,0,1,-0.7999999999999999,-89.40000000000001,02/01/2017
Guayas,48,103,-2.183333000000000,-79.88333299999999,02/01/2017
Imbabura,3,12,0.3626780000000000,-78.13066700000000,02/01/2017
