provincia,total,acumuladas,lat,lng,semana
Galápagos,4,7,-0.7999999999999999,-89.40000000000001,5
Guayas,379,1943,-2.183333000000000,-79.88333299999999,5
Imbabura,42,214,0.3626780000000000,-78.13066700000000,5
Loja,44,211,-3.983333000000000,-79.20000000000000,5
Los Ríos,68,334,-1.800000000000000,-79.53333300000000,5
Manabí,144,631,-1.056181000000000,-80.45521700000000,5
Morona Santiago,8,45,-2.300000000000000,-78.11666700000001,5
Napo,11,41,-0.9890000000000000,-77.81590000000000,5
Orellana,6,35,-0.4666670000000000,-76.96666700000000,5
Otro,0,0,0,0,5
Pastaza,5,24,-1.066667000000000,-78.00111099999999,5
Pichincha,236,1249,-0.2186110000000000,-78.50972200000000,5
Santa Elena,33,142,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,42,200,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,18,59,0.08472200000000002,-76.88277800000000,5
Tungurahua,58,275,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,4,8,-4.120000000000000,-78.80000000000000,5
Azuay,89,446,-2.897414000000000,-79.00448100000000,6
Bolívar,11,65,-1.605556000000000,-79.00305600000000,6
Carchi,15,78,0.8121800000000000,-77.71633000000000,6
Cañar,22,114,-2.733333000000000,-78.83333300000000,6
Chimborazo,53,283,-1.674347000000000,-78.64829400000001,6
Cotopaxi,31,210,-0.9333330000000000,-78.61666700000001,6
El Oro,51,300,-3.266667000000000,-79.96666700000000,6
Esmeraldas,30,162,1.050000000000000,-79.20000000000000,6
Galápagos,1,8,-0.7999999999999999,-89.40000000000001,6
Guayas,407,2350,-2.183333000000000,-79.88333299999999,6
Imbabura,42,256,0.3626780000000000,-78.13066700000000,6
Loja,40,251,-3.983333000000000,-79.20000000000000,6
Los Ríos,64,398,-1.800000000000000,-79.53333300000000,6
Manabí,116,747,-1.056181000000000,-80.45521700000000,6
Morona Santiago,10,55,-2.300000000000000,-78.11666700000001,6
Napo,14,55,-0.9890000000000000,-77.81590000000000,6
Orellana,7,42,-0.4666670000000000,-76.96666700000000,6
Otro,0,0,0,0,6
Pastaza,4,28,-1.066667000000000,-78.00111099999999,6
Pichincha,269,1518,-0.2186110000000000,-78.50972200000000,6
Santa Elena,29,171,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,33,233,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,22,81,0.08472200000000002,-76.88277800000000,6
Tungurahua,49,324,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,7,15,-4.120000000000000,-78.80000000000000,6
Azuay,72,518,-2.897414000000000,-79.00448100000000,7
Bolívar,14,79,-1.605556000000000,-79.00305600000000,7
Carchi,15,93,0.8121800000000000,-77.71633000000000,7
Cañar,30,144,-2.733333000000000,-78.83333300000000,7
Chimborazo,45,328,-1.674347000000000,-78.64829400000001,7
Cotopaxi,28,238,-0.9333330000000000,-78.61666700000001,7
El Oro,47,347,-3.266667000000000,-79.96666700000000,7
Esmeraldas,33,195,1.050000000000000,-79.20000000000000,7
Galápagos,0,8,-0.7999999999999999,-89.40000000000001,7
Guayas,420,2770,-2.183333000000000,-79.88333299999999,7
Imbabura,36,292,0.3626780000000000,-78.13066700000000,7
Loja,49,300,-3.983333000000000,-79.20000000000000,7
Los Ríos,61,459,-1.800000000000000,-79.53333300000000,7
Manabí,124,871,-1.056181000000000,-80.45521700000000,7
Morona Santiago,5,60,-2.300000000000000,-78.11666700000001,7
Napo,7,62,-0.9890000000000000,-77.81590000000000,7
Orellana,6,48,-0.4666670000000000,-76.96666700000000,7
Otro,0,0,0,0,7
Pastaza,4,32,-1.066667000000000,-78.00111099999999,7
Pichincha,271,1789,-0.2186110000000000,-78.50972200000000,7
Santa Elena,25,196,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,39,272,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,9,90,0.08472200000000002,-76.88277800000000,7
Tungurahua,49,373,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,6,21,-4.120000000000000,-78.80000000000000,7
Azuay,72,590,-2.897414000000000,-79.00448100000000,8
Bolívar,14,93,-1.605556000000000,-79.00305600000000,8
Carchi,8,101,0.8121800000000000,-77.71633000000000,8
Cañar,21,165,-2.733333000000000,-78.83333300000000,8
Chimborazo,48,376,-1.674347000000000,-78.64829400000001,8
Cotopaxi,38,276,-0.9333330000000000,-78.61666700000001,8
El Oro,65,412,-3.266667000000000,-79.96666700000000,8
Esmeraldas,36,231,1.050000000000000,-79.20000000000000,8
Galápagos,0,8,-0.7999999999999999,-89.40000000000001,8
Guayas,423,3193,-2.183333000000000,-79.88333299999999,8
Imbabura,62,354,0.3626780000000000,-78.13066700000000,8
Loja,53,353,-3.983333000000000,-79.20000000000000,8
Los Ríos,73,532,-1.800000000000000,-79.53333300000000,8
Manabí,135,1006,-1.056181000000000,-80.45521700000000,8
Morona Santiago,11,71,-2.300000000000000,-78.11666700000001,8
Napo,7,69,-0.9890000000000000,-77.81590000000000,8
Orellana,6,54,-0.4666670000000000,-76.96666700000000,8
Otro,0,0,0,0,8
Pastaza,8,40,-1.066667000000000,-78.00111099999999,8
Pichincha,251,2040,-0.2186110000000000,-78.50972200000000,8
Santa Elena,23,219,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,30,302,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,14,104,0.08472200000000002,-76.88277800000000,8
Tungurahua,56,429,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,13,34,-4.120000000000000,-78.80000000000000,8
Azuay,79,669,-2.897414000000000,-79.00448100000000,9
Bolívar,19,112,-1.605556000000000,-79.00305600000000,9
Carchi,11,112,0.8121800000000000,-77.71633000000000,9
Cañar,23,188,-2.733333000000000,-78.83333300000000,9
Chimborazo,53,429,-1.674347000000000,-78.64829400000001,9
Cotopaxi,32,308,-0.9333330000000000,-78.61666700000001,9
El Oro,73,485,-3.266667000000000,-79.96666700000000,9
Esmeraldas,37,268,1.050000000000000,-79.20000000000000,9
Galápagos,1,9,-0.7999999999999999,-89.40000000000001,9
Guayas,432,3625,-2.183333000000000,-79.88333299999999,9
Imbabura,53,407,0.3626780000000000,-78.13066700000000,9
Loja,52,405,-3.983333000000000,-79.20000000000000,9
Los Ríos,56,588,-1.800000000000000,-79.53333300000000,9
Manabí,128,1134,-1.056181000000000,-80.45521700000000,9
Morona Santiago,12,83,-2.300000000000000,-78.11666700000001,9
Napo,8,77,-0.9890000000000000,-77.81590000000000,9
Orellana,8,62,-0.4666670000000000,-76.96666700000000,9
Otro,0,0,0,0,9
Pastaza,6,46,-1.066667000000000,-78.00111099999999,9
Pichincha,238,2278,-0.2186110000000000,-78.50972200000000,9
Santa Elena,41,260,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,57,359,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,10,114,0.08472200000000002,-76.88277800000000,9
Tungurahua,59,488,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,1,35,-4.120000000000000,-78.80000000000000,9
Azuay,71,740,-2.897414000000000,-79.00448100000000,10
Bolívar,29,141,-1.605556000000000,-79.00305600000000,10
Carchi,17,129,0.8121800000000000,-77.71633000000000,10
Cañar,15,203,-2.733333000000000,-78.83333300000000,10
Chimborazo,44,473,-1.674347000000000,-78.64829400000001,10
Cotopaxi,27,335,-0.9333330000000000,-78.61666700000001,10
El Oro,65,550,-3.266667000000000,-79.96666700000000,10
Esmeraldas,34,302,1.050000000000000,-79.20000000000000,10
Galápagos,0,9,-0.7999999999999999,-89.40000000000001,10
Guayas,469,4094,-2.183333000000000,-79.88333299999999,10
Imbabura,40,447,0.3626780000000000,-78.13066700000000,10
Loja,60,465,-3.983333000000000,-79.20000000000000,10
Los Ríos,77,665,-1.800000000000000,-79.53333300000000,10
Manabí,133,1267,-1.056181000000000,-80.45521700000000,10
Morona Santiago,11,94,-2.300000000000000,-78.11666700000001,10
Napo,7,84,-0.9890000000000000,-77.81590000000000,10
Orellana,14,76,-0.4666670000000000,-76.96666700000000,10
Otro,0,0,0,0,10
Pastaza,2,48,-1.066667000000000,-78.00111099999999,10
Pichincha,260,2538,-0.2186110000000000,-78.50972200000000,10
Santa Elena,33,293,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,43,402,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,6,120,0.08472200000000002,-76.88277800000000,10
Tungurahua,53,541,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,10,45,-4.120000000000000,-78.80000000000000,10
Azuay,64,804,-2.897414000000000,-79.00448100000000,11
Bolívar,17,158,-1.605556000000000,-79.00305600000000,11
Carchi,18,147,0.8121800000000000,-77.71633000000000,11
Cañar,31,234,-2.733333000000000,-78.83333300000000,11
Chimborazo,48,521,-1.674347000000000,-78.64829400000001,11
Cotopaxi,34,369,-0.9333330000000000,-78.61666700000001,11
El Oro,65,615,-3.266667000000000,-79.96666700000000,11
Esmeraldas,27,329,1.050000000000000,-79.20000000000000,11
Galápagos,0,9,-0.7999999999999999,-89.40000000000001,11
Guayas,465,4559,-2.183333000000000,-79.88333299999999,11
Imbabura,32,479,0.3626780000000000,-78.13066700000000,11
Loja,41,506,-3.983333000000000,-79.20000000000000,11
Los Ríos,97,762,-1.800000000000000,-79.53333300000000,11
Manabí,135,1402,-1.056181000000000,-80.45521700000000,11
Morona Santiago,4,98,-2.300000000000000,-78.11666700000001,11
Napo,5,89,-0.9890000000000000,-77.81590000000000,11
Orellana,8,84,-0.4666670000000000,-76.96666700000000,11
Otro,0,0,0,0,11
Pastaza,9,57,-1.066667000000000,-78.00111099999999,11
Pichincha,241,2779,-0.2186110000000000,-78.50972200000000,11
Santa Elena,39,332,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,39,441,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,12,132,0.08472200000000002,-76.88277800000000,11
Tungurahua,57,598,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,6,51,-4.120000000000000,-78.80000000000000,11
Azuay,77,881,-2.897414000000000,-79.00448100000000,12
Bolívar,19,177,-1.605556000000000,-79.00305600000000,12
Carchi,11,158,0.8121800000000000,-77.71633000000000,12
Cañar,25,259,-2.733333000000000,-78.83333300000000,12
Chimborazo,53,574,-1.674347000000000,-78.64829400000001,12
Cotopaxi,39,408,-0.9333330000000000,-78.61666700000001,12
El Oro,65,680,-3.266667000000000,-79.96666700000000,12
Esmeraldas,24,353,1.050000000000000,-79.20000000000000,12
Galápagos,1,10,-0.7999999999999999,-89.40000000000001,12
Guayas,446,5005,-2.183333000000000,-79.88333299999999,12
Imbabura,43,522,0.3626780000000000,-78.13066700000000,12
Loja,45,551,-3.983333000000000,-79.20000000000000,12
Los Ríos,88,850,-1.800000000000000,-79.53333300000000,12
Manabí,136,1538,-1.056181000000000,-80.45521700000000,12
Morona Santiago,13,111,-2.300000000000000,-78.11666700000001,12
Napo,9,98,-0.9890000000000000,-77.81590000000000,12
Orellana,11,95,-0.4666670000000000,-76.96666700000000,12
Otro,0,0,0,0,12
Pastaza,7,64,-1.066667000000000,-78.00111099999999,12
Pichincha,241,3020,-0.2186110000000000,-78.50972200000000,12
Santa Elena,38,370,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,38,479,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,9,141,0.08472200000000002,-76.88277800000000,12
Tungurahua,47,645,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,1,52,-4.120000000000000,-78.80000000000000,12
Azuay,83,964,-2.897414000000000,-79.00448100000000,13
Bolívar,15,192,-1.605556000000000,-79.00305600000000,13
Carchi,14,172,0.8121800000000000,-77.71633000000000,13
Cañar,21,280,-2.733333000000000,-78.83333300000000,13
Chimborazo,51,625,-1.674347000000000,-78.64829400000001,13
Cotopaxi,50,458,-0.9333330000000000,-78.61666700000001,13
El Oro,54,734,-3.266667000000000,-79.96666700000000,13
Esmeraldas,29,382,1.050000000000000,-79.20000000000000,13
Galápagos,1,11,-0.7999999999999999,-89.40000000000001,13
Guayas,475,5480,-2.183333000000000,-79.88333299999999,13
Imbabura,39,561,0.3626780000000000,-78.13066700000000,13
Loja,45,596,-3.983333000000000,-79.20000000000000,13
Los Ríos,66,916,-1.800000000000000,-79.53333300000000,13
Manabí,130,1668,-1.056181000000000,-80.45521700000000,13
Morona Santiago,5,116,-2.300000000000000,-78.11666700000001,13
Napo,7,105,-0.9890000000000000,-77.81590000000000,13
Orellana,8,103,-0.4666670000000000,-76.96666700000000,13
Otro,1,1,0,0,13
Pastaza,5,69,-1.066667000000000,-78.00111099999999,13
Pichincha,222,3242,-0.2186110000000000,-78.50972200000000,13
Santa Elena,38,408,-2.226700000000000,-80.85830000000000,13
Sto. Domingo Tsáchilas,34,513,-0.2541670000000000,-79.17194400000000,13
Sucumbíos,9,150,0.08472200000000002,-76.88277800000000,13
Tungurahua,62,707,-1.241667000000000,-78.61972200000000,13
Zamora Chinchipe,4,56,-4.120000000000000,-78.80000000000000,13
Azuay,84,1048,-2.897414000000000,-79.00448100000000,14
Bolívar,16,208,-1.605556000000000,-79.00305600000000,14
Carchi,18,190,0.8121800000000000,-77.71633000000000,14
Cañar,26,306,-2.733333000000000,-78.83333300000000,14
Chimborazo,45,670,-1.674347000000000,-78.64829400000001,14
Cotopaxi,42,500,-0.9333330000000000,-78.61666700000001,14
El Oro,48,782,-3.266667000000000,-79.96666700000000,14
Esmeraldas,31,413,1.050000000000000,-79.20000000000000,14
Galápagos,2,13,-0.7999999999999999,-89.40000000000001,14
Guayas,460,5940,-2.183333000000000,-79.88333299999999,14
Imbabura,47,608,0.3626780000000000,-78.13066700000000,14
Loja,45,641,-3.983333000000000,-79.20000000000000,14
Los Ríos,75,991,-1.800000000000000,-79.53333300000000,14
Manabí,123,1791,-1.056181000000000,-80.45521700000000,14
Morona Santiago,4,120,-2.300000000000000,-78.11666700000001,14
Napo,5,110,-0.9890000000000000,-77.81590000000000,14
Orellana,10,113,-0.4666670000000000,-76.96666700000000,14
Otro,0,1,0,0,14
Pastaza,11,80,-1.066667000000000,-78.00111099999999,14
Pichincha,230,3472,-0.2186110000000000,-78.50972200000000,14
Santa Elena,21,429,-2.226700000000000,-80.85830000000000,14
Sto. Domingo Tsáchilas,26,539,-0.2541670000000000,-79.17194400000000,14
Sucumbíos,10,160,0.08472200000000002,-76.88277800000000,14
Tungurahua,48,755,-1.241667000000000,-78.61972200000000,14
Zamora Chinchipe,7,63,-4.120000000000000,-78.80000000000000,14
Azuay,68,1116,-2.897414000000000,-79.00448100000000,15
Bolívar,18,226,-1.605556000000000,-79.00305600000000,15
Carchi,20,210,0.8121800000000000,-77.71633000000000,15
Cañar,29,335,-2.733333000000000,-78.83333300000000,15
Chimborazo,47,717,-1.674347000000000,-78.64829400000001,15
Cotopaxi,35,535,-0.9333330000000000,-78.61666700000001,15
El Oro,57,839,-3.266667000000000,-79.96666700000000,15
Esmeraldas,21,434,1.050000000000000,-79.20000000000000,15
Galápagos,1,14,-0.7999999999999999,-89.40000000000001,15
Guayas,428,6368,-2.183333000000000,-79.88333299999999,15
Imbabura,39,647,0.3626780000000000,-78.13066700000000,15
Loja,42,683,-3.983333000000000,-79.20000000000000,15
Los Ríos,65,1056,-1.800000000000000,-79.53333300000000,15
Manabí,134,1925,-1.056181000000000,-80.45521700000000,15
Morona Santiago,15,135,-2.300000000000000,-78.11666700000001,15
Napo,4,114,-0.9890000000000000,-77.81590000000000,15
Orellana,3,116,-0.4666670000000000,-76.96666700000000,15
Otro,0,1,0,0,15
Pastaza,5,85,-1.066667000000000,-78.00111099999999,15
Pichincha,252,3724,-0.2186110000000000,-78.50972200000000,15
Santa Elena,23,452,-2.226700000000000,-80.85830000000000,15
Sto. Domingo Tsáchilas,38,577,-0.2541670000000000,-79.17194400000000,15
Sucumbíos,10,170,0.08472200000000002,-76.88277800000000,15
Tungurahua,43,798,-1.241667000000000,-78.61972200000000,15
Zamora Chinchipe,4,67,-4.120000000000000,-78.80000000000000,15
Azuay,86,1202,-2.897414000000000,-79.00448100000000,16
Bolívar,25,251,-1.605556000000000,-79.00305600000000,16
Carchi,15,225,0.8121800000000000,-77.71633000000000,16
Cañar,30,365,-2.733333000000000,-78.83333300000000,16
Chimborazo,41,758,-1.674347000000000,-78.64829400000001,16
Cotopaxi,47,582,-0.9333330000000000,-78.61666700000001,16
El Oro,61,900,-3.266667000000000,-79.96666700000000,16
Esmeraldas,22,456,1.050000000000000,-79.20000000000000,16
Galápagos,4,18,-0.7999999999999999,-89.40000000000001,16
Guayas,427,6795,-2.183333000000000,-79.88333299999999,16
Imbabura,36,683,0.3626780000000000,-78.13066700000000,16
Loja,54,737,-3.983333000000000,-79.20000000000000,16
Los Ríos,68,1124,-1.800000000000000,-79.53333300000000,16
Manabí,108,2033,-1.056181000000000,-80.45521700000000,16
Morona Santiago,8,143,-2.300000000000000,-78.11666700000001,16
Napo,7,121,-0.9890000000000000,-77.81590000000000,16
Orellana,6,122,-0.4666670000000000,-76.96666700000000,16
Otro,0,1,0,0,16
Pastaza,7,92,-1.066667000000000,-78.00111099999999,16
Pichincha,273,3997,-0.2186110000000000,-78.50972200000000,16
Santa Elena,34,486,-2.226700000000000,-80.85830000000000,16
Sto. Domingo Tsáchilas,33,610,-0.2541670000000000,-79.17194400000000,16
Sucumbíos,10,180,0.08472200000000002,-76.88277800000000,16
Tungurahua,46,844,-1.241667000000000,-78.61972200000000,16
Zamora Chinchipe,3,70,-4.120000000000000,-78.80000000000000,16
Azuay,71,1273,-2.897414000000000,-79.00448100000000,17
Bolívar,12,263,-1.605556000000000,-79.00305600000000,17
Carchi,10,235,0.8121800000000000,-77.71633000000000,17
Cañar,20,385,-2.733333000000000,-78.83333300000000,17
Chimborazo,43,801,-1.674347000000000,-78.64829400000001,17
Cotopaxi,36,618,-0.9333330000000000,-78.61666700000001,17
El Oro,71,971,-3.266667000000000,-79.96666700000000,17
Esmeraldas,21,477,1.050000000000000,-79.20000000000000,17
Galápagos,0,18,-0.7999999999999999,-89.40000000000001,17
Guayas,352,7147,-2.183333000000000,-79.88333299999999,17
Imbabura,36,719,0.3626780000000000,-78.13066700000000,17
Loja,42,779,-3.983333000000000,-79.20000000000000,17
Los Ríos,79,1203,-1.800000000000000,-79.53333300000000,17
Manabí,135,2168,-1.056181000000000,-80.45521700000000,17
Morona Santiago,6,149,-2.300000000000000,-78.11666700000001,17
Napo,5,126,-0.9890000000000000,-77.81590000000000,17
Orellana,6,128,-0.4666670000000000,-76.96666700000000,17
Otro,0,1,0,0,17
Pastaza,8,100,-1.066667000000000,-78.00111099999999,17
Pichincha,227,4224,-0.2186110000000000,-78.50972200000000,17
Santa Elena,33,519,-2.226700000000000,-80.85830000000000,17
Sto. Domingo Tsáchilas,33,643,-0.2541670000000000,-79.17194400000000,17
Sucumbíos,12,192,0.08472200000000002,-76.88277800000000,17
Tungurahua,56,900,-1.241667000000000,-78.61972200000000,17
Zamora Chinchipe,1,71,-4.120000000000000,-78.80000000000000,17
Azuay,90,1363,-2.897414000000000,-79.00448100000000,18
Bolívar,13,276,-1.605556000000000,-79.00305600000000,18
Carchi,9,244,0.8121800000000000,-77.71633000000000,18
Cañar,16,401,-2.733333000000000,-78.83333300000000,18
Chimborazo,48,849,-1.674347000000000,-78.64829400000001,18
Cotopaxi,47,665,-0.9333330000000000,-78.61666700000001,18
El Oro,45,1016,-3.266667000000000,-79.96666700000000,18
Esmeraldas,25,502,1.050000000000000,-79.20000000000000,18
Galápagos,0,18,-0.7999999999999999,-89.40000000000001,18
Guayas,419,7566,-2.183333000000000,-79.88333299999999,18
Imbabura,34,753,0.3626780000000000,-78.13066700000000,18
Loja,49,828,-3.983333000000000,-79.20000000000000,18
Los Ríos,65,1268,-1.800000000000000,-79.53333300000000,18
Manabí,117,2285,-1.056181000000000,-80.45521700000000,18
Morona Santiago,4,153,-2.300000000000000,-78.11666700000001,18
Napo,7,133,-0.9890000000000000,-77.81590000000000,18
Orellana,10,138,-0.4666670000000000,-76.96666700000000,18
Otro,1,2,0,0,18
Pastaza,4,104,-1.066667000000000,-78.00111099999999,18
Pichincha,230,4454,-0.2186110000000000,-78.50972200000000,18
Santa Elena,20,539,-2.226700000000000,-80.85830000000000,18
Sto. Domingo Tsáchilas,44,687,-0.2541670000000000,-79.17194400000000,18
Sucumbíos,10,202,0.08472200000000002,-76.88277800000000,18
Tungurahua,46,946,-1.241667000000000,-78.61972200000000,18
Zamora Chinchipe,4,75,-4.120000000000000,-78.80000000000000,18
Azuay,69,1432,-2.897414000000000,-79.00448100000000,19
Bolívar,18,294,-1.605556000000000,-79.00305600000000,19
Carchi,5,249,0.8121800000000000,-77.71633000000000,19
Cañar,18,419,-2.733333000000000,-78.83333300000000,19
Chimborazo,58,907,-1.674347000000000,-78.64829400000001,19
Cotopaxi,45,710,-0.9333330000000000,-78.61666700000001,19
El Oro,51,1067,-3.266667000000000,-79.96666700000000,19
Esmeraldas,26,528,1.050000000000000,-79.20000000000000,19
Galápagos,2,20,-0.7999999999999999,-89.40000000000001,19
Guayas,421,7987,-2.183333000000000,-79.88333299999999,19
