inec_provincia_id,provincia,inec_canton_id,canton,total,acumuladas,lat,lng,mes
9,Guayas,904,Balzar,15,15,-1.360000000000000,-79.90000000000001,1
9,Guayas,905,Colimes,6,6,-1.550000000000000,-80.01666700000000,1
9,Guayas,923,Coronel Marcelino Maridueña,1,1,-2.200000000000000,-79.42000000000000,1
9,Guayas,906,Daule,39,39,-1.866667000000000,-79.98333300000000,1
9,Guayas,907,Durán,26,26,-2.166667000000000,-79.83333300000000,1
9,Guayas,909,El Triunfo,9,9,-2.330000000000000,-79.40000000000001,1
9,Guayas,908,Empalme,27,27,-1.046111000000000,-79.63361100000000,1
9,Guayas,927,General Antonio Elizalde,2,2,-2.200000000000000,-79.17000000000000,1
9,Guayas,901,Guayaquil,1338,1338,-2.183333000000000,-79.88333299999999,1
9,Guayas,928,Isidro Ayora,4,4,-1.883333000000000,-80.16666700000000,1
9,Guayas,924,Lomas de Sargentillo,5,5,-1.883333000000000,-80.08333300000000,1
9,Guayas,910,Milagro,99,99,-2.126944000000000,-79.59916699999999,1
9,Guayas,911,Naranjal,16,16,-2.672800000000000,-79.61499999999999,1
9,Guayas,912,Naranjito,14,14,-2.173000000000000,-79.46710000000000,1
9,Guayas,925,Nobol,5,5,-1.916671000000000,-80.01153900000000,1
9,Guayas,913,Palestina,6,6,-1.626300000000000,-79.97700000000000,1
9,Guayas,914,Pedro Carbo,10,10,-1.833333000000000,-80.23333300000000,1
9,Guayas,921,Playas,20,20,-2.623330000000000,-80.38750000000000,1
9,Guayas,919,Salitre,16,16,-1.829444000000000,-79.81555600000000,1
9,Guayas,916,Samborondón,13,13,-2.183333000000000,-79.88333299999999,1
9,Guayas,920,San Jacinto De Yaguachi,30,30,-2.120000000000000,-79.69000000000000,1
9,Guayas,918,Santa Lucía,13,13,-1.713889000000000,-79.98500000000000,1
9,Guayas,922,Simón Bolivar,4,4,-2.156667000000000,-79.88750000000000,1
10,Imbabura,1002,Antonio Ante,18,18,0.3200000000000000,-78.20999999999999,1
10,Imbabura,1003,Cotacachi,13,13,0.3000000000000000,-78.26666700000000,1
10,Imbabura,1001,Ibarra,112,112,0.3626780000000000,-78.13066700000000,1
10,Imbabura,1004,Otavalo,36,36,0.2333330000000000,-78.26666700000000,1
10,Imbabura,1005,Pimampiro,8,8,0.4000000000000000,-77.97000000000000,1
10,Imbabura,1006,San Miguel de Urcuquí,7,7,0.5200000000000000,-78.20000000000000,1
11,Loja,1102,Calvas,11,11,-4.320000000000000,-79.56000000000000,1
11,Loja,1103,Catamayo,6,6,-3.980000000000000,-79.34999999999999,1
11,Loja,1104,Celica,4,4,-4.102500000000000,-79.95444400000000,1
11,Loja,1105,Chaguarpamba,2,2,-3.850000000000000,-79.65000000000001,1
11,Loja,1106,Espíndola,4,4,-4.583056000000000,-79.42694400000001,1
11,Loja,1107,Gonzanamá,7,7,-4.231389000000000,-79.43527800000000,1
11,Loja,1101,Loja,104,104,-3.983333000000000,-79.20000000000000,1
11,Loja,1108,Macará,6,6,-4.383333000000000,-79.95000000000000,1
11,Loja,1116,Olmedo,4,4,-3.934000000000000,-79.64800000000000,1
11,Loja,1109,Paltas,6,6,-4.050000000000002,-79.65000000000001,1
11,Loja,1114,Pindal,1,1,-4.116100000000000,-80.10760000000001,1
11,Loja,1110,Puyango,7,7,-3.870000000000000,-80.09000000000000,1
11,Loja,1115,Quilanga,2,2,-4.298000000000000,-79.39860000000000,1
11,Loja,1111,Saraguro,18,18,-3.625300000000000,-79.24110000000000,1
11,Loja,1112,Sozoranga,2,2,-4.327778000000000,-79.78972200000000,1
11,Loja,1113,Zapotillo,5,5,-4.386360000000002,-80.24360000000000,1
12,Los Ríos,1202,Baba,17,17,-1.784167000000000,-79.67666699999999,1
12,Los Ríos,1201,Babahoyo,74,74,-1.800000000000000,-79.53333300000000,1
12,Los Ríos,1210,Buena Fe,24,24,-0.8985719999999999,-79.48891600000000,1
12,Los Ríos,1212,Mocache,9,9,-1.183850000000000,-79.50552999999999,1
12,Los Ríos,1203,Montalvo,8,8,-1.793800000000000,-79.28570000000001,1
12,Los Ríos,1209,Palenque,10,10,-1.432800000000000,-79.74950000000000,1
12,Los Ríos,1204,Puebloviejo,11,11,-1.550000000000000,-79.53388900000000,1
12,Los Ríos,1205,Quevedo,88,88,-1.033333000000000,-79.45000000000000,1
12,Los Ríos,1213,Quinsaloma,3,3,-1.206200000000000,-79.31450000000000,1
12,Los Ríos,1206,Urdaneta,11,11,-1.570556000000000,-79.47111099999999,1
12,Los Ríos,1211,Valencia,2,2,-0.9525000000000000,-79.35310000000000,1
12,Los Ríos,1207,Ventanas,21,21,-1.450000000000000,-79.47000000000000,1
12,Los Ríos,1208,Vinces,23,23,-1.558333000000000,-79.75000000000000,1
13,Manabí,1302,Bolívar,19,19,-0.8419440000000000,-80.16194400000001,1
13,Manabí,1303,Chone,31,31,-0.6833330000000000,-80.09999999999999,1
13,Manabí,1304,El Carmen,30,30,-1.314700000000000,-80.01690000000001,1
13,Manabí,1305,Flavio Alfaro,16,16,-0.4054000000000000,-79.90580000000000,1
13,Manabí,1320,Jama,1,1,-0.2014000000000000,-80.26590000000000,1
13,Manabí,1321,Jaramijó,3,3,-0.9487300000000000,-80.63630000000001,1
13,Manabí,1306,Jipijapa,25,25,-1.333330000000000,-80.58329999999999,1
13,Manabí,1307,Junín,7,7,-0.9291600000000000,-80.20569000000000,1
13,Manabí,1308,Manta,126,126,-0.9500220000000000,-80.71620000000000,1
13,Manabí,1309,Montecristi,14,14,-1.033330000000000,-80.65000000000001,1
13,Manabí,1318,Olmedo,3,3,-1.396111000000000,-80.20611100000001,1
13,Manabí,1310,Paján,19,19,-1.570000000000000,-80.42000000000000,1
13,Manabí,1317,Pedernales,5,5,0.07010000000000001,-80.05360000000000,1
13,Manabí,1311,Pichincha,8,8,-1.047300000000000,-79.81860000000000,1
13,Manabí,1301,Portoviejo,147,147,-1.056181000000000,-80.45521700000000,1
13,Manabí,1319,Puerto López,7,7,-1.566667000000000,-80.81666700000000,1
13,Manabí,1312,Rocafuerte,8,8,-0.9199999999999999,-80.45999999999999,1
13,Manabí,1322,San Vicente,9,9,-0.5892999999999999,-80.40880000000000,1
13,Manabí,1313,Santa Ana,13,13,-1.206900000000000,-80.37090000000001,1
13,Manabí,1314,Sucre,24,24,-0.6000000000000000,-80.41666700000000,1
13,Manabí,1315,Tosagua,8,8,-0.7800000000000000,-80.26000000000001,1
13,Manabí,1316,Veinticuatro de Mayo,20,20,-1.278889000000000,-80.42000000000000,1
14,Morona Santiago,1402,Gualaquiza,7,7,-3.380000000000000,-78.58000000000000,1
14,Morona Santiago,1407,Huamboya,1,1,-1.785000000000000,-78.23194400000000,1
14,Morona Santiago,1403,Limón Indanza,8,8,-2.966250000000000,-78.43052800000000,1
14,Morona Santiago,1410,Logroño,1,1,-2.624800000000000,-78.18960000000000,1
14,Morona Santiago,1401,Morona,17,17,-2.300000000000000,-78.11666700000001,1
14,Morona Santiago,1411,Pablo Sexto,0,0,-1.803056000000000,-77.92111100000000,1
14,Morona Santiago,1404,Palora,0,0,-1.700000000000000,-77.94000000000000,1
14,Morona Santiago,1408,San Juan Bosco,0,0,-3.092300000000000,-78.51320000000000,1
14,Morona Santiago,1405,Santiago,1,1,-3.429800000000000,-78.56560000000000,1
14,Morona Santiago,1406,Sucúa,5,5,-2.460000000000000,-78.17000000000000,1
14,Morona Santiago,1409,Taisha,0,0,-2.339950000000000,-77.45808000000000,1
14,Morona Santiago,1412,Tiwintza,0,0,-2.917670000000000,-77.80170000000000,1
15,Napo,1503,Archidona,12,12,-0.9166670000000000,-77.78333300000000,1
15,Napo,1509,Carlos Julio Arosemena Tola,0,0,-1.166667000000000,-77.84999999999999,1
15,Napo,1504,El Chaco,2,2,-0.3402780000000000,-77.80888899999999,1
15,Napo,1507,Quijos,3,3,-0.4636110000000000,-77.89277800000001,1
15,Napo,1501,Tena,17,17,-0.9890000000000000,-77.81590000000000,1
22,Orellana,2202,Aguarico,1,1,-0.9211110000000000,-75.39916700000001,1
22,Orellana,2203,La Joya de los Sachas,8,8,-0.3000000000000000,-76.84999999999999,1
22,Orellana,2204,Loreto,6,6,-0.6904000000000000,-77.30830000000000,1
22,Orellana,2201,Orellana,18,18,-0.4666670000000000,-76.96666700000000,1
90,Otro,9001,Las Golondrinas,0,0,0,0,1
88,Otro,8800,Otro,0,0,0,0,1
16,Pastaza,1604,Arajuno,1,1,-1.234370000000000,-77.68750000000000,1
16,Pastaza,1602,Mera,2,2,-1.460000000000000,-78.09000000000000,1
16,Pastaza,1601,Pastaza,20,20,-1.066667000000000,-78.00111099999999,1
16,Pastaza,1603,Santa Clara,0,0,-1.267100000000000,-77.88820000000000,1
17,Pichincha,1702,Cayambe,26,26,0.04388900000000000,-78.15610000000000,1
17,Pichincha,1703,Mejía,20,20,-0.5101000000000000,-78.56980000000000,1
17,Pichincha,1704,Pedro Moncayo,12,12,0.04369700000000000,-78.34923999999999,1
17,Pichincha,1708,Pedro Vicente Maldonado,2,2,0.1666670000000000,-79,1
