provincia,canton,total,acumuladas,lat,lng,mes
Azuay,Camilo Ponce Enríquez,1,1,-3.050000000000000,-79.73333300000000,1
Azuay,Chordeleg,6,6,-2.933333000000000,-78.76666700000000,1
Azuay,Cuenca,238,238,-2.897414000000000,-79.00448100000000,1
Azuay,El Pan,0,0,-2.786111000000000,-78.66500000000001,1
Azuay,Girón,7,7,-3.159028000000000,-79.14756800000001,1
Azuay,Guachapala,0,0,-2.769000000000000,-78.70900000000000,1
Azuay,Gualaceo,21,21,-2.900000000000000,-78.78333300000000,1
Azuay,Nabón,5,5,-3.336060000000000,-79.06368000000001,1
Azuay,Oña,4,4,-3.469640000000000,-79.15431000000000,1
Azuay,Paute,10,10,-2.781800000000000,-78.76000000000001,1
Azuay,Pucará,6,6,-3.233780000000000,-79.46120000000001,1
Azuay,San Fernando,2,2,-3.144500000000000,-79.25200000000000,1
Azuay,Santa Isabel,7,7,-3.274170000000000,-79.31560000000000,1
Azuay,Sevilla de Oro,2,2,-2.799833000000000,-78.65569400000000,1
Azuay,Sígsig,10,10,-3.089700000000000,-78.80320000000000,1
Bolívar,Caluma,5,5,-1.633330000000000,-79.25000000000000,1
Bolívar,Chillanes,6,6,-1.933333000000000,-79.06666700000000,1
Bolívar,Chimbo,2,2,-1.700000000000000,-79.01666700000000,1
Bolívar,Echeandía,2,2,-1.433330000000000,-79.26667000000000,1
Bolívar,Guaranda,26,26,-1.605556000000000,-79.00305600000000,1
Bolívar,Las Naves,1,1,-1.283330000000000,-79.30000000000000,1
Bolívar,San Miguel,9,9,-1.700000000000000,-79.03333300000000,1
Carchi,Bolivar,4,4,0.5070990000000000,-77.86245400000000,1
Carchi,Espejo,5,5,0.6210000000000000,-77.94000000000000,1
Carchi,Mira,5,5,0.5538999999999998,-78.04930000000000,1
Carchi,Montúfar,10,10,0.6100000000000000,-77.84000000000000,1
Carchi,San Pedro de Huaca,0,0,0.6311110000000000,-77.72527800000000,1
Carchi,Tulcán,29,29,0.8121800000000000,-77.71633000000000,1
Cañar,Azogues,29,29,-2.733333000000000,-78.83333300000000,1
Cañar,Biblían,8,8,-2.710000000000000,-78.88000000000000,1
Cañar,Cañar,19,19,-2.483700000000000,-78.97839999999999,1
Cañar,Déleg,4,4,-2.772600000000000,-78.91830000000000,1
Cañar,El Tambo,7,7,-2.508100000000000,-78.92489999999999,1
Cañar,La Troncal,13,13,-2.400000000000000,-79.33000000000000,1
Cañar,Suscal,1,1,-2.436400000000000,-79.05220000000000,1
Chimborazo,Alausí,15,15,-2.200000000000000,-78.84999999999999,1
Chimborazo,Chambo,5,5,-1.733333000000000,-78.58333300000000,1
Chimborazo,Chunchi,2,2,-2.283333000000000,-78.91666700000000,1
Chimborazo,Colta,17,17,-1.700000000000000,-78.75000000000000,1
Chimborazo,Cumandá,8,8,-2.200000000000000,-79.13333299999999,1
Chimborazo,Guamote,18,18,-1.933333000000000,-78.71666700000000,1
Chimborazo,Guano,17,17,-1.583333000000000,-78.63333299999999,1
Chimborazo,Pallatanga,5,5,-1.983333000000000,-78.95000000000000,1
Chimborazo,Penipe,0,0,-1.557300000000000,-78.53959999999999,1
Chimborazo,Riobamba,122,122,-1.674347000000000,-78.64829400000001,1
Cotopaxi,La Maná,14,14,-0.9300000000000000,-79.22000000000000,1
Cotopaxi,Latacunga,80,80,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,Pangua,4,4,-1.133333000000000,-79.06666700000000,1
Cotopaxi,Pujilí,31,31,-0.9500000000000000,-78.69000000000000,1
Cotopaxi,Salcedo,18,18,-1.050000000000000,-78.58333300000000,1
Cotopaxi,Saquisilí,8,8,-0.8300000000000000,-78.67000000000000,1
Cotopaxi,Sigchos,5,5,-0.7000000000000000,-78.88333299999999,1
El Oro,Arenillas,7,7,-3.550000000000000,-80.06000000000000,1
El Oro,Atahualpa,1,1,-2.900000000000000,-78.93333300000000,1
El Oro,Balsas,3,3,-3.762600000000000,-79.82530000000000,1
El Oro,Chilla,2,2,-3.450000000000000,-79.58000000000000,1
El Oro,El Guabo,22,22,-3.238800000000000,-79.82920000000000,1
El Oro,Huaquillas,11,11,-3.481380000000000,-80.24320700000000,1
El Oro,Las Lajas,1,1,-3.785000000000000,-80.06166700000000,1
El Oro,Machala,122,122,-3.266667000000000,-79.96666700000000,1
El Oro,Marcabelí,2,2,-3.786000000000001,-79.89780000000000,1
El Oro,Pasaje,21,21,-3.326900000000000,-79.80490000000000,1
El Oro,Piñas,7,7,-3.666667000000000,-79.65000000000001,1
El Oro,Portovelo,4,4,-3.720000000000000,-79.62000000000000,1
El Oro,Santa Rosa,25,25,-3.452222000000000,-79.96166700000001,1
El Oro,Zaruma,10,10,-3.433333000000000,-79.59999999999999,1
Esmeraldas,Atacames,8,8,0.8666670000000000,-79.83333300000000,1
Esmeraldas,Eloy Alfaro,5,5,1.250000000000000,-79,1
Esmeraldas,Esmeraldas,64,64,1.050000000000000,-79.20000000000000,1
Esmeraldas,Muisne,4,4,0.6067000000000000,-80.01830000000000,1
Esmeraldas,Quinindé,26,26,0.3300000000000000,-79.48000000000000,1
Esmeraldas,Rioverde,4,4,1.060200000000000,-79.40440000000000,1
Esmeraldas,San Lorenzo,7,7,1.265800000000000,-78.84139999999999,1
Galápagos,Isabela,0,0,-0.4724000000000000,-90.68110000000000,1
Galápagos,San Cristóbal,3,3,-0.7999999999999999,-89.40000000000001,1
Galápagos,Santa Cruz,2,2,-0.6333330000000000,-90.36666700000001,1
Guayas,Alfredo Baquerizo Moreno,5,5,-1.916667000000000,-79.51666700000000,1
Guayas,Balao,2,2,-2.910000000000000,-79.81000000000000,1
Guayas,Balzar,15,15,-1.360000000000000,-79.90000000000001,1
Guayas,Colimes,6,6,-1.550000000000000,-80.01666700000000,1
Guayas,Coronel Marcelino Maridueña,1,1,-2.200000000000000,-79.42000000000000,1
Guayas,Daule,39,39,-1.866667000000000,-79.98333300000000,1
Guayas,Durán,26,26,-2.166667000000000,-79.83333300000000,1
Guayas,El Triunfo,9,9,-2.330000000000000,-79.40000000000001,1
Guayas,Empalme,27,27,-1.046111000000000,-79.63361100000000,1
Guayas,General Antonio Elizalde,2,2,-2.200000000000000,-79.17000000000000,1
Guayas,Guayaquil,1338,1338,-2.183333000000000,-79.88333299999999,1
Guayas,Isidro Ayora,4,4,-1.883333000000000,-80.16666700000000,1
Guayas,Lomas de Sargentillo,5,5,-1.883333000000000,-80.08333300000000,1
Guayas,Milagro,99,99,-2.126944000000000,-79.59916699999999,1
Guayas,Naranjal,16,16,-2.672800000000000,-79.61499999999999,1
Guayas,Naranjito,14,14,-2.173000000000000,-79.46710000000000,1
Guayas,Nobol,5,5,-1.916671000000000,-80.01153900000000,1
Guayas,Palestina,6,6,-1.626300000000000,-79.97700000000000,1
Guayas,Pedro Carbo,10,10,-1.833333000000000,-80.23333300000000,1
Guayas,Playas,20,20,-2.623330000000000,-80.38750000000000,1
Guayas,Salitre,16,16,-1.829444000000000,-79.81555600000000,1
Guayas,Samborondón,13,13,-2.183333000000000,-79.88333299999999,1
Guayas,San Jacinto De Yaguachi,30,30,-2.120000000000000,-79.69000000000000,1
Guayas,Santa Lucía,13,13,-1.713889000000000,-79.98500000000000,1
Guayas,Simón Bolivar,4,4,-2.156667000000000,-79.88750000000000,1
Imbabura,Antonio Ante,18,18,0.3200000000000000,-78.20999999999999,1
Imbabura,Cotacachi,13,13,0.3000000000000000,-78.26666700000000,1
Imbabura,Ibarra,112,112,0.3626780000000000,-78.13066700000000,1
Imbabura,Otavalo,36,36,0.2333330000000000,-78.26666700000000,1
Imbabura,Pimampiro,8,8,0.4000000000000000,-77.97000000000000,1
Imbabura,San Miguel de Urcuquí,7,7,0.5200000000000000,-78.20000000000000,1
Loja,Calvas,11,11,-4.320000000000000,-79.56000000000000,1
Loja,Catamayo,6,6,-3.980000000000000,-79.34999999999999,1
Loja,Celica,4,4,-4.102500000000000,-79.95444400000000,1
Loja,Chaguarpamba,2,2,-3.850000000000000,-79.65000000000001,1
Loja,Espíndola,4,4,-4.583056000000000,-79.42694400000001,1
Loja,Gonzanamá,7,7,-4.231389000000000,-79.43527800000000,1
Loja,Loja,104,104,-3.983333000000001,-79.20000000000000,1
Loja,Macará,6,6,-4.383333000000000,-79.95000000000000,1
Loja,Olmedo,4,4,-3.934000000000000,-79.64800000000000,1
Loja,Paltas,6,6,-4.050000000000002,-79.65000000000001,1
Loja,Pindal,1,1,-4.116100000000000,-80.10760000000001,1
Loja,Puyango,7,7,-3.870000000000000,-80.09000000000000,1
Loja,Quilanga,2,2,-4.298000000000000,-79.39860000000000,1
Loja,Saraguro,18,18,-3.625300000000000,-79.24110000000000,1
Loja,Sozoranga,2,2,-4.327778000000000,-79.78972200000000,1
Loja,Zapotillo,5,5,-4.386360000000002,-80.24360000000000,1
Los Ríos,Baba,17,17,-1.784167000000000,-79.67666699999999,1
