provincia,total,acumuladas,lat,lng,mes
Azuay,319,319,-2.897414000000000,-79.00448100000000,1
Bolívar,51,51,-1.605556000000000,-79.00305600000000,1
Carchi,53,53,0.8121800000000000,-77.71633000000000,1
Cañar,81,81,-2.733333000000000,-78.83333300000000,1
Chimborazo,209,209,-1.674347000000000,-78.64829400000001,1
Cotopaxi,160,160,-0.9333330000000000,-78.61666700000001,1
El Oro,238,238,-3.266667000000000,-79.96666700000000,1
Esmeraldas,118,118,1.050000000000000,-79.20000000000000,1
Galápagos,5,5,-0.7999999999999999,-89.40000000000001,1
Guayas,1725,1725,-2.183333000000000,-79.88333299999999,1
Imbabura,194,194,0.3626780000000000,-78.13066700000000,1
Loja,189,189,-3.983333000000000,-79.20000000000000,1
Los Ríos,301,301,-1.800000000000000,-79.53333300000000,1
Manabí,543,543,-1.056181000000000,-80.45521700000000,1
Morona Santiago,40,40,-2.300000000000000,-78.11666700000001,1
Napo,34,34,-0.9890000000000000,-77.81590000000000,1
Orellana,33,33,-0.4666670000000000,-76.96666700000000,1
Otro,0,0,0,0,1
Pastaza,23,23,-1.066667000000000,-78.00111099999999,1
Pichincha,1128,1128,-0.2186110000000000,-78.50972200000000,1
Santa Elena,123,123,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,170,170,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,49,49,0.08472200000000002,-76.88277800000000,1
Tungurahua,238,238,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,4,4,-4.120000000000000,-78.80000000000000,1
Azuay,301,620,-2.897414000000000,-79.00448100000000,2
Bolívar,54,105,-1.605556000000000,-79.00305600000000,2
Carchi,53,106,0.8121800000000000,-77.71633000000000,2
Cañar,92,173,-2.733333000000000,-78.83333300000000,2
Chimborazo,204,413,-1.674347000000000,-78.64829400000001,2
Cotopaxi,128,288,-0.9333330000000000,-78.61666700000001,2
El Oro,204,442,-3.266667000000000,-79.96666700000000,2
Esmeraldas,132,250,1.050000000000000,-79.20000000000000,2
Galápagos,5,10,-0.7999999999999999,-89.40000000000001,2
Guayas,1627,3352,-2.183333000000000,-79.88333299999999,2
Imbabura,186,380,0.3626780000000000,-78.13066700000000,2
Loja,186,375,-3.983333000000000,-79.20000000000000,2
Los Ríos,260,561,-1.800000000000000,-79.53333300000000,2
Manabí,522,1065,-1.056181000000000,-80.45521700000000,2
Morona Santiago,39,79,-2.300000000000000,-78.11666700000001,2
Napo,40,74,-0.9890000000000000,-77.81590000000000,2
Orellana,26,59,-0.4666670000000000,-76.96666700000000,2
Otro,0,0,0,0,2
Pastaza,20,43,-1.066667000000000,-78.00111099999999,2
Pichincha,1004,2132,-0.2186110000000000,-78.50972200000000,2
Santa Elena,111,234,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,149,319,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,60,109,0.08472200000000002,-76.88277800000000,2
Tungurahua,212,450,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,30,34,-4.120000000000000,-78.80000000000000,2
Azuay,329,949,-2.897414000000000,-79.00448100000000,3
Bolívar,86,191,-1.605556000000000,-79.00305600000000,3
Carchi,62,168,0.8121800000000000,-77.71633000000000,3
Cañar,108,281,-2.733333000000000,-78.83333300000000,3
Chimborazo,210,623,-1.674347000000000,-78.64829400000001,3
Cotopaxi,157,445,-0.9333330000000000,-78.61666700000001,3
El Oro,287,729,-3.266667000000000,-79.96666700000000,3
Esmeraldas,125,375,1.050000000000000,-79.20000000000000,3
Galápagos,2,12,-0.7999999999999999,-89.40000000000001,3
Guayas,2048,5400,-2.183333000000000,-79.88333299999999,3
Imbabura,180,560,0.3626780000000000,-78.13066700000000,3
Loja,219,594,-3.983333000000000,-79.20000000000000,3
Los Ríos,345,906,-1.800000000000000,-79.53333300000000,3
Manabí,592,1657,-1.056181000000000,-80.45521700000000,3
Morona Santiago,38,117,-2.300000000000000,-78.11666700000001,3
Napo,29,103,-0.9890000000000000,-77.81590000000000,3
Orellana,44,103,-0.4666670000000000,-76.96666700000000,3
Otro,1,1,0,0,3
Pastaza,26,69,-1.066667000000000,-78.00111099999999,3
Pichincha,1085,3217,-0.2186110000000000,-78.50972200000000,3
Santa Elena,161,395,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,189,508,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,44,153,0.08472200000000002,-76.88277800000000,3
Tungurahua,247,697,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,22,56,-4.120000000000000,-78.80000000000000,3
Azuay,330,1279,-2.897414000000000,-79.00448100000000,4
Bolívar,75,266,-1.605556000000000,-79.00305600000000,4
Carchi,69,237,0.8121800000000000,-77.71633000000000,4
Cañar,107,388,-2.733333000000000,-78.83333300000000,4
