provincia,canton,total,acumuladas,lat,lng,semana
Guayas,Lomas de Sargentillo,0,0,-1.883333000000000,-80.08333300000000,1
Guayas,Milagro,21,21,-2.126944000000000,-79.59916699999999,1
Guayas,Naranjal,3,3,-2.672800000000000,-79.61499999999999,1
Guayas,Naranjito,3,3,-2.173000000000000,-79.46710000000000,1
Guayas,Nobol,2,2,-1.916671000000000,-80.01153900000000,1
Guayas,Palestina,2,2,-1.626300000000000,-79.97700000000000,1
Guayas,Pedro Carbo,2,2,-1.833333000000000,-80.23333300000000,1
Guayas,Playas,4,4,-2.623330000000000,-80.38750000000000,1
Guayas,Salitre,3,3,-1.829444000000000,-79.81555600000000,1
Guayas,Samborondón,3,3,-2.183333000000000,-79.88333299999999,1
Guayas,San Jacinto De Yaguachi,4,4,-2.120000000000000,-79.69000000000000,1
Guayas,Santa Lucía,1,1,-1.713889000000000,-79.98500000000000,1
Guayas,Simón Bolivar,1,1,-2.156667000000000,-79.88750000000000,1
Imbabura,Antonio Ante,7,7,0.3200000000000000,-78.20999999999999,1
Imbabura,Cotacachi,1,1,0.3000000000000000,-78.26666700000000,1
Imbabura,Ibarra,22,22,0.3626780000000000,-78.13066700000000,1
Imbabura,Otavalo,4,4,0.2333330000000000,-78.26666700000000,1
Imbabura,Pimampiro,1,1,0.4000000000000000,-77.97000000000000,1
Imbabura,San Miguel de Urcuquí,0,0,0.5200000000000000,-78.20000000000000,1
Loja,Calvas,1,1,-4.320000000000000,-79.56000000000000,1
Loja,Catamayo,1,1,-3.980000000000000,-79.34999999999999,1
Loja,Celica,0,0,-4.102500000000000,-79.95444400000000,1
Loja,Chaguarpamba,0,0,-3.850000000000000,-79.65000000000001,1
Loja,Espíndola,1,1,-4.583056000000000,-79.42694400000001,1
Loja,Gonzanamá,0,0,-4.231389000000000,-79.43527800000000,1
Loja,Loja,19,19,-3.983333000000002,-79.20000000000000,1
Loja,Macará,1,1,-4.383333000000000,-79.95000000000000,1
Loja,Olmedo,1,1,-3.934000000000000,-79.64800000000000,1
Loja,Paltas,0,0,-4.050000000000002,-79.65000000000001,1
Loja,Pindal,1,1,-4.116100000000000,-80.10760000000001,1
Loja,Puyango,0,0,-3.870000000000000,-80.09000000000000,1
Loja,Quilanga,1,1,-4.298000000000000,-79.39860000000000,1
Loja,Saraguro,3,3,-3.625300000000000,-79.24110000000000,1
Loja,Sozoranga,0,0,-4.327778000000000,-79.78972200000000,1
Loja,Zapotillo,2,2,-4.386360000000002,-80.24360000000000,1
Los Ríos,Baba,3,3,-1.784167000000000,-79.67666699999999,1
Los Ríos,Babahoyo,23,23,-1.800000000000000,-79.53333300000000,1
Los Ríos,Buena Fe,4,4,-0.8985719999999999,-79.48891600000000,1
Los Ríos,Mocache,3,3,-1.183850000000000,-79.50552999999999,1
Los Ríos,Montalvo,1,1,-1.793800000000000,-79.28570000000001,1
Los Ríos,Palenque,3,3,-1.432800000000000,-79.74950000000000,1
Los Ríos,Puebloviejo,3,3,-1.550000000000000,-79.53388900000000,1
Los Ríos,Quevedo,20,20,-1.033333000000000,-79.45000000000000,1
Los Ríos,Quinsaloma,1,1,-1.206200000000000,-79.31450000000000,1
Los Ríos,Urdaneta,2,2,-1.570556000000000,-79.47111099999999,1
Los Ríos,Valencia,0,0,-0.9525000000000000,-79.35310000000000,1
Los Ríos,Ventanas,3,3,-1.450000000000000,-79.47000000000000,1
Los Ríos,Vinces,5,5,-1.558333000000000,-79.75000000000000,1
Manabí,Bolívar,3,3,-0.8419440000000000,-80.16194400000001,1
Manabí,Chone,4,4,-0.6833330000000000,-80.09999999999999,1
Manabí,El Carmen,5,5,-1.314700000000000,-80.01690000000001,1
Manabí,Flavio Alfaro,3,3,-0.4054000000000000,-79.90580000000000,1
Manabí,Jama,0,0,-0.2014000000000000,-80.26590000000000,1
Manabí,Jaramijó,1,1,-0.9487300000000000,-80.63630000000001,1
Manabí,Jipijapa,1,1,-1.333330000000000,-80.58329999999999,1
